Temperature_C,Current_Density_A_cm2,Voltage_V,Power_Density_W_cm2,Fuel_Utilization_%,Air_Utilization_%,Time_h
700,0.000,1.120,0.000,0.0,0.0,0.0
700,0.025,1.090,0.027,2.5,1.8,0.5
700,0.050,1.064,0.053,5.0,3.6,1.0
700,0.075,1.040,0.078,7.5,5.4,1.5
700,0.100,1.017,0.102,10.0,7.2,2.0
700,0.125,0.995,0.124,12.5,9.0,2.5
700,0.150,0.974,0.146,15.0,10.8,3.0
700,0.175,0.954,0.167,17.5,12.6,3.5
700,0.200,0.934,0.187,20.0,14.4,4.0
700,0.225,0.915,0.206,22.5,16.2,4.5
700,0.250,0.896,0.224,25.0,18.0,5.0
700,0.275,0.878,0.241,27.5,19.8,5.5
700,0.300,0.860,0.258,30.0,21.6,6.0
700,0.325,0.843,0.274,32.5,23.4,6.5
700,0.350,0.826,0.289,35.0,25.2,7.0
700,0.375,0.809,0.303,37.5,27.0,7.5
700,0.400,0.793,0.317,40.0,28.8,8.0
700,0.425,0.777,0.330,42.5,30.6,8.5
700,0.450,0.761,0.342,45.0,32.4,9.0
700,0.475,0.746,0.354,47.5,34.2,9.5
700,0.500,0.731,0.366,50.0,36.0,10.0
700,0.525,0.716,0.376,52.5,37.8,10.5
700,0.550,0.701,0.386,55.0,39.6,11.0
700,0.575,0.687,0.395,57.5,41.4,11.5
700,0.600,0.673,0.404,60.0,43.2,12.0
700,0.625,0.659,0.412,62.5,45.0,12.5
700,0.650,0.645,0.419,65.0,46.8,13.0
