sample_id,sand_content_percent,fines_content_percent,D10_mm,D50_mm,D60_mm,Cu,Cc,relative_density_Dr,void_ratio_e,friction_angle_phi_deg,N1_60,Vs30_m_per_s
SAND-0001,86.73,13.27,0.1382,0.3868,0.6473,2.8,1.673,0.57,0.733,35.45,26.9,251.8
SAND-0002,99.46,0.54,0.017,0.1247,0.8676,7.342,1.056,0.66,0.761,37.51,25.2,230.6
SAND-0003,80.63,19.37,0.1356,0.7588,4.0499,5.596,1.049,0.221,0.851,30.79,6.8,199.2
SAND-0004,83.82,16.18,0.0175,0.1019,0.5414,5.83,1.097,0.49,0.715,34.31,19.3,191.3
SAND-0005,86.88,13.12,0.0588,0.4221,2.3433,7.184,1.294,0.424,0.647,34.53,19.4,219.7
SAND-0006,79.94,20.06,0.0347,0.2254,1.5135,6.499,0.968,0.615,0.736,38.5,24.2,226.0
SAND-0007,94.34,5.66,0.0619,0.326,2.0705,5.267,0.829,0.36,0.738,33.39,14.3,176.4
SAND-0008,76.17,23.83,0.0454,0.2192,1.7105,4.826,0.618,0.368,0.818,34.56,15.9,202.4
SAND-0009,75.17,24.83,0.1606,0.5532,1.712,3.445,1.113,0.609,0.673,34.45,25.2,247.4
SAND-0010,92.54,7.46,0.0752,0.4002,2.0987,5.325,1.015,0.72,0.711,36.5,28.2,272.3
SAND-0011,96.59,3.41,0.035,0.1878,1.2517,5.373,0.806,0.369,0.899,35.84,16.7,214.5
SAND-0012,88.51,11.49,0.0909,0.362,1.2928,3.982,1.115,0.826,0.494,37.43,33.9,292.8
SAND-0013,92.17,7.83,0.0557,0.2985,1.3985,5.354,1.143,0.428,0.763,34.63,21.3,166.0
SAND-0014,73.64,26.36,0.1136,0.4568,2.0654,4.023,0.89,0.595,0.756,37.61,21.0,264.4
SAND-0015,91.45,8.55,0.0591,0.2295,0.7271,3.884,1.226,0.786,0.595,37.42,34.1,300.2
SAND-0016,94.63,5.37,0.164,0.4295,0.8905,2.619,1.263,0.739,0.603,35.52,29.9,289.8
SAND-0017,72.66,27.34,0.0615,0.4662,2.3643,7.584,1.495,0.478,0.607,34.87,18.9,237.6
SAND-0018,81.0,19.0,0.1203,0.5953,3.2043,4.947,0.919,0.369,0.792,34.36,14.8,179.9
SAND-0019,89.48,10.52,0.0862,0.5534,2.407,6.424,1.477,0.442,0.799,35.24,18.8,219.1
