mix_type,temperature,replicate,thermal_conductivity,specific_heat,density,thermal_diffusivity
rubber_10,25,1,1.3420644392123104,1100.7308647462341,2321.379886252412,5.252257470655063e-07
rubber_10,25,2,1.4167918273287718,1105.4291362704405,2308.3953505376644,5.552197993184581e-07
rubber_10,25,3,1.5446755655249795,1066.1877934971449,2334.2179975984404,6.206720050843991e-07
rubber_10,25,4,1.4586390727277725,987.1294234863425,2401.636169868411,6.1527111956974e-07
rubber_10,25,5,1.357263377485366,985.7202499745322,2316.145208047714,5.944901576425775e-07
rubber_10,100,1,1.4333606859816375,1086.6836307302915,2336.0089363832903,5.646480902154432e-07
rubber_10,100,2,1.3625579867693074,1044.2826443341787,2369.9016501068913,5.505624782405285e-07
rubber_10,100,3,1.420092988585759,1048.8773831895544,2312.949096747693,5.853639698678852e-07
rubber_10,100,4,1.32082952153307,1074.9209295277276,2341.5541661821435,5.247664236065874e-07
rubber_10,100,5,1.4499407749060578,1104.1362221341587,2293.830854892913,5.72487772740464e-07
rubber_10,200,1,1.385773612625534,1127.1425287358566,2299.8845871935528,5.345734777698364e-07
rubber_10,200,2,1.3295228426639571,1091.5556587522042,2254.0025247884155,5.403753375069302e-07
rubber_10,200,3,1.2682178635463501,1076.7761463064014,2270.3255814500885,5.187765030632764e-07
rubber_10,200,4,1.4072217962316287,1115.2486369931094,2228.4901209988243,5.662133944489838e-07
rubber_10,200,5,1.338308505266201,1112.0303001357338,2254.8582515204225,5.337284723709657e-07
rubber_10,400,1,1.2897906300163358,1123.0618966605082,2190.6608394078353,5.242523429553314e-07
rubber_10,400,2,1.2442568620355172,1068.0194508575275,2142.095535118549,5.438661713312659e-07
rubber_10,400,3,1.2113654987466909,1106.1507477457253,2191.6114768480147,4.996861555714559e-07
rubber_10,400,4,1.3537174642405516,1082.443699378183,2230.2112903376646,5.607595839052673e-07
rubber_10,400,5,1.239979207935494,1127.1684183671928,2275.40744486276,4.834665329612588e-07
rubber_10,600,1,1.116599406067724,1168.0517228994397,2153.0844299052355,4.4399109308726826e-07
rubber_10,600,2,1.2131284616432434,1205.020778816533,2168.90536896279,4.6416421199217625e-07
rubber_10,600,3,1.149768284294358,1207.5886083844302,2094.8297915350663,4.545090923632618e-07
rubber_10,600,4,1.169976910030888,1189.7659507726496,2115.6799558608595,4.647996403951215e-07
rubber_10,600,5,1.2077443427407764,1148.6921170647333,2195.947450437377,4.787948032571626e-07
