mix_type,temperature,replicate,thermal_conductivity,specific_heat,density,thermal_diffusivity
rubber_20,25,1,0.8668828442073863,1171.1896439252137,2212.229837999817,3.345822820856039e-07
rubber_20,25,2,0.9473924444987445,1191.1263009688664,2180.2877813037135,3.648028996269339e-07
rubber_20,25,3,0.9951095310739223,1214.7676516900722,2305.438912961822,3.5532359559343313e-07
rubber_20,25,4,0.8746504378358704,1190.007275222785,2150.8647303083353,3.4172110597080876e-07
rubber_20,25,5,0.858869326332453,1244.4662406118186,2203.1560713575104,3.132555031632123e-07
rubber_20,100,1,0.8344598860151097,1299.24743724287,2088.4744141304636,3.07527838852483e-07
rubber_20,100,2,0.887810205804416,1194.0417355423563,2156.1388469905773,3.4484497490706455e-07
rubber_20,100,3,0.911904657643269,1208.2373788179668,2147.7657202602195,3.514068801380226e-07
rubber_20,100,4,0.8860264715393024,1215.3954353362,2169.0085828916135,3.3609946865252043e-07
rubber_20,100,5,0.8851508735045395,1157.518953113682,2129.6211198962096,3.5907638666263385e-07
rubber_20,200,1,0.9058052055716559,1221.6336116257721,2170.4617765658863,3.416187481979167e-07
rubber_20,200,2,0.8238246463041552,1268.2294291352944,2192.738207592373,2.9624441382977976e-07
rubber_20,200,3,0.8436496233859572,1219.241247161601,2191.0605862219595,3.1580433253892625e-07
rubber_20,200,4,0.8156401580539375,1217.573184880979,2120.0140830582563,3.159837721645112e-07
rubber_20,200,5,0.8289980088770653,1214.966322234528,2263.5620058388567,3.0143720340877704e-07
rubber_20,400,1,0.7996808269205812,1266.34944770183,2123.2839491276977,2.9740964014868073e-07
rubber_20,400,2,0.8164004738542059,1206.3442943953776,2074.387044583584,3.262437363014657e-07
rubber_20,400,3,0.8156653013842571,1286.1546557144568,2121.9126774675838,2.988761677785778e-07
rubber_20,400,4,0.8143333217202905,1372.620369408617,2081.9931703426146,2.849524963995181e-07
rubber_20,400,5,0.7720520100578623,1245.4459648877169,2114.088406804087,2.9322333129925403e-07
rubber_20,600,1,0.7726517978358698,1341.6069225087917,2038.9085386235492,2.8246249071109055e-07
rubber_20,600,2,0.708767349250235,1345.088360038384,2071.3855219800416,2.5438526511616064e-07
rubber_20,600,3,0.7855784572039126,1334.3507226552183,2048.1057272778753,2.874532334096777e-07
rubber_20,600,4,0.6956934939747184,1330.7219356835428,2141.4885678304113,2.441264668304828e-07
rubber_20,600,5,0.6876628378509815,1403.644770301839,2065.2894573170797,2.3721241509247894e-07
