mix_type,temperature,replicate,thermal_conductivity,specific_heat,density,thermal_diffusivity
control,25,1,2.107482923507417,891.2749143959652,2361.8938376699284,1.0011335324852657e-06
control,25,2,1.9605955107454034,898.0387214559556,2339.8845928959813,9.33036220054661e-07
control,25,3,2.21146311749458,846.1692879743946,2400.669561800151,1.0886544601549126e-06
control,25,4,2.2124148847066114,908.0085679021432,2347.4101274056443,1.0379768109806725e-06
control,25,5,2.090490173769446,880.5640717933243,2368.595855013793,1.0022964771074228e-06
control,100,1,2.095147995262305,882.894367389496,2409.0681518132646,9.850468199867642e-07
control,100,2,2.016764352819843,889.0190686523395,2353.5769183749653,9.638638313738776e-07
control,100,3,2.0627318211432466,929.2961324661424,2292.517890657249,9.68224137142692e-07
control,100,4,2.033640006045585,937.8591935633185,2376.0666070169304,9.125944556296353e-07
control,100,5,1.9752071371901883,915.9112263854389,2417.842947273071,8.919308313764347e-07
control,200,1,1.9366557535291313,949.7465988414581,2407.4363256447123,8.470126064345724e-07
control,200,2,2.057633136192154,938.6059901460951,2381.459787265981,9.205372584725711e-07
control,200,3,2.0982757077491567,978.911248264277,2364.4403424757984,9.065481441065282e-07
control,200,4,1.8850004814468502,974.533516266625,2279.708244229473,8.484678986503871e-07
control,200,5,1.7808732268411789,923.2846109325186,2310.287894573044,8.348939336558703e-07
control,400,1,1.7804514898921056,928.2366776022387,2357.162915247242,8.137327979032687e-07
control,400,2,1.713020807864783,942.1381053034748,2221.864077757997,8.183339733113193e-07
control,400,3,1.9080072831213064,955.0654343442529,2286.9115311030546,8.735696485716758e-07
control,400,4,1.8902197148133737,960.6839721207629,2307.823860502797,8.525681104953233e-07
control,400,5,1.951331177978373,998.4932371961039,2341.1703273227567,8.347431134194085e-07
control,600,1,1.7101749256063652,1054.3521376538467,2269.278642771875,7.14771167988566e-07
control,600,2,1.8073139396415197,1048.2688274260179,2246.7633602942024,7.67367839863301e-07
control,600,3,1.6742970193670148,960.9272075150488,2306.2851274670843,7.554905139201333e-07
control,600,4,1.7682724670892984,1014.4413689575574,2293.998414110739,7.598521909030247e-07
control,600,5,1.661547127809084,988.6798137384465,2279.228813569772,7.37342166054736e-07
