mix_type,temperature,replicate,thermal_conductivity,specific_heat,density,thermal_diffusivity
rubber_30,25,1,0.5043601360662427,1392.6556021045346,2104.6772960789444,1.7207251506287626e-07
rubber_30,25,2,0.46757582235226336,1389.0412316997397,2096.8687343473207,1.6053349647344144e-07
rubber_30,25,3,0.48638924607647843,1358.6596218662087,2093.9843582463564,1.7096210725905008e-07
rubber_30,25,4,0.49870986464661854,1406.3160630148066,2122.463935191906,1.670800905649285e-07
rubber_30,25,5,0.48851259347495785,1331.389051942768,2120.755738109376,1.7301355576535922e-07
rubber_30,100,1,0.4833802834848742,1359.9846229781783,2114.8022529483937,1.6806805329536957e-07
rubber_30,100,2,0.5190316684020143,1364.2544115944347,2112.219527432764,1.8011896248260882e-07
rubber_30,100,3,0.4776966775697608,1390.1380969621475,2138.3477885929274,1.6070002098684886e-07
rubber_30,100,4,0.4694507115171813,1354.6288344324316,2136.068833604626,1.6223869429962793e-07
rubber_30,100,5,0.48412834401662824,1417.0416247837043,2078.6725658836226,1.6435836710253308e-07
rubber_30,200,1,0.4665180022979599,1337.0589988784925,2086.9845877090966,1.671854945090663e-07
rubber_30,200,2,0.45950376494043915,1424.622185517998,2033.1525702021747,1.5864244733503097e-07
rubber_30,200,3,0.43283222145779765,1396.0482702513832,2041.7999566550573,1.5184690992928806e-07
rubber_30,200,4,0.46249146280655185,1418.06102193884,2020.1277245429178,1.6144699712313434e-07
rubber_30,200,5,0.45294909905637537,1389.310760294526,2082.4071519016707,1.5656127668342985e-07
rubber_30,400,1,0.4151444842649065,1413.6021849473987,2053.031998924765,1.430462067900872e-07
rubber_30,400,2,0.41716428502973746,1381.2965107506686,2017.660833515206,1.4968284922874883e-07
rubber_30,400,3,0.3894156118820726,1498.5497041128856,2042.4245321080728,1.2723195138890651e-07
rubber_30,400,4,0.4193444983084865,1472.7481221034102,2066.780406795291,1.3776793098292726e-07
rubber_30,400,5,0.4132836340047972,1455.052756012093,2030.6160058994062,1.3987550343356504e-07
rubber_30,600,1,0.39692219474683943,1583.6197723519567,1980.6684785663783,1.2654432644123152e-07
rubber_30,600,2,0.3997895826642697,1524.184348335143,2069.506143299052,1.2674395528048094e-07
rubber_30,600,3,0.40499139469569106,1456.6997286500973,1969.7942029047306,1.4114155603263905e-07
rubber_30,600,4,0.41212093471271155,1500.7286948709213,1976.1800608920307,1.3896197454750583e-07
rubber_30,600,5,0.3531466878847294,1493.7165134464108,2004.4466836134159,1.1794850653954899e-07
