Temperature_C,Rubber_Content_%,Paste_Volume_Fraction,Aggregate_Volume_Fraction,Rubber_Volume_Fraction,Pore_Volume_Fraction,Crack_Volume_Fraction,Segmentation_Dice_Coefficient,Segmentation_Jaccard_Index,Paste_Aggregate_Interface_m2_m3,Paste_Rubber_Interface_m2_m3,Paste_Pore_Interface_m2_m3,Total_Interface_Area_m2_m3,Gray_Threshold_Paste_Pore,Gray_Threshold_Paste_Aggregate,Gray_Threshold_Rubber,Timestamp
20,0,0.2997002997002997,0.5494505494505496,0.0,0.14985014985014986,0.0009990009990009992,0.916953600316902,0.8934698674146242,499.22382002820217,3.2925426022879987,292.42891580399817,794.9452784344883,119.8,160.1,99.6,2025-10-18T18:00:17.085928
20,5,0.2365930599369085,0.5783385909568874,0.052576235541535225,0.13144058885383805,0.0010515247108307045,0.9208397441657622,0.886957169100051,483.7103810180673,100.71057068891409,287.84863583049207,872.2695875374735,119.8,160.1,99.6,2025-10-18T18:00:17.085937
20,10,0.1664816870144284,0.6104328523862376,0.11098779134295228,0.11098779134295227,0.0011098779134295228,0.9170152001290182,0.8973883071617694,524.4710725613284,195.31959831440253,306.78103030099965,1026.5717011767306,119.8,160.1,99.6,2025-10-18T18:00:17.085943
20,15,0.08813160987074033,0.6462984723854289,0.1762632197414806,0.0881316098707403,0.0011750881316098707,0.9173041915920945,0.8795806040855726,485.381261356924,304.86356435676794,301.18782115690664,1091.4326468705985,119.8,160.1,99.6,2025-10-18T18:00:17.085949
20,20,0.0,0.686641697877653,0.24968789013732834,0.06242197253433207,0.0012484394506866417,0.9144507931501927,0.8841538508643552,502.1710009591527,401.5190793973958,335.3828818603631,1239.0729622169115,119.8,160.1,99.6,2025-10-18T18:00:17.085954
200,0,0.2997002997002997,0.5494505494505496,0.0,0.14985014985014986,0.0009990009990009992,0.9129498793679134,0.8681005374594253,506.4507269593175,17.01570179586834,398.05982219414307,921.5262509493289,118.0,161.0,96.0,2025-10-18T18:00:17.085959
200,5,0.2365930599369085,0.5783385909568874,0.052576235541535225,0.13144058885383805,0.0010515247108307045,0.911718327854493,0.856222581973906,549.0767824054856,108.78146570839223,395.3389045569453,1053.197152670823,118.0,161.0,96.0,2025-10-18T18:00:17.085964
200,10,0.1664816870144284,0.6104328523862376,0.11098779134295228,0.11098779134295227,0.0011098779134295228,0.9097004538487821,0.8509767989771074,532.5806035673406,212.20492264928356,414.61851390321743,1159.4040401198417,118.0,161.0,96.0,2025-10-18T18:00:17.085969
200,15,0.08813160987074033,0.6462984723854289,0.1762632197414806,0.0881316098707403,0.0011750881316098707,0.9133854020217115,0.8672965060321681,512.8738718517615,305.6063215259574,401.29134606488986,1219.7715394426089,118.0,161.0,96.0,2025-10-18T18:00:17.085973
200,20,0.0,0.686641697877653,0.24968789013732834,0.06242197253433207,0.0012484394506866417,0.9032263159998639,0.8693487525043412,496.04199530666546,404.8066159905579,397.79497000246016,1298.6435812996835,118.0,161.0,96.0,2025-10-18T18:00:17.085978
