Temperature_C,Rubber_Content_%,Scan_ID,Sample_Volume_mm3,Expected_Particles,Detected_Particles,Detection_Rate,Mean_Particle_Diameter_mm,Std_Particle_Diameter_mm,Volume_Change_%,Nearest_Neighbor_Distance_mm,Clustering_Coefficient,Interface_Gap_um,Internal_Porosity,Avg_Gray_Value,Gray_Value_StdDev,Particle_Sphericity,Aspect_Ratio,Distribution_Uniformity,Timestamp
20,5,CT_Rubber_20_5_1,1000,11,9,0.7539822368615503,1.8286055590078836,0.5,-2,4.807498567691361,0.36153587428576517,0.0,0.02,110.0,10.2,0.8455794988367225,1.1491709857650876,0.8022673018442926,2025-10-18T18:00:17.083811
20,5,CT_Rubber_20_5_2,1000,11,9,0.7539822368615503,1.8762528443599156,0.5,-2,4.807498567691361,0.3171832540154097,0.0,0.02,110.0,10.2,0.8537806590122045,1.0923925894761386,0.651283153879586,2025-10-18T18:00:17.083827
20,5,CT_Rubber_20_5_3,1000,11,12,1.0053096491487337,2.108266046166327,0.5,-2,4.367902323681494,0.41863379460816796,0.0,0.02,110.0,10.2,0.8086779646271882,1.1727238832150197,0.737069093240098,2025-10-18T18:00:17.083837
20,5,CT_Rubber_20_5_4,1000,11,12,1.0053096491487337,1.960031030483288,0.5,-2,4.367902323681494,0.2680724004442112,0.0,0.02,110.0,10.2,0.8437350353670835,1.1091742381791938,0.7629644611160971,2025-10-18T18:00:17.083844
20,5,CT_Rubber_20_5_5,1000,11,9,0.7539822368615503,1.8649011838539773,0.5,-2,4.807498567691361,0.32135286915182765,0.0,0.02,110.0,10.2,0.8328442843275674,1.1478842791157766,0.7877988820602432,2025-10-18T18:00:17.083853
20,5,CT_Rubber_20_5_6,1000,11,10,0.8377580409572781,2.031344069144699,0.5,-2,4.641588833612778,0.3245989115193461,0.0,0.02,110.0,10.2,0.8667394611738811,1.1912977642208833,0.8091464231851943,2025-10-18T18:00:17.083860
20,5,CT_Rubber_20_5_7,1000,11,12,1.0053096491487337,1.970527873480975,0.5,-2,4.367902323681494,0.3780004143612265,0.0,0.02,110.0,10.2,0.8772284331880497,1.098878611010761,0.7500322208000311,2025-10-18T18:00:17.083866
20,5,CT_Rubber_20_5_8,1000,11,9,0.7539822368615503,2.0645191503502556,0.5,-2,4.807498567691361,0.3064000683243936,0.0,0.02,110.0,10.2,0.8480541494857566,1.1426765409253912,0.7626884360946385,2025-10-18T18:00:17.083873
20,10,CT_Rubber_20_10_1,1000,23,18,0.7539822368615503,2.09294861958213,0.5,-2,3.815714141844439,0.39786929758940187,0.0,0.02,100.0,10.2,0.8294922673445014,1.0280828107244222,0.6947559160675999,2025-10-18T18:00:17.083880
20,10,CT_Rubber_20_10_2,1000,23,18,0.7539822368615503,2.161020683818584,0.5,-2,3.815714141844439,0.46276615956947215,0.0,0.02,100.0,10.2,0.8349825062668264,1.1042623266929623,0.6758464768041871,2025-10-18T18:00:17.083887
20,10,CT_Rubber_20_10_3,1000,23,20,0.8377580409572781,2.004880489089469,0.5,-2,3.6840314986403864,0.4663659286792229,0.0,0.02,100.0,10.2,0.8206364017194249,1.050550423914823,0.752658362787751,2025-10-18T18:00:17.083894
20,10,CT_Rubber_20_10_4,1000,23,25,1.0471975511965976,2.0331365550215548,0.5,-2,3.4199518933533937,0.35669664657069045,0.0,0.02,100.0,10.2,0.8667687696169837,1.1299767187337708,0.7099675067064011,2025-10-18T18:00:17.083901
20,10,CT_Rubber_20_10_5,1000,23,26,1.0890854532444616,1.8211785734913408,0.5,-2,3.375531905895818,0.40838443767382004,0.0,0.02,100.0,10.2,0.8570473619928899,1.0932157016174744,0.6667474839166011,2025-10-18T18:00:17.083909
20,10,CT_Rubber_20_10_6,1000,23,22,0.9215338450530058,1.9678461482839973,0.5,-2,3.5688292775180406,0.3670717509966089,0.0,0.02,100.0,10.2,0.839788704596454,1.061129734939869,0.7507606185967305,2025-10-18T18:00:17.083916
20,10,CT_Rubber_20_10_7,1000,23,24,1.0053096491487337,1.9322198656522291,0.5,-2,3.466806371753173,0.3017987913284855,0.0,0.02,100.0,10.2,0.8622919087482229,1.1451543336618657,0.7155400203844459,2025-10-18T18:00:17.083922
