Temperature_C,Rubber_Content_%,Effective_Diffusivity_Relative,Permeability_m2,Permeability_Darcy,Formation_Factor,Critical_Pore_Diameter_mm,Constrictivity,Gas_Liquid_Permeability_Ratio,Estimated_Chloride_Diffusion_m2_s,Estimated_Oxygen_Diffusion_m2_s,Estimated_Water_Sorptivity_mm_per_sqrt_h,Timestamp
20,0,0.13038707753512754,9.188170726091469e-18,9.309913988212182e-06,49.52094981695382,0.12000000000000001,0.513456315866624,1.52,1.3038707753512755e-13,2.607741550702551e-13,0.9585494627869482,2025-10-18T18:00:17.086270
20,5,0.20048739455076695,1.408624759306523e-17,1.4272890373673344e-05,49.53642254593498,0.17,0.49735297970841436,1.57,2.0048739455076695e-13,4.009747891015339e-13,1.1868549866375937,2025-10-18T18:00:17.086280
20,10,0.29833406964947984,3.942306786081709e-17,3.994542350997291e-05,41.296063694249845,0.22000000000000003,0.46865768562347454,1.62,2.9833406964947983e-13,5.966681392989597e-13,1.9855243101210596,2025-10-18T18:00:17.086286
20,15,0.37049655728212666,4.01808504258639e-17,4.0713246694006594e-05,45.803367777506296,0.27,0.48024235516404457,1.67,3.7049655728212664e-13,7.409931145642533e-13,2.004516161717433,2025-10-18T18:00:17.086291
20,20,0.3461283462510513,6.922516519773104e-17,7.014239863660098e-05,40.08017649995631,0.32,0.5009427413548184,1.72,3.4612834625105133e-13,6.922566925021027e-13,2.6310675627533975,2025-10-18T18:00:17.086296
200,0,0.1377632630671378,1.0341349429165417e-17,1.047837230910186e-05,44.91051864365106,0.30000000000000004,0.4637195516240778,1.7,1.3776326306713778e-13,2.7552652613427556e-13,1.0169242562337382,2025-10-18T18:00:17.086301
200,5,0.22574551517065863,2.0615722951514313e-17,2.0888881280621877e-05,43.388527913989606,0.35000000000000003,0.44535364390772175,1.75,2.2574551517065864e-13,4.514910303413173e-13,1.4358176399360163,2025-10-18T18:00:17.086305
200,10,0.2671664268778486,3.0354969909404004e-17,3.0757173260703606e-05,38.32741773507085,0.4,0.46766752376797893,1.8,2.671664268778486e-13,5.343328537556972e-13,1.7422677724564615,2025-10-18T18:00:17.086309
200,15,0.37912993323512256,3.130516733335101e-17,3.1719960800517915e-05,39.8935141530047,0.45000000000000007,0.42659205134691336,1.8499999999999999,3.7912993323512253e-13,7.582598664702451e-13,1.769326632743401,2025-10-18T18:00:17.086314
200,20,0.3688946522487008,4.7630172407898477e-17,4.826127219230313e-05,33.75877970776737,0.5,0.43498858429070975,1.9,3.688946522487008e-13,7.377893044974016e-13,2.1824337884091345,2025-10-18T18:00:17.086318
400,0,0.26887331412484994,1.0498820952009236e-16,0.00010637930329623358,39.36497321700194,0.5,0.41570245030963227,1.9,2.6887331412484994e-13,5.377466282496999e-13,3.2401884130416296,2025-10-18T18:00:17.086323
400,5,0.28606699872033614,2.4076125731563824e-16,0.00024395134397507044,32.1798733163385,0.55,0.4045473615853596,1.95,2.8606699872033614e-13,5.721339974406723e-13,4.90674288419149,2025-10-18T18:00:17.086329
400,10,0.3787146277300939,4.1735110561407237e-16,0.0004228810077634588,29.226191174181746,0.6,0.382333847479316,2.0,3.787146277300939e-13,7.574292554601878e-13,6.460271709565104,2025-10-18T18:00:17.086334
400,15,0.45415980113432336,5.923617936016243e-16,0.0006002105873668458,29.31899311338715,0.65,0.3693780152870824,2.05,4.5415980113432336e-13,9.083196022686467e-13,7.6965043597832405,2025-10-18T18:00:17.086338
400,20,0.6329814898409138,8.512707492088171e-16,0.0008625500866358339,25.291936076339642,0.7,0.4047125570602299,2.1,6.329814898409138e-13,1.2659629796818276e-12,9.226433488671649,2025-10-18T18:00:17.086342
600,0,0.44514464599100995,9.49907134669137e-16,0.000962493404203503,35.095096169566155,0.7,0.3322018976647665,2.1,4.4514464599100996e-13,8.902892919820199e-13,9.746317944070658,2025-10-18T18:00:17.086347
600,5,0.47187531492497337,2.564812838203097e-15,0.002598796608309288,30.547914978227286,0.75,0.3729157179600355,2.15,4.718753149249734e-13,9.437506298499468e-13,16.015033057109488,2025-10-18T18:00:17.086351
600,10,0.6730436121982108,6.619750926929093e-15,0.006707462626710904,29.204934405305103,0.7999999999999999,0.3522015943864573,2.2,6.730436121982108e-13,1.3460872243964217e-12,25.728876630994005,2025-10-18T18:00:17.086356
600,15,0.7367749256001676,6.869955422392126e-15,0.006960982331738822,23.03157151421597,0.85,0.3218672998032503,2.25,7.367749256001675e-13,1.473549851200335e-12,26.210599806933313,2025-10-18T18:00:17.086360
600,20,0.7039904755183344,6.9028450295182875e-15,0.006994307726159405,20.924087063404183,0.8999999999999999,0.34251461847582804,2.3000000000000003,7.039904755183344e-13,1.4079809510366687e-12,26.273265936153216,2025-10-18T18:00:17.086364
800,0,0.7501616829702928,9.146541271538561e-15,0.009267732943386448,25.465770223340844,0.9,0.3382475775385884,2.3,7.501616829702928e-13,1.5003233659405856e-12,30.24324928234161,2025-10-18T18:00:17.086368
