,,Creep_Strain_Percent,Creep_Strain_Percent,Min_Creep_Rate_Per_Hour,Rupture_Time_Hours,Specimen_Failed
,,min,max,first,first,first
Temperature_C,Stress_MPa,,,,,
600,100,-0.000262,0.000185,-0.053033,,False
600,150,-0.000192,0.000272,-0.04475,,False
600,200,-0.000324,0.000385,-0.063495,,False
600,250,-0.000212,0.000219,-0.054908,,False
600,300,-0.00023,0.000308,-0.13456,,False
600,350,-0.000247,0.000227,-0.048996,,False
600,400,-0.00027,0.000257,-0.169754,,False
700,100,-0.000184,0.000263,-0.038632,,False
700,150,-0.000152,0.000253,-0.05643,,False
700,200,-0.000242,0.000208,-0.153898,,False
700,250,-0.00029,0.00024,-0.051487,,False
700,300,-0.00025,0.000244,-0.203701,,False
700,350,-0.000215,0.000258,-0.083665,,False
700,400,-0.000259,0.000217,-0.04632,,False
750,100,-0.000187,0.00026,-0.042217,,False
750,150,-0.000292,0.000319,-0.043675,,False
750,200,-0.000217,0.000259,-0.041912,,False
750,250,-0.00027,0.000217,-0.043919,,False
750,300,-0.000253,0.000264,-0.050515,,False
750,350,-0.000302,0.000314,-0.051274,,False
750,400,-0.000256,0.000241,-0.026414,,False
800,100,-0.000221,0.00021,-0.06997,,False
800,150,-0.00026,0.000311,-0.033319,,False
800,200,-0.000185,0.000175,-0.079544,,False
800,250,-0.000222,0.000299,-0.025951,,False
800,300,-0.000264,0.000262,-0.108553,,False
800,350,-0.000253,0.000201,-0.027706,,False
800,400,-0.000193,0.000269,-0.069858,,False
850,100,-0.000299,0.000393,-0.072226,,False
850,150,-0.000283,0.000241,-0.034597,,False
850,200,-0.000291,0.000182,-0.048742,,False
850,250,-0.000203,58.729914,-0.043782,2448.44,True
850,300,-0.000249,65.508695,-0.035506,2154.43,True
850,350,-0.000253,68.968919,-0.064433,2154.43,True
850,400,-0.00026,73.106988,-0.043272,1895.74,True
900,100,-0.000209,0.00023,-0.054565,,False
900,150,-0.000232,0.000324,-0.047524,,False
900,200,-0.000208,0.000165,-0.018347,,False
900,250,-0.000239,60.951892,-0.056978,2154.43,True
900,300,-0.000284,65.830974,-0.083423,2154.43,True
900,350,-0.000263,70.096451,-0.263097,2154.43,True
900,400,-0.000301,74.585064,-0.073448,1895.74,True
950,100,-0.000237,0.00021,-0.040973,,False
950,150,-0.00025,0.000185,-0.031609,,False
950,200,-0.000217,0.000208,-0.099147,,False
950,250,-0.000291,62.081547,-0.199127,2154.43,True
950,300,-0.000318,67.824255,-0.0407,2154.43,True
950,350,-0.000262,71.874535,-0.178477,2154.43,True
950,400,-0.000222,77.482597,-0.04894,1895.74,True
1000,100,-0.00021,0.000239,-0.047055,,False
1000,150,-0.000207,0.000292,-0.042774,,False
1000,200,-0.000163,0.000294,-0.113911,,False
1000,250,-0.000225,63.622837,-0.052954,2154.43,True
1000,300,-0.000238,67.363436,-0.049561,2154.43,True
1000,350,-0.000274,73.205132,-0.041542,1895.74,True
1000,400,-0.000283,75.511079,-0.07988,1895.74,True
