Test_ID,Temperature_C,Stress_MPa,Time_Hours,Creep_Strain_Percent,Strain_Rate_Per_Hour,Test_Type,Atmosphere,Specimen_Failed,Min_Creep_Rate_Per_Hour,Rupture_Time_Hours,Material,Specimen_Geometry
CR_0001,600,100,0.01,6.5e-05,0.06414464,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0114,0.000152,-0.03024671,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0129,-2.3e-05,-0.05303284,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0147,-2.3e-05,0.04815727,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0167,0.000158,0.02340469,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.019,7.7e-05,-0.04212509,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0215,-4.7e-05,-0.00406865,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0245,5.4e-05,9.643e-05,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0278,-4.6e-05,-0.01412485,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0316,-4.7e-05,0.00869493,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0359,2.4e-05,-0.01570078,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0408,-0.000191,-0.01877197,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0464,-0.000172,0.01134565,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
CR_0001,600,100,0.0527,-5.6e-05,0.00526203,Constant_Load,Air,False,-0.05303284,,Superalloy_A,Cylindrical_6mm_dia
