experiment_id,timestamp,void_fraction_alpha,superficial_gas_velocity_usg_ms,superficial_liquid_velocity_usl_ms,flow_pattern,interface_height_mm,wave_amplitude_mm,pipe_diameter_mm,measurement_location_m
EXP001,2024-01-15T09:00:00,0.15,0.5,1.2,smooth_stratified,25.4,0.8,101.6,1.0
EXP002,2024-01-15T09:15:00,0.18,0.7,1.1,smooth_stratified,28.2,1.1,101.6,1.0
EXP003,2024-01-15T09:30:00,0.22,1.0,1.0,wavy_stratified,32.1,2.3,101.6,1.0
EXP004,2024-01-15T09:45:00,0.25,1.3,0.9,wavy_stratified,35.8,3.1,101.6,1.0
EXP005,2024-01-15T10:00:00,0.30,1.8,0.8,wavy_stratified,42.5,4.2,101.6,1.0
EXP006,2024-01-15T10:15:00,0.35,2.2,0.7,wavy_stratified,48.9,5.8,101.6,1.0
EXP007,2024-01-15T10:30:00,0.12,0.3,1.5,smooth_stratified,21.1,0.5,101.6,1.0
EXP008,2024-01-15T10:45:00,0.40,2.8,0.6,wavy_stratified,56.2,7.1,101.6,1.0
EXP009,2024-01-15T11:00:00,0.45,3.5,0.5,wavy_stratified,63.8,9.2,101.6,1.0
EXP010,2024-01-15T11:15:00,0.28,1.5,0.85,wavy_stratified,38.7,3.8,101.6,1.0
EXP011,2024-01-15T14:00:00,0.16,0.6,1.15,smooth_stratified,26.8,0.9,101.6,2.0
EXP012,2024-01-15T14:15:00,0.20,0.9,1.05,wavy_stratified,30.5,1.8,101.6,2.0
EXP013,2024-01-15T14:30:00,0.24,1.2,0.95,wavy_stratified,34.2,2.7,101.6,2.0
EXP014,2024-01-15T14:45:00,0.32,1.9,0.75,wavy_stratified,44.1,4.5,101.6,2.0
EXP015,2024-01-15T15:00:00,0.38,2.5,0.65,wavy_stratified,52.3,6.3,101.6,2.0
EXP016,2024-01-16T09:00:00,0.14,0.4,1.3,smooth_stratified,23.7,0.6,101.6,3.0
EXP017,2024-01-16T09:15:00,0.19,0.8,1.08,smooth_stratified,29.4,1.3,101.6,3.0
EXP018,2024-01-16T09:30:00,0.26,1.4,0.88,wavy_stratified,36.9,3.2,101.6,3.0
EXP019,2024-01-16T09:45:00,0.33,2.0,0.72,wavy_stratified,45.8,4.9,101.6,3.0
EXP020,2024-01-16T10:00:00,0.42,3.0,0.58,wavy_stratified,58.7,8.1,101.6,3.0
EXP021,2024-01-16T10:15:00,0.48,3.8,0.48,wavy_stratified,67.2,10.5,101.6,3.0
EXP022,2024-01-16T10:30:00,0.11,0.25,1.6,smooth_stratified,19.8,0.3,101.6,3.0
EXP023,2024-01-16T10:45:00,0.36,2.3,0.68,wavy_stratified,50.1,5.9,101.6,3.0
EXP024,2024-01-16T11:00:00,0.29,1.6,0.82,wavy_stratified,40.3,3.9,101.6,3.0
EXP025,2024-01-16T11:15:00,0.21,1.1,1.02,wavy_stratified,31.8,2.1,101.6,3.0
EXP026,2024-01-17T09:00:00,0.17,0.65,1.12,smooth_stratified,27.5,1.0,101.6,4.0
EXP027,2024-01-17T09:15:00,0.23,1.15,0.92,wavy_stratified,33.6,2.5,101.6,4.0
EXP028,2024-01-17T09:30:00,0.31,1.75,0.78,wavy_stratified,43.2,4.1,101.6,4.0
EXP029,2024-01-17T09:45:00,0.37,2.4,0.66,wavy_stratified,51.8,6.1,101.6,4.0
EXP030,2024-01-17T10:00:00,0.44,3.2,0.54,wavy_stratified,61.5,8.8,101.6,4.0
EXP031,2024-01-17T10:15:00,0.13,0.35,1.45,smooth_stratified,22.4,0.7,101.6,4.0
EXP032,2024-01-17T10:30:00,0.27,1.45,0.86,wavy_stratified,37.6,3.5,101.6,4.0
EXP033,2024-01-17T10:45:00,0.39,2.7,0.62,wavy_stratified,54.7,6.8,101.6,4.0
EXP034,2024-01-17T11:00:00,0.46,3.6,0.51,wavy_stratified,65.3,9.7,101.6,4.0
EXP035,2024-01-17T11:15:00,0.34,2.1,0.71,wavy_stratified,47.2,5.2,101.6,4.0
EXP036,2024-01-18T09:00:00,0.08,0.15,1.8,smooth_stratified,15.2,0.2,101.6,5.0
EXP037,2024-01-18T09:15:00,0.41,2.9,0.59,wavy_stratified,57.4,7.8,101.6,5.0
EXP038,2024-01-18T09:30:00,0.49,4.0,0.46,wavy_stratified,69.1,11.2,101.6,5.0
EXP039,2024-01-18T09:45:00,0.52,4.5,0.42,wavy_stratified,72.8,12.8,101.6,5.0
EXP040,2024-01-18T10:00:00,0.24,1.25,0.91,wavy_stratified,34.9,2.8,101.6,5.0
