TC1_inlet,TC2_center,TC3_outlet,TC4_edge,TC5_corner,time_hours
753.8097392261413,753.4862055683906,754.1859545365287,751.4837828715538,746.9255900516075,0.0
747.3747446753176,747.9917946609529,753.9131219663217,746.1786454500422,745.2010955474937,10.0
746.3441070851501,757.7518511992146,747.6021811954902,752.107926931036,740.0049609497784,20.0
756.8067829165649,759.4863315004726,759.6373540100931,761.1304640657021,749.9754238940703,30.0
732.0890981615445,735.6990495196987,734.8582455490692,734.8896435998366,730.5286297710262,40.0
751.7577783692743,756.2138961906643,758.6917167869833,753.6218957197245,751.176770242269,50.0
742.647760833102,750.4688049343581,746.6039964606668,749.2297163512394,744.3011812512086,60.0
735.8844183066253,739.6500799869966,741.2349455933637,740.2787618164015,731.8932215704323,70.0
754.9667356987119,762.6924918939653,763.429969883899,752.6102446093034,756.6287922466495,80.0
740.1184004079786,745.4205775100387,747.126753851601,744.7197710022739,736.9294313833662,90.0
749.5943303690323,757.7355673007544,752.8963174974422,757.2602286205315,750.1183228742743,100.0
751.2504218357299,755.1499050750385,752.4358712295601,753.5633217510526,745.5690212536555,110.0
742.9208233428263,751.9184007867274,748.2345328716278,742.1098762211825,741.3544465294498,120.0
753.0554097247472,757.7295162187535,756.6823311918747,758.9107756754004,748.671697974774,130.0
739.572748105453,749.2234574663407,746.3764356325806,751.4512615926035,739.6809137545301,140.0
742.0688459739351,744.8380911848047,743.2269718044273,745.8297975252237,737.9713653144905,150.0
741.1621391640309,744.1153940894706,743.3966033103785,744.0115085631285,739.5229607511101,160.0
748.4624114219877,758.783663451817,751.3918595004037,750.2897044467749,746.2489403388423,170.0
748.0060256847395,748.6032023606174,752.5858040463615,749.6565042463759,744.1452149555391,180.0
743.2761033172751,751.5744823473909,749.0252780575219,745.2674841974249,745.9003665206242,190.0
742.9552381458459,750.4251910933087,749.319586767018,750.035115458791,741.9083894333775,200.0
735.5040101949455,741.0118625773233,736.6224515753235,737.0296966468741,732.3094157584931,210.0
750.3523086626229,759.6368268599081,752.2595203544404,754.6613291004847,747.6102527727351,220.0
732.5168819905724,737.5901350188506,735.6025094801876,737.7572362860936,733.6163571655176,230.0
749.7374122934173,749.350859085734,747.9330163740052,747.8047491617477,745.2451283638621,240.0
747.9843237546298,757.575765238996,751.3997642546959,754.6838646137721,745.8793179970071,250.0
741.9753520355703,748.3554063541599,748.2511846327424,745.078102100087,741.2341127749822,260.0
750.5451307716644,756.4718447411176,754.2917635501843,753.8313587170985,746.976639967589,270.0
733.4702836795793,742.2918170778528,743.3429935496567,744.080973139885,738.153315315387,280.0
754.7043346565666,758.9045883004995,760.2747569184779,759.6650692984089,749.2598650692946,290.0
748.4063450570852,752.5678002906715,750.0638998718672,752.7031957343426,743.2351060081381,300.0
753.0826815674783,755.418040350282,756.7411446156187,757.9025635536963,748.536943065186,310.0
751.8915604988902,760.2496539763475,761.5871983939653,759.2056824913634,748.798982317358,320.0
