cycle,time_min,temperature_C,phase,mean_exx,std_exx,max_exx,mean_eyy,std_eyy,max_eyy,mean_von_mises,max_von_mises,hotspot_count,timestamp
1,0,600.0,heating,-5.2084776009950156e-11,9.905931930821535e-10,3.560765199900446e-09,-3.5049854606899412e-12,9.521971724020619e-10,3.672344346193788e-09,1.4837020284415784e-09,6.229187188745899e-09,0,2025-10-03T05:48:27.813664
1,2,613.7931034482758,heating,3.4901208819265383e-05,0.0005704508038919439,0.01061253949656165,2.4845647892674654e-05,0.00039931596027267065,0.00742919912726887,3.113576502575886e-05,0.009432725714491984,0,2025-10-03T05:50:27.819204
1,4,627.5862068965517,heating,6.907067058516283e-05,0.0008663549615117133,0.012415233343132237,4.917750301122074e-05,0.0006064465646320765,0.008691462909486697,6.162053655906618e-05,0.011035078602296605,49,2025-10-03T05:52:27.822312
1,6,641.3793103448276,heating,1.24160693402443e-05,2.475263123732231e-08,1.2497887736496664e-05,9.928778056240381e-06,2.421840194243063e-08,9.996978166786722e-06,1.1378242193575677e-05,1.1430269490539128e-05,0,2025-10-03T05:54:27.825202
1,8,655.1724137931035,heating,1.6544677018717614e-05,3.112904096100776e-08,1.6660503695955364e-05,1.3245891737658839e-05,3.262233891679401e-08,1.3389807425315913e-05,1.5166840792477166e-05,1.5249050175984545e-05,0,2025-10-03T05:56:27.828035
1,10,668.9655172413793,heating,2.0686853679979488e-05,4.2158832133988965e-08,2.083375635046769e-05,1.6556102331897437e-05,4.012885791486779e-08,1.6673861713053988e-05,1.8962064710587785e-05,1.9082419222975915e-05,0,2025-10-03T05:58:27.830914
1,12,682.7586206896551,heating,2.4821362599195446e-05,4.6879043828011e-08,2.4985752634292118e-05,1.985447031258753e-05,4.709329855562496e-08,2.000629823636287e-05,2.2748413910383944e-05,2.284765450597441e-05,0,2025-10-03T06:00:27.833657
1,14,696.551724137931,heating,2.896863950564801e-05,6.213512024475824e-08,2.916136278404279e-05,2.3169070611472278e-05,6.310528214077531e-08,2.3355646487866745e-05,2.654844653391315e-05,2.6695859165884028e-05,0,2025-10-03T06:02:27.836434
1,16,710.3448275862069,heating,0.00025184840670938274,0.0017786816736967905,0.014714448682991184,0.0001796028505617421,0.0012450689235846961,0.010303470124231119,0.00022476188224094536,0.013079236124067027,149,2025-10-03T06:04:27.839479
1,18,724.1379310344828,heating,3.724238859221216e-05,7.804851361821039e-08,3.7551494603558813e-05,2.980145428300451e-05,7.82133585273209e-08,3.0085473345423127e-05,3.413589404718136e-05,3.438928437474445e-05,0,2025-10-03T06:06:27.842236
1,20,737.9310344827586,heating,4.1385729566188344e-05,8.169104218093154e-08,4.1697032790760346e-05,3.309113933293598e-05,7.786512888006824e-08,3.337141168625906e-05,3.792514117295007e-05,3.8117573761281665e-05,0,2025-10-03T06:08:27.845001
1,22,751.7241379310344,heating,4.5527845965176484e-05,8.77103014580924e-08,4.5879968621492204e-05,3.6411150248744735e-05,9.464683608890541e-08,3.670344102224335e-05,4.172352479576952e-05,4.196590996280734e-05,0,2025-10-03T06:10:27.847738
1,24,765.5172413793103,heating,0.00015291048139055657,0.0011425485320249007,0.012796466228431532,0.00011201120572761982,0.0007997743552646356,0.008962509272441351,0.00013728597661831642,0.011374820954483531,81,2025-10-03T06:12:27.855069
1,26,779.3103448275862,heating,8.84440845841069e-05,0.0006423720853418837,0.01199973498155722,6.728931142796142e-05,0.00044965493230177963,0.008405097267646598,8.009982311350316e-05,0.010666773242725911,29,2025-10-03T06:14:27.858212
1,28,793.1034482758621,heating,0.0001975235292224536,0.001305800280867147,0.012412090273646101,0.00014406359191643326,0.0009140580465470696,0.008694229208819971,0.0001771654520611722,0.011033364862085168,113,2025-10-03T06:16:27.861234
1,30,806.8965517241379,heating,6.208694343057417e-05,1.1750414492883028e-07,6.244821577361517e-05,4.9638101281661173e-05,1.1446867821491273e-07,5.010702277178255e-05,5.689360078645507e-05,5.720341494427699e-05,0,2025-10-03T06:18:27.864008
1,32,820.6896551724137,heating,6.619951561437216e-05,1.3730956465528198e-07,6.670404807185263e-05,5.2976216461605316e-05,1.3026402915831107e-07,5.33844772646609e-05,6.067862540312785e-05,6.108261553857554e-05,0,2025-10-03T06:20:27.866905
1,34,834.4827586206897,heating,7.03555477436424e-05,1.4137306165172744e-07,7.078797646140949e-05,5.6289992224921836e-05,1.3773929897693777e-07,5.679222418562572e-05,6.448408116275948e-05,6.484603369184659e-05,0,2025-10-03T06:22:27.869696
1,36,848.2758620689655,heating,7.445518773487579e-05,1.5483864596121014e-07,7.507606849905134e-05,5.957718242951464e-05,1.3399519484454457e-07,5.9964381066786684e-05,6.824390338256038e-05,6.875269714455269e-05,0,2025-10-03T06:24:27.872488
1,38,862.0689655172414,heating,7.861347620563034e-05,1.5737022117102847e-07,7.94010187546963e-05,6.292617379531686e-05,1.5366821109586668e-07,6.33867176850519e-05,7.206238691254659e-05,7.265080384764759e-05,0,2025-10-03T06:26:27.875368
1,40,875.8620689655172,heating,8.278288064559767e-05,1.4599184823733276e-07,8.328137766963513e-05,6.61904481564827e-05,1.68735400740787e-07,6.67145642559946e-05,7.586038545328448e-05,7.623944352438401e-05,0,2025-10-03T06:28:27.878134
1,42,889.655172413793,heating,0.00015613255158712305,0.0009863610042644487,0.01421268887475099,0.00011797187035016995,0.0006904612473065694,0.009957651361090123,0.000141174916750914,0.012634480693578344,49,2025-10-03T06:30:27.881157
1,44,903.448275862069,heating,9.100227152666601e-05,1.7377969763788262e-07,9.1689101493185e-05,7.280231559598467e-05,1.7163971357594118e-07,7.352735069091033e-05,8.340553813324825e-05,8.390594242228511e-05,0,2025-10-03T06:32:27.883923
