tau_s,R
-0.99995,0.03346089421440218
-0.9999,0.43600166498332205
-0.99985,1.000665461673912
-0.9998,1.176530032661504
-0.99975,0.5097810921068755
-0.9997,-0.9525155841887992
-0.99965,-2.6202069146176385
-0.9996,-3.6357078363470037
-0.99955,-3.2717798100442708
-0.9995,-1.313818513898396
-0.99945,1.7117863483579094
-0.9994,4.634493769268352
-0.99935,6.102023870896248
-0.9993,5.208595764568429
-0.99925,1.9720952837484824
-0.9992,-2.570786287660707
-0.99915,-6.697319928014534
-0.9991,-8.637962485018214
-0.99905,-7.301166743059939
-0.999,-2.82168110054697
-0.99895,3.32468915152131
-0.9989,8.784369020457508
-0.99885,11.245213677852641
-0.9988,9.41801658856338
-0.99875,3.6459587089947134
-0.9987,-4.101748061572498
-0.99865,-10.874104181289699
-0.9986,-13.8509492344837
-0.99855,-11.528674027637008
-0.9985,-4.448240422087031
-0.99845,4.894949352744409
-0.9984,12.933554215815239
-0.99835,16.37542107647771
-0.9983,13.546044694071508
-0.99825,5.1895501067120575
-0.9982,-5.691370837525217
-0.99815,-14.947869754511334
-0.9981,-18.86801407655776
-0.99805,-15.612962509357246
-0.998,-6.034607303094207
-0.99795,6.449904234338628
-0.9979,17.04229255783298
-0.99785,21.45279650133351
-0.9978,17.673702277142798
-0.99775,6.83734849654712
-0.9977,-7.144217479181999
-0.99765,-18.96829217027345
-0.9976,-23.906318229402267
-0.99755,-19.697552488273626
-0.9975,-7.599838679343285
-0.99745,7.950030256207906
-0.9974,20.99657415655127
-0.99735,26.36322849913357
-0.9973,21.677122634583416
-0.99725,8.373343580235264
-0.9972,-8.70747867896424
-0.99715,-23.05181205915704
-0.9971,-28.95410618900463
-0.99705,-23.798665263593485
-0.997,-9.203864679311375
-0.99695,9.472669213620664
-0.9969,25.106836782578448
-0.99685,31.519092884274
-0.9968,25.90472915302184
-0.99675,10.046775627121768
-0.9967,-10.2124010572493
-0.99665,-27.120170354125033
-0.9966,-33.99749242626739
-0.99655,-27.885905342197173
-0.9965,-10.79407720085683
-0.99645,10.961211543494786
-0.9964,29.085395945927104
-0.99635,36.45199284713052
-0.9963,29.894701636416237
-0.99625,11.561584034032634
-0.9962,-11.757121882996111
-0.99615,-31.142001012755987
-0.9961,-38.964283742838475
-0.99605,-31.889960820105884
-0.996,-12.283609497985305
-0.99595,12.57113589604373
-0.9959,33.17972548611619
-0.99585,41.46106263701154
-0.9958,33.905060944009264
-0.99575,13.043056010127561
-0.9957,-13.37447129586579
-0.99565,-35.24987703060914
-0.9956,-44.00734170887334
-0.99555,-35.958571795573
-0.9955,-13.832071030242146
-0.99545,14.142119137534934
-0.9954,37.275738579563175
-0.99535,46.50038319565417
-0.9953,37.94660704856263
-0.99525,14.57073354052209
-0.9952,-14.88805631919828
-0.99515,-39.20802827060356
-0.9951,-48.933482754004025
-0.99505,-40.00088450718049
-0.995,-15.43429220438405
-0.99495,15.6096996565456
-0.9949,41.248837173088965
-0.99485,51.47174338851288
-0.9948,42.05963193152894
-0.99475,16.27448969466501
-0.9947,-16.283960663294643
-0.99465,-43.216736277040035
-0.9946,-54.01621061172298
-0.99455,-44.18088312819169
-0.9945,-17.106684417648957
-0.99445,17.075568203172125
-0.9944,45.30529983195419
-0.99435,56.58220872501139
-0.9943,46.24506017448743
-0.99425,17.89091358958576
-0.9942,-17.861611145006236
-0.99415,-47.35305674257537
-0.9941,-59.10483345740741
-0.99405,-48.281015870018386
-0.994,-18.666579791710753
-0.99395,18.641199057582615
-0.9939,49.38852176088502
-0.99385,61.612745544490664
-0.9938,50.29597213934322
-0.99375,19.417166174958933
-0.9937,-19.43453734475493
-0.99365,-51.41492193931237
-0.9936,-64.10546301105424
-0.99355,-52.327260724518126
-0.9935,-20.22861743085393
-0.99345,20.16358386844452
-0.9934,53.42635813055603
-0.99335,66.62340447722616
-0.9933,54.35711437734006
-0.99325,20.982540940025146
-0.9932,-20.94554426791461
-0.99315,-55.4155565288392
-0.9931,-69.06854961821004
-0.99305,-56.35552009965891
