tau_s,R_x1x2
-0.029999,1.0344755244700032e-09
-0.029998,2.013742965128687e-09
-0.029997,2.9384606497155297e-09
-0.029996,3.8093597902398975e-09
-0.029995,4.627264935730232e-09
-0.029994,5.393084297991462e-09
-0.029993,6.107805403363374e-09
-0.029992,6.772459815773699e-09
-0.029991,7.388089899387625e-09
-0.02999,7.95576522126794e-09
-0.029989,8.476580459262348e-09
-0.029988,8.951638516866498e-09
-0.029987,9.382043849262927e-09
-0.029986,9.768887224296728e-09
-0.029985,1.0113241703559956e-08
-0.029984,1.0416202197472256e-08
-0.029983,1.067891150402526e-08
-0.029982,1.0902557441343865e-08
-0.029981,1.1088358836455477e-08
-0.02998,1.123751875013113e-08
-0.029979,1.1351212419750583e-08
-0.029978,1.1430609056519138e-08
-0.029977,1.1476874908225405e-08
-0.029976,1.1491160993981694e-08
-0.029975,1.1474596568279796e-08
-0.029974,1.142826494657331e-08
-0.029973,1.1353219314995739e-08
-0.029972,1.1250553411535092e-08
-0.029971,1.1121424529701472e-08
-0.02997,1.0967050300290188e-08
-0.029969,1.0788701088426429e-08
-0.029968,1.0587648056033586e-08
-0.029967,1.0365145500335429e-08
-0.029966,1.01224530250248e-08
-0.029965,9.860845402710969e-09
-0.029964,9.581619304501349e-09
-0.029963,9.286077664130265e-09
-0.029962,8.975497281385793e-09
-0.029961,8.651132937520742e-09
-0.02996,8.314264418764247e-09
-0.029959,7.966223895911956e-09
-0.029958,7.60840967297554e-09
-0.029957,7.2422495774096914e-09
-0.029956,6.8691080125669645e-09
-0.029955,6.490268976324134e-09
-0.029954,6.106958919101291e-09
-0.029953,5.720349932089449e-09
-0.029952,5.331581805108323e-09
-0.029951,4.941743682656023e-09
-0.02995,4.55183025656475e-09
-0.029949,4.162758241873235e-09
-0.029948,3.775415875845486e-09
-0.029947,3.3906802659233416e-09
-0.029946,3.0094281320149704e-09
-0.029945,2.632522044910325e-09
-0.029944,2.260755521969663e-09
-0.029943,1.894848875494467e-09
-0.029942,1.535465004336503e-09
-0.029941,1.183223869237635e-09
-0.02994,8.387302855650584e-10
-0.029939,5.025645545942502e-10
-0.029938,1.7525303694936967e-10
-0.029937,-1.4272199736701118e-10
-0.029936,-4.509001742634509e-10
-0.029935,-7.48819388035271e-10
-0.029934,-1.0359982835749786e-09
-0.029933,-1.3119629335900148e-09
-0.029932,-1.5763060200131602e-09
-0.029931,-1.8286857567727567e-09
-0.02993,-2.068809701336755e-09
-0.029929,-2.29642909925638e-09
-0.029928,-2.5113263684842325e-09
-0.029927,-2.713336447874705e-09
-0.029926,-2.9023784875041907e-09
-0.029925,-3.078437495148844e-09
-0.029924,-3.2415196465121376e-09
-0.029923,-3.391632266963522e-09
-0.029922,-3.5287762412594425e-09
-0.029921,-3.652956622342269e-09
-0.02992,-3.764224731259876e-09
-0.029919,-3.8626782718994136e-09
-0.029918,-3.948444620602661e-09
-0.029917,-4.021668285131455e-09
-0.029916,-4.082493873106108e-09
-0.029915,-4.131078893939655e-09
-0.029914,-4.167617853316996e-09
-0.029913,-4.192334388693174e-09
-0.029912,-4.2054547390176194e-09
-0.029911,-4.207184532036384e-09
-0.02991,-4.197690925664372e-09
-0.029909,-4.177130292324971e-09
-0.029908,-4.145706823716561e-09
-0.029907,-4.10368277794785e-09
-0.029906,-4.051366954938405e-09
-0.029905,-3.98910720522205e-09
-0.029904,-3.917261726326413e-09
-0.029903,-3.8362111202958556e-09
-0.029902,-3.74638584545917e-09
-0.029901,-3.648258445577489e-09
-0.0299,-3.5423270571562976e-09
-0.029899,-3.4290967012445134e-09
-0.029898,-3.3090611174702643e-09
-0.029897,-3.182712209721406e-09
-0.029896,-3.050579491795765e-09
-0.029895,-2.9132308624684815e-09
-0.029894,-2.771271529297034e-09
-0.029893,-2.6253202702436183e-09
-0.029892,-2.475962239421076e-09
-0.029891,-2.323754361520211e-09
-0.02989,-2.1692442438668676e-09
-0.029889,-2.0129649690352382e-09
-0.029888,-1.8554357522063786e-09
-0.029887,-1.6971398786538178e-09
-0.029886,-1.538497753855255e-09
-0.029885,-1.3798888958990575e-09
-0.029884,-1.2216891389754084e-09
-0.029883,-1.064274962991476e-09
-0.029882,-9.080237139844233e-10
-0.029881,-7.53301659391986e-10
-0.02988,-6.004383021758663e-10
-0.029879,-4.4974610985567173e-10
-0.029878,-3.015396557748318e-10
-0.029877,-1.5613541834884222e-10
-0.029876,-1.3851895410981443e-11
-0.029875,1.2501160510712201e-10
-0.029874,2.601910589469804e-10
-0.029873,3.914444252020783e-10
-0.029872,5.18530398193333e-10
-0.029871,6.411963163150682e-10
-0.02987,7.591759661833445e-10
-0.029869,8.72210386959422e-10
-0.029868,9.800786918236151e-10
-0.029867,1.0825847296251192e-09
-0.029866,1.1795430578705338e-09
-0.029865,1.2707771526442635e-09
-0.029864,1.3561253021988604e-09
-0.029863,1.4354737227161727e-09
-0.029862,1.508777692086167e-09
-0.029861,1.5760418979658022e-09
-0.02986,1.6372811338967747e-09
-0.029859,1.6925074960777742e-09
-0.029858,1.7417300285564529e-09
-0.029857,1.7849664990272788e-09
-0.029856,1.822266155957348e-09
-0.029855,1.8536948867970044e-09
-0.029854,1.8793182054327596e-09
-0.029853,1.899197114010652e-09
-0.029852,1.9133941197974817e-09
-0.029851,1.9219892885949877e-09
-0.02985,1.9250936888986166e-09
-0.029849,1.9228407950140537e-09
-0.029848,1.9153609457943174e-09
-0.029847,1.902771064390739e-09
-0.029846,1.8851695432224207e-09
-0.029845,1.862653825018141e-09
-0.029844,1.8353506363928319e-09
-0.029843,1.8034097024550042e-09
-0.029842,1.7669938856528866e-09
-0.029841,1.7262775161200102e-09
-0.02984,1.681441203173664e-09
-0.029839,1.6326883422314294e-09
-0.029838,1.5802625318368277e-09
-0.029837,1.524434087591039e-09
-0.029836,1.4654798195179967e-09
-0.029835,1.403675452909536e-09
-0.029834,1.3392914748854108e-09
-0.029833,1.2726001751919588e-09
-0.029832,1.2038936745375397e-09
-0.029831,1.1334670521318913e-09
-0.02983,1.0616101862655747e-09
-0.029829,9.886019030171966e-10
-0.029828,9.14703036348025e-10
-0.029827,8.401678813000521e-10
-0.029826,7.652523518643446e-10
-0.029825,6.902064817647139e-10
-0.029824,6.152658619814449e-10
-0.029823,5.406439842449295e-10
-0.029822,4.665261082765129e-10
-0.029821,3.930811666780048e-10
-0.02982,3.2047742356856666e-10
-0.029819,2.4887654283601377e-10
-0.029818,1.78428842789597e-10
-0.029817,1.0927073036630949e-10
-0.029816,4.152162104017205e-11
-0.029815,-2.4697184562683106e-11
-0.029814,-8.925230966673957e-11
-0.029813,-1.5200318458179634e-10
-0.029812,-2.1281402972009446e-10
-0.029811,-2.715628387199508e-10
-0.02981,-3.2814560871985227e-10
-0.029809,-3.8246739371162323e-10
-0.029808,-4.344340641465452e-10
-0.029807,-4.839523964458042e-10
-0.029806,-5.309348201586141e-10
-0.029805,-5.753056622213788e-10
-0.029804,-6.170053780078889e-10
-0.029803,-6.55981277426084e-10
-0.029802,-6.921804365184573e-10
-0.029801,-7.255512020654149e-10
-0.0298,-7.560511802633603e-10
-0.029799,-7.836621518557271e-10
-0.029798,-8.083949031101333e-10
-0.029797,-8.302805407179727e-10
-0.029796,-8.493540477421548e-10
-0.029795,-8.65651456018289e-10
-0.029794,-8.792116430898507e-10
-0.029793,-8.900816686865357e-10
-0.029792,-8.983192499727011e-10
-0.029791,-9.039850263959832e-10
-0.02979,-9.071329794824124e-10
-0.029789,-9.078121606984901e-10
-0.029788,-9.060740636454689e-10
-0.029787,-9.019801579415799e-10
-0.029786,-8.956038289599949e-10
-0.029785,-8.870271324283548e-10
-0.029784,-8.763303980231285e-10
-0.029783,-8.635907847848204e-10
-0.029782,-8.488846942782402e-10
-0.029781,-8.322922781937653e-10
-0.02978,-8.13903771340847e-10
-0.029779,-7.938125606678012e-10
-0.029778,-7.721129225360023e-10
-0.029777,-7.488979419900312e-10
-0.029776,-7.242656111096343e-10
-0.029775,-6.983224074873659e-10
-0.029774,-6.711909630232387e-10
-0.029773,-6.430012567175759e-10
-0.029772,-6.138825571785371e-10
-0.029771,-5.839627877705628e-10
-0.02977,-5.533687501317926e-10
-0.029769,-5.222297338251439e-10
-0.029768,-4.906789296203189e-10
-0.029767,-4.588430416252878e-10
-0.029766,-4.268372234784895e-10
-0.029765,-3.9476562705304886e-10
-0.029764,-3.627262595627043e-10
-0.029763,-3.308147357569801e-10
-0.029762,-2.9912956886821326e-10
-0.029761,-2.677643009357982e-10
-0.02976,-2.368040776087178e-10
-0.029759,-2.063258399721235e-10
-0.029758,-1.764001035028034e-10
-0.029757,-1.4709245413541796e-10
-0.029756,-1.1846643251677355e-10
-0.029755,-9.058024113376935e-11
-0.029754,-6.348208834727605e-11
-0.029753,-3.721167850825522e-11
-0.029752,-1.1803064909246234e-11
-0.029751,1.2707813746399351e-11
-0.02975,3.6280629121594966e-11
-0.029749,5.887382068774767e-11
-0.029748,8.044930795828503e-11
-0.029747,1.0097584997614225e-10
-0.029746,1.2042797067099149e-10
-0.029745,1.3878319412469865e-10
-0.029744,1.5602036896679138e-10
-0.029743,1.7212279037468965e-10
-0.029742,1.8708142555422252e-10
-0.029741,2.008939658602079e-10
-0.02974,2.1356255229976442e-10
-0.029739,2.2509100562375454e-10
-0.029738,2.3548201554351384e-10
-0.029737,2.447405830025673e-10
-0.029736,2.5287342361278004e-10
-0.029735,2.598953236722284e-10
-0.029734,2.658255191312896e-10
-0.029733,2.706879729198085e-10
-0.029732,2.7450803563826616e-10
-0.029731,2.7731278704272376e-10
-0.02973,2.7913163726528487e-10
-0.029729,2.7999831570519345e-10
-0.029728,2.7994753999842536e-10
-0.029727,2.7901369250482987e-10
-0.029726,2.7722828918033175e-10
-0.029725,2.746221547325452e-10
-0.029724,2.7122673475080066e-10
