tau_s,R_x1x2
-0.029999,-3.696929249498579e-11
-0.029998,-9.764302521944046e-11
-0.029997,-1.8371868050760696e-10
-0.029996,-2.966105855173535e-10
-0.029995,-4.3731167912483216e-10
-0.029994,-6.063121226098803e-10
-0.029993,-8.035923540592193e-10
-0.029992,-1.0285499319434166e-09
-0.029991,-1.2798057744900387e-09
-0.02999,-1.5552393305632804e-09
-0.029989,-1.8518879243897066e-09
-0.029988,-2.1658650578724013e-09
-0.029987,-2.4923021470506987e-09
-0.029986,-2.8252674287392035e-09
-0.029985,-3.1577129682732953e-09
-0.029984,-3.481468074023724e-09
-0.029983,-3.787230651101304e-09
-0.029982,-4.064574327009419e-09
-0.029981,-4.301987989909119e-09
-0.02998,-4.4869342058276144e-09
-0.029979,-4.605948461426629e-09
-0.029978,-4.644787960375349e-09
-0.029977,-4.588614600814051e-09
-0.029976,-4.4222167506814e-09
-0.029975,-4.130284490270747e-09
-0.029974,-3.6977235269215375e-09
-0.029973,-3.1100210050741834e-09
-0.029972,-2.35365419752068e-09
-0.029971,-1.4165389372242821e-09
-0.02997,-2.8850083963738553e-10
-0.029969,1.0382186786995994e-09
-0.029968,2.56842352449894e-09
-0.029967,4.3034263244933556e-09
-0.029966,6.240542108813922e-09
-0.029965,8.372573885652754e-09
-0.029964,1.0687303534812398e-08
-0.029963,1.3167051921288173e-08
-0.029962,1.578833548559083e-08
-0.029961,1.852157977513141e-08
-0.02996,2.1330913746108614e-08
-0.029959,2.4174099680450227e-08
-0.029958,2.7002613051897953e-08
-0.029957,2.9761853971415098e-08
-0.029956,3.2391505402823294e-08
-0.029955,3.48260750171418e-08
-0.029954,3.69956165448659e-08
-0.029953,3.8826625751486675e-08
-0.029952,4.024311850364838e-08
-0.029951,4.116788355426656e-08
-0.02995,4.152388184641799e-08
-0.029949,4.123581277413501e-08
-0.029948,4.0231851488351824e-08
-0.029947,3.8445467595011e-08
-0.029946,3.5817286846124466e-08
-0.029945,3.229703081564771e-08
-0.029944,2.7845507371756767e-08
-0.029943,2.2436538396610157e-08
-0.029942,1.605876081519657e-08
-0.029941,8.717354370488062e-09
-0.02994,4.3565570480293696e-10
-0.029939,-8.743487497170767e-09
-0.029938,-1.8756678497625723e-08
-0.029937,-2.9519197642803193e-08
-0.029936,-4.092455249693659e-08
-0.029935,-5.284444974528419e-08
-0.029934,-6.512921898729272e-08
-0.029933,-7.760866310033534e-08
-0.029932,-9.009338828010693e-08
-0.029931,-1.0237662383665642e-07
-0.02993,-1.1423652468042241e-07
-0.029929,-1.2543895687804456e-07
-0.029928,-1.3574078455153442e-07
-0.029927,-1.448935668584373e-07
-0.029926,-1.526476058075463e-07
-0.029925,-1.5875637737102805e-07
-0.029924,-1.6298130909653587e-07
-0.029923,-1.6509671952575446e-07
-0.029922,-1.64894831640025e-07
-0.029921,-1.6219087176852759e-07
-0.02992,-1.568281635973189e-07
-0.029919,-1.4868301754403446e-07
-0.029918,-1.3766930428230102e-07
-0.029917,-1.2374270579053298e-07
-0.029916,-1.0690454884121816e-07
-0.029915,-8.720500786685282e-08
-0.029914,-6.47455828388532e-08
-0.029913,-3.9680851399898533e-08
-0.029912,-1.2219392293029363e-08
-0.029911,1.7376233753230836e-08
-0.02991,4.879049243198501e-08
-0.029909,8.165688351624542e-08
-0.029908,1.1556101112729973e-07
-0.029907,1.500446821169721e-07
-0.029906,1.8461100223991607e-07
-0.029905,2.1873048305097553e-07
-0.029904,2.5184812987223266e-07
-0.029903,2.833913500441446e-07
-0.029902,3.12778561566439e-07
-0.029901,3.394284880647643e-07
-0.0299,3.627700249436829e-07
-0.029899,3.822524046183875e-07
-0.029898,3.973554946982768e-07
-0.029897,4.076001532194722e-07
-0.029896,4.125584605191317e-07
-0.029895,4.1186353804854055e-07
-0.029894,4.052187579249342e-07
-0.029893,3.924062488186691e-07
-0.029892,3.732945248567396e-07
-0.029891,3.478449509686066e-07
-0.02989,3.1611688477090663e-07
-0.029889,2.782714312026898e-07
-0.029888,2.345736638373799e-07
-0.029887,1.8539315728263722e-07
-0.029886,1.3120277725574045e-07
-0.029885,7.257567572096984e-08
-0.029884,1.0180443964070743e-08
-0.029883,-5.5225534182455805e-08
-0.029882,-1.2280445476373038e-07
-0.029881,-1.9164818946686057e-07
-0.02988,-2.6079003230565126e-07
-0.029879,-3.2921784471720455e-07
-0.029878,-3.958884311612282e-07
-0.029877,-4.5974303942173725e-07
-0.029876,-5.197237881210943e-07
-0.029875,-5.747906456184057e-07
-0.029874,-6.239386964092653e-07
-0.029873,-6.662155129801897e-07
-0.029872,-7.007383451290015e-07
-0.029871,-7.267107266648155e-07
-0.02987,-7.434381991419166e-07
-0.029869,-7.503429538539301e-07
-0.029868,-7.469771189056338e-07
-0.029867,-7.330343132466078e-07
-0.029866,-7.083592209592462e-07
-0.029865,-6.729550517598788e-07
-0.029864,-6.269886780695784e-07
-0.029863,-5.707932333130803e-07
-0.029862,-5.048680834348003e-07
-0.029861,-4.298760945391324e-07
-0.02986,-3.4663813292566274e-07
-0.029859,-2.561248499982887e-07
-0.029858,-1.5944584008720187e-07
-0.029857,-5.783620147241486e-08
-0.029856,4.735937810606427e-08
-0.029855,1.547047006380227e-07
-0.029854,2.6269206347150936e-07
-0.029853,3.697640016509427e-07
