specimen_id,mixture,rubber_pct,temperature_C,replicate,sem_crack_length_mm,sem_itz_porosity,sem_itz_width_px
HPRC-0_T20_R1,HPRC-0,0,20,1,4.587,0.09875437368789364,7
HPRC-0_T200_R1,HPRC-0,0,200,1,8.808,0.13054120206690237,9
HPRC-0_T400_R1,HPRC-0,0,400,1,13.446,0.15087620856353592,11
HPRC-0_T600_R1,HPRC-0,0,600,1,21.885,0.1833833980511393,12
HPRC-0_T800_R1,HPRC-0,0,800,1,25.947,0.2502402265715875,14
HPRC-20_T20_R1,HPRC-20,20,20,1,6.903,0.10194880016031262,8
HPRC-20_T200_R1,HPRC-20,20,200,1,3.369,0.11303293714150553,9
HPRC-20_T400_R1,HPRC-20,20,400,1,14.394,0.13754697955816297,11
HPRC-20_T600_R1,HPRC-20,20,600,1,23.523,0.21496938350870934,13
HPRC-20_T800_R1,HPRC-20,20,800,1,27.576,0.310577193805725,15
