temperature,rubber_content,specimen_type,reaction_equation,temperature_range,conversion_fraction,reaction_enthalpy_kj_mol,primary_product,secondary_product,mass_loss_percent,reaction_rate_per_min,activation_energy_kj_mol,specimen_id,analysis_method
100,0,control,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_0_100_control,XRD-TGA_coupled
100,0,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_0_100_control,XRD-TGA_coupled
100,0,heated,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_0_100_heated,XRD-TGA_coupled
100,0,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_0_100_heated,XRD-TGA_coupled
100,5,control,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_5_100_control,XRD-TGA_coupled
100,5,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_5_100_control,XRD-TGA_coupled
100,5,heated,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_5_100_heated,XRD-TGA_coupled
100,5,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_5_100_heated,XRD-TGA_coupled
100,10,control,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_10_100_control,XRD-TGA_coupled
100,10,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_10_100_control,XRD-TGA_coupled
100,10,heated,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_10_100_heated,XRD-TGA_coupled
100,10,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_10_100_heated,XRD-TGA_coupled
100,15,control,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_15_100_control,XRD-TGA_coupled
100,15,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_15_100_control,XRD-TGA_coupled
100,15,heated,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_15_100_heated,XRD-TGA_coupled
