temperature,rubber_content,specimen_type,amorphous_content_percent,crystalline_content_percent,internal_standard_added_percent,corundum_peak_intensity,reference_corundum_intensity,intensity_ratio,background_intensity,amorphous_hump_position_2theta,amorphous_hump_width_2theta,csh_gel_content_percent,glass_content_percent,measurement_error_percent,specimen_id,analysis_method,software
20,0,control,25.0,75.0,10,117.6470588235294,1000,0.11764705882352941,100.0,26.474013262307885,15.0,50.0,5.0,2.3042620011048704,AM_0_20_control,Internal_standard_corundum,TOPAS-Academic
20,5,control,27.5,72.5,10,121.21212121212122,1000,0.12121212121212122,126.25,25.84268854900559,15.0,50.0,5.5,2.287799580895487,AM_5_20_control,Internal_standard_corundum,TOPAS-Academic
20,10,control,30.0,70.0,10,125.0,1000,0.125,153.0,28.13363983790073,15.0,50.0,6.0,1.9305048406173324,AM_10_20_control,Internal_standard_corundum,TOPAS-Academic
20,15,control,32.5,67.5,10,129.03225806451613,1000,0.12903225806451613,180.25,25.466876363107318,15.0,50.0,6.5,1.7867502902598573,AM_15_20_control,Internal_standard_corundum,TOPAS-Academic
20,20,control,35.0,65.0,10,133.33333333333334,1000,0.13333333333333333,208.0,22.72739701560776,15.0,50.0,7.0,3.0389941460675907,AM_20_20_control,Internal_standard_corundum,TOPAS-Academic
20,25,control,37.5,62.5,10,137.9310344827586,1000,0.13793103448275862,236.25,26.259983681688404,15.0,50.0,7.5,2.530815266288657,AM_25_20_control,Internal_standard_corundum,TOPAS-Academic
100,0,control,25.8,74.2,10,118.7648456057007,1000,0.1187648456057007,140.0,26.32745793517071,15.8,46.0,5.0,1.7740347259400078,AM_0_100_control,Internal_standard_corundum,TOPAS-Academic
100,0,heated,25.8,74.2,10,118.7648456057007,1000,0.1187648456057007,140.0,24.147536502372116,15.8,46.0,5.0,2.255810721720613,AM_0_100_heated,Internal_standard_corundum,TOPAS-Academic
100,5,control,28.3,71.7,10,122.39902080783354,1000,0.12239902080783353,166.65,27.807267805965523,15.8,46.0,5.5,1.8956996185930544,AM_5_100_control,Internal_standard_corundum,TOPAS-Academic
100,5,heated,28.3,71.7,10,122.39902080783354,1000,0.12239902080783353,166.65,24.07622797556924,15.8,46.0,5.5,2.312983836681488,AM_5_100_heated,Internal_standard_corundum,TOPAS-Academic
100,10,control,30.8,69.2,10,126.26262626262627,1000,0.12626262626262627,193.8,24.521655239326243,15.8,46.0,6.0,1.3171043726503422,AM_10_100_control,Internal_standard_corundum,TOPAS-Academic
100,10,heated,30.8,69.2,10,126.26262626262627,1000,0.12626262626262627,193.8,24.455703766424648,15.8,46.0,6.0,2.0340863535969045,AM_10_100_heated,Internal_standard_corundum,TOPAS-Academic
100,15,control,33.3,66.7,10,130.3780964797914,1000,0.1303780964797914,221.45000000000002,26.485298918249235,15.8,46.0,6.5,2.170105236844621,AM_15_100_control,Internal_standard_corundum,TOPAS-Academic
100,15,heated,33.3,66.7,10,130.3780964797914,1000,0.1303780964797914,221.45000000000002,25.6369894799199,15.8,46.0,6.5,2.220879082465511,AM_15_100_heated,Internal_standard_corundum,TOPAS-Academic
100,20,control,35.8,64.2,10,134.77088948787062,1000,0.1347708894878706,249.60000000000002,23.203163260506752,15.8,46.0,7.0,1.8115687026517924,AM_20_100_control,Internal_standard_corundum,TOPAS-Academic
100,20,heated,35.8,64.2,10,134.77088948787062,1000,0.1347708894878706,249.60000000000002,24.84405322800565,15.8,46.0,7.0,2.7510129524400346,AM_20_100_heated,Internal_standard_corundum,TOPAS-Academic
100,25,control,38.3,61.7,10,139.4700139470014,1000,0.1394700139470014,278.25,23.22822295596594,15.8,46.0,7.5,1.5610675124477056,AM_25_100_control,Internal_standard_corundum,TOPAS-Academic
100,25,heated,38.3,61.7,10,139.4700139470014,1000,0.1394700139470014,278.25,21.04739568868619,15.8,46.0,7.5,1.620232712418178,AM_25_100_heated,Internal_standard_corundum,TOPAS-Academic
200,0,control,26.8,73.2,10,120.19230769230768,1000,0.12019230769230768,190.0,21.179563519386516,16.8,41.0,5.0,1.806916474777702,AM_0_200_control,Internal_standard_corundum,TOPAS-Academic
200,0,heated,26.8,73.2,10,120.19230769230768,1000,0.12019230769230768,190.0,25.048696805791614,16.8,41.0,5.0,2.0999294666666106,AM_0_200_heated,Internal_standard_corundum,TOPAS-Academic
200,5,control,29.3,70.7,10,123.91573729863691,1000,0.12391573729863692,217.15,21.429376693905308,16.8,41.0,5.5,1.98420158307565,AM_5_200_control,Internal_standard_corundum,TOPAS-Academic
