region_id,country,year,activity,skill_level,base_hours_per_unit,unit_type,hourly_rate_usd,overtime_multiplier,weekend_multiplier,holiday_multiplier,productivity_factor,safety_requirements,certification_required
North_America_East,USA,2020,insulation_installation,medium,0.5,sqft,32.5,1.5,1.25,2.0,1.0,medium,False
North_America_East,USA,2020,window_replacement,high,2.0,sqft,45.0,1.5,1.25,2.0,1.0,medium,False
North_America_East,USA,2020,hvac_installation,high,8.0,ton,45.0,1.5,1.25,2.0,1.0,high,True
North_America_East,USA,2020,solar_pv_installation,high,4.0,kw,45.0,1.5,1.25,2.0,1.0,low,True
North_America_East,USA,2020,lighting_retrofit,low,0.5,fixture,25.0,1.5,1.25,2.0,1.0,low,False
North_America_East,USA,2020,roofing_work,medium,0.3,sqft,32.5,1.5,1.25,2.0,1.0,high,False
North_America_East,USA,2020,electrical_work,high,1.0,outlet,45.0,1.5,1.25,2.0,1.0,high,True
North_America_East,USA,2020,plumbing_work,high,2.0,fixture,45.0,1.5,1.25,2.0,1.0,low,False
North_America_East,USA,2020,general_construction,medium,0.2,sqft,32.5,1.5,1.25,2.0,1.0,low,False
North_America_East,USA,2021,insulation_installation,medium,0.5,sqft,33.48,1.5,1.25,2.0,1.01,medium,False
North_America_East,USA,2021,window_replacement,high,2.0,sqft,46.35,1.5,1.25,2.0,1.01,medium,False
North_America_East,USA,2021,hvac_installation,high,8.0,ton,46.35,1.5,1.25,2.0,1.01,high,True
North_America_East,USA,2021,solar_pv_installation,high,4.0,kw,46.35,1.5,1.25,2.0,1.01,low,True
North_America_East,USA,2021,lighting_retrofit,low,0.5,fixture,25.75,1.5,1.25,2.0,1.01,low,False
North_America_East,USA,2021,roofing_work,medium,0.3,sqft,33.48,1.5,1.25,2.0,1.01,high,False
North_America_East,USA,2021,electrical_work,high,1.0,outlet,46.35,1.5,1.25,2.0,1.01,high,True
North_America_East,USA,2021,plumbing_work,high,2.0,fixture,46.35,1.5,1.25,2.0,1.01,low,False
North_America_East,USA,2021,general_construction,medium,0.2,sqft,33.48,1.5,1.25,2.0,1.01,low,False
North_America_East,USA,2022,insulation_installation,medium,0.5,sqft,34.45,1.5,1.25,2.0,1.02,medium,False
North_America_East,USA,2022,window_replacement,high,2.0,sqft,47.7,1.5,1.25,2.0,1.02,medium,False
North_America_East,USA,2022,hvac_installation,high,8.0,ton,47.7,1.5,1.25,2.0,1.02,high,True
North_America_East,USA,2022,solar_pv_installation,high,4.0,kw,47.7,1.5,1.25,2.0,1.02,low,True
North_America_East,USA,2022,lighting_retrofit,low,0.5,fixture,26.5,1.5,1.25,2.0,1.02,low,False
North_America_East,USA,2022,roofing_work,medium,0.3,sqft,34.45,1.5,1.25,2.0,1.02,high,False
North_America_East,USA,2022,electrical_work,high,1.0,outlet,47.7,1.5,1.25,2.0,1.02,high,True
North_America_East,USA,2022,plumbing_work,high,2.0,fixture,47.7,1.5,1.25,2.0,1.02,low,False
