country,year,discount_rate_pct,inflation_rate_pct,interest_rate_pct,real_discount_rate_pct,energy_tax_credit_pct,solar_rebate_per_kw,efficiency_rebate_pct,carbon_tax_per_tonne,net_metering_rate,feed_in_tariff_rate,property_tax_exemption_years,accelerated_depreciation_years,green_bond_availability,esg_investment_multiplier
USA,2020,0.06,0.02,0.05,0.04,13.6,1473.0,14.6,27.07,0.0777,0.1231,14,6,True,1.06
USA,2021,0.06,0.02,0.05,0.04,15.8,1425.0,7.6,30.25,0.1092,0.167,10,5,False,1.18
USA,2022,0.08,0.03,0.04,0.05,11.1,1605.0,10.4,19.41,0.0639,0.1014,9,3,True,1.25
USA,2023,0.08,0.02,0.05,0.06,24.2,1408.0,17.0,10.45,0.0885,0.1121,12,3,False,1.48
USA,2024,0.06,0.02,0.05,0.04,19.5,1515.0,16.0,21.92,0.0862,0.1163,11,7,True,1.05
USA,2025,0.07,0.03,0.05,0.04,19.9,801.0,19.1,16.26,0.1348,0.1748,7,7,False,1.41
USA,2026,0.07,0.03,0.05,0.04,16.8,1608.0,12.9,11.28,0.121,0.1724,9,3,True,1.48
USA,2027,0.06,0.02,0.05,0.04,22.9,968.0,12.3,29.45,0.1288,0.1337,10,7,False,1.34
USA,2028,0.08,0.03,0.05,0.05,16.2,748.0,7.0,44.36,0.0897,0.0979,5,5,False,1.41
USA,2029,0.07,0.03,0.04,0.04,19.0,1485.0,6.3,34.57,0.1368,0.1978,6,3,False,1.31
Germany,2020,0.04,0.02,0.03,0.02,21.3,1017.0,18.9,17.07,0.1333,0.1053,15,4,False,1.08
Germany,2021,0.05,0.02,0.03,0.03,18.9,1873.0,16.1,22.9,0.1085,0.1096,11,6,True,1.4
Germany,2022,0.06,0.02,0.04,0.03,10.2,1455.0,17.3,31.78,0.1373,0.129,7,7,True,1.11
Germany,2023,0.06,0.02,0.04,0.03,22.7,903.0,14.4,17.92,0.0646,0.1593,14,5,False,1.23
Germany,2024,0.04,0.02,0.02,0.02,26.6,1568.0,20.0,17.41,0.1056,0.1596,15,3,False,1.43
Germany,2025,0.06,0.02,0.03,0.04,29.6,1737.0,12.0,28.39,0.1326,0.1958,5,5,True,1.17
Germany,2026,0.05,0.02,0.02,0.03,24.6,1352.0,18.1,34.46,0.0717,0.0848,15,3,False,1.1
Germany,2027,0.05,0.02,0.04,0.03,28.3,1263.0,11.2,47.24,0.1365,0.198,11,7,False,1.31
Germany,2028,0.06,0.02,0.04,0.04,17.5,737.0,11.1,24.17,0.0941,0.1981,7,5,True,1.03
Germany,2029,0.06,0.02,0.03,0.04,17.8,928.0,11.0,30.03,0.089,0.0868,14,4,True,1.37
France,2020,0.03,0.02,0.04,0.02,23.0,1651.0,19.8,27.4,0.0885,0.1354,12,6,True,1.05
France,2021,0.05,0.02,0.03,0.03,26.2,1674.0,9.3,30.07,0.055,0.112,5,4,True,1.28
France,2022,0.05,0.02,0.02,0.03,27.2,1537.0,18.0,36.62,0.0622,0.1101,7,4,False,1.48
France,2023,0.05,0.02,0.03,0.03,16.1,1472.0,11.0,41.78,0.1197,0.1134,8,3,False,1.23
France,2024,0.05,0.02,0.03,0.03,29.5,1152.0,11.9,15.38,0.0649,0.1807,14,5,True,1.22
France,2025,0.03,0.02,0.03,0.01,10.1,1682.0,6.3,17.93,0.0614,0.1372,9,6,False,1.25
France,2026,0.05,0.02,0.04,0.03,23.3,1749.0,17.1,10.81,0.0931,0.1482,9,6,False,1.25
France,2027,0.04,0.02,0.04,0.01,16.5,1361.0,14.9,35.42,0.1306,0.1587,7,5,False,1.09
France,2028,0.03,0.02,0.03,0.01,28.8,1879.0,7.3,43.7,0.1391,0.1199,13,6,True,1.25
France,2029,0.05,0.02,0.02,0.03,21.0,1871.0,13.1,30.02,0.0724,0.1153,11,7,True,1.34
UK,2020,0.06,0.03,0.04,0.03,16.8,1360.0,13.4,12.11,0.1438,0.1594,11,4,False,1.27
UK,2021,0.06,0.03,0.04,0.03,24.5,729.0,9.6,37.68,0.141,0.1944,10,6,False,1.13
UK,2022,0.06,0.03,0.04,0.03,12.0,1235.0,10.6,14.31,0.1263,0.1956,12,3,False,1.33
UK,2023,0.06,0.03,0.05,0.03,25.9,1948.0,11.8,17.45,0.1329,0.1795,12,4,True,1.37
UK,2024,0.05,0.03,0.05,0.03,23.1,507.0,6.5,16.41,0.1069,0.0861,14,3,False,1.37
UK,2025,0.07,0.03,0.04,0.04,26.7,1145.0,11.2,49.94,0.1359,0.1886,6,7,False,1.14
UK,2026,0.07,0.03,0.04,0.04,25.6,657.0,18.5,25.63,0.0957,0.1743,11,5,True,1.13
UK,2027,0.06,0.03,0.05,0.03,10.6,1008.0,14.6,19.52,0.1481,0.1032,9,5,True,1.1
UK,2028,0.07,0.03,0.03,0.03,27.1,1080.0,9.5,11.42,0.1258,0.1688,14,6,True,1.48
UK,2029,0.06,0.03,0.03,0.03,11.8,598.0,19.0,35.62,0.1282,0.1352,8,3,True,1.28
Japan,2020,0.03,0.01,0.01,0.02,12.1,1788.0,15.9,47.08,0.1406,0.1167,12,3,True,1.13
Japan,2021,0.04,0.01,0.0,0.03,22.2,913.0,13.5,30.9,0.0501,0.1303,9,6,True,1.23
Japan,2022,0.02,0.01,0.01,0.01,15.9,1908.0,8.2,29.08,0.0689,0.1534,7,7,True,1.22
Japan,2023,0.03,0.01,0.0,0.02,11.9,1498.0,8.4,36.0,0.147,0.1655,9,6,False,1.06
Japan,2024,0.03,0.01,0.01,0.02,25.6,1642.0,5.5,36.86,0.1094,0.1814,11,7,True,1.24
Japan,2025,0.02,0.01,0.02,0.01,21.6,619.0,9.2,31.04,0.0691,0.1177,7,5,True,1.28
Japan,2026,0.03,0.01,0.01,0.02,19.5,995.0,18.2,11.92,0.1189,0.153,7,5,True,1.19
Japan,2027,0.02,0.01,0.02,0.01,15.4,1405.0,18.5,41.04,0.0779,0.1414,13,6,False,1.17
Japan,2028,0.02,0.01,0.02,0.01,27.0,1091.0,19.5,23.68,0.1066,0.178,12,4,True,1.49
Japan,2029,0.04,0.01,0.01,0.03,23.7,1412.0,5.3,36.82,0.136,0.1559,10,6,False,1.46
China,2020,0.07,0.03,0.05,0.05,24.8,663.0,6.2,38.51,0.0626,0.119,7,4,False,1.09
China,2021,0.08,0.03,0.04,0.05,19.8,1555.0,9.0,22.2,0.0826,0.1276,15,4,True,1.35
China,2022,0.09,0.03,0.04,0.06,18.3,630.0,10.5,34.75,0.1078,0.1761,8,6,False,1.16
China,2023,0.08,0.03,0.04,0.05,18.9,904.0,15.2,10.29,0.0813,0.1384,11,5,False,1.25
China,2024,0.08,0.03,0.05,0.05,28.2,1586.0,11.8,21.1,0.0597,0.1686,7,7,True,1.43
China,2025,0.07,0.03,0.04,0.05,28.9,1658.0,18.1,25.34,0.1237,0.1724,13,3,True,1.49
China,2026,0.08,0.03,0.04,0.05,22.8,1143.0,7.8,49.47,0.1411,0.0867,6,7,True,1.33
China,2027,0.08,0.03,0.04,0.05,29.7,1085.0,19.9,18.01,0.102,0.1438,12,7,False,1.26
China,2028,0.09,0.03,0.04,0.06,17.7,1403.0,18.3,19.82,0.0995,0.1143,9,5,False,1.24
China,2029,0.07,0.03,0.04,0.04,26.5,1526.0,10.7,33.17,0.1109,0.1011,13,3,True,1.47
India,2020,0.11,0.05,0.06,0.05,25.9,935.0,19.1,49.93,0.1408,0.1622,13,6,True,1.18
India,2021,0.1,0.05,0.07,0.05,16.6,1208.0,10.5,47.99,0.1395,0.1884,13,5,True,1.35
India,2022,0.1,0.05,0.07,0.05,25.1,1253.0,15.0,12.79,0.1064,0.1242,6,6,True,1.11
India,2023,0.11,0.05,0.06,0.05,27.0,1191.0,8.5,39.75,0.1252,0.1921,8,7,True,1.18
India,2024,0.09,0.05,0.06,0.04,21.8,726.0,11.9,46.48,0.0687,0.1973,12,4,False,1.34
India,2025,0.1,0.05,0.06,0.05,12.6,1832.0,18.4,12.05,0.1386,0.1319,15,7,False,1.3
India,2026,0.1,0.05,0.06,0.05,12.1,1644.0,18.1,23.81,0.0538,0.1232,8,6,True,1.29
India,2027,0.09,0.05,0.07,0.04,11.7,758.0,11.7,17.55,0.094,0.1789,15,6,False,1.38
India,2028,0.1,0.05,0.05,0.04,11.3,1909.0,11.3,18.03,0.05,0.1401,8,5,False,1.26
India,2029,0.1,0.05,0.06,0.05,26.3,758.0,5.7,36.14,0.1288,0.0866,15,6,True,1.14
Canada,2020,0.06,0.02,0.05,0.04,24.0,1287.0,13.0,29.46,0.1447,0.183,12,4,False,1.12
Canada,2021,0.05,0.02,0.05,0.03,14.2,1990.0,12.0,44.32,0.1272,0.1396,13,5,False,1.24
Canada,2022,0.07,0.03,0.05,0.04,26.6,1695.0,8.4,36.62,0.0571,0.1142,6,7,True,1.14
Canada,2023,0.06,0.03,0.04,0.03,21.1,1423.0,7.5,39.71,0.1387,0.1767,15,5,False,1.18
Canada,2024,0.07,0.03,0.04,0.04,19.2,1563.0,12.9,33.96,0.0963,0.1039,10,5,False,1.36
Canada,2025,0.07,0.03,0.06,0.04,11.3,1996.0,17.1,17.0,0.1459,0.1932,10,6,True,1.36
Canada,2026,0.05,0.02,0.06,0.03,20.1,1175.0,8.4,24.21,0.0779,0.0886,9,3,False,1.11
Canada,2027,0.06,0.02,0.05,0.04,13.7,720.0,15.7,33.34,0.1292,0.0823,9,5,False,1.28
Canada,2028,0.07,0.03,0.04,0.04,16.7,919.0,9.2,40.34,0.144,0.0883,15,6,True,1.34
Canada,2029,0.06,0.03,0.05,0.03,26.6,1471.0,10.2,35.02,0.1037,0.0831,5,3,True,1.39
Australia,2020,0.07,0.02,0.05,0.05,23.0,750.0,7.0,19.81,0.1179,0.1892,12,7,True,1.2
Australia,2021,0.07,0.03,0.04,0.04,25.8,641.0,8.8,21.68,0.0924,0.1946,13,7,False,1.16
Australia,2022,0.07,0.02,0.06,0.05,27.5,1921.0,17.9,39.05,0.1,0.0868,10,4,False,1.38
Australia,2023,0.08,0.03,0.05,0.05,17.4,664.0,7.3,47.73,0.1138,0.1065,6,7,False,1.2
Australia,2024,0.07,0.03,0.04,0.04,11.7,1508.0,11.9,15.98,0.0527,0.0919,12,4,True,1.44
Australia,2025,0.07,0.03,0.06,0.04,25.9,1948.0,9.9,38.39,0.084,0.0958,6,7,True,1.17
Australia,2026,0.07,0.03,0.05,0.04,17.6,1519.0,12.4,40.06,0.1119,0.1293,15,7,True,1.0
Australia,2027,0.07,0.02,0.06,0.05,28.2,1719.0,11.8,12.72,0.1467,0.1828,12,6,False,1.04
Australia,2028,0.08,0.02,0.05,0.05,12.8,1832.0,6.4,22.97,0.0885,0.1542,13,7,False,1.14
Australia,2029,0.08,0.02,0.05,0.05,22.5,1979.0,18.2,30.41,0.0572,0.1056,5,3,True,1.15
Brazil,2020,0.12,0.05,0.09,0.07,25.6,919.0,12.4,44.74,0.0929,0.1268,7,6,True,1.12
Brazil,2021,0.12,0.05,0.09,0.07,22.6,1820.0,19.7,49.13,0.1238,0.1187,9,3,True,1.39
Brazil,2022,0.12,0.05,0.08,0.07,13.2,1892.0,17.3,12.22,0.1068,0.1276,15,4,False,1.23
Brazil,2023,0.12,0.05,0.08,0.07,16.7,668.0,9.2,10.42,0.1115,0.139,10,7,True,1.16
