category,material_name,year,region,base_cost,regional_cost,unit,efficiency_rating,efficiency_unit,lifespan_years,maintenance_cost_annual_pct,installation_complexity,carbon_footprint_kgco2_per_unit
insulation,fiberglass_batt,2020,North America,0.5,0.5,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2020,Europe,0.5,0.6,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2020,Asia,0.5,0.35,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2020,Other,0.5,0.45,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2021,North America,0.51,0.51,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2021,Europe,0.51,0.61,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2021,Asia,0.51,0.36,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2021,Other,0.51,0.46,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2022,North America,0.52,0.52,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2022,Europe,0.52,0.62,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2022,Asia,0.52,0.36,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2022,Other,0.52,0.47,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2023,North America,0.53,0.53,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2023,Europe,0.53,0.64,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2023,Asia,0.53,0.37,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2023,Other,0.53,0.48,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2024,North America,0.54,0.54,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2024,Europe,0.54,0.65,per_sqft,0.35,R-value,50,0.5,low,0.5
