temperature_c,mass_fraction,dtg
25.00,0.999366,-0.002327
25.44,1.000385,0.003663
25.88,0.996159,-0.002570
26.31,1.002635,-0.003878
26.75,0.999554,0.007657
27.19,0.995931,0.008652
27.63,0.991980,-0.003137
28.06,0.998678,-0.011240
28.50,1.001820,-0.000590
28.94,0.999194,0.001696
29.38,1.000335,-0.007162
29.81,1.005464,-0.003560
30.25,1.003452,0.013489
30.69,0.993655,-0.002037
31.13,1.005235,-0.008952
31.57,1.001492,0.004090
32.00,1.001655,0.005164
32.44,0.996971,0.003532
32.88,0.998562,-0.000224
33.32,0.997167,-0.001110
33.75,0.999534,0.001453
34.19,0.995895,-0.005396
34.63,1.004258,-0.002575
35.07,0.998150,0.003849
35.51,1.000888,-0.002750
35.94,1.000558,0.000499
36.38,1.000451,0.001688
36.82,0.999080,0.003915
37.26,0.997024,0.003615
37.69,0.995915,0.000996
38.13,0.996152,-0.000321
38.57,0.996196,-0.000784
39.01,0.996838,-0.002991
39.44,0.998815,0.002603
39.88,0.994559,-0.002888
40.32,1.001343,-0.003558
40.76,0.997674,0.002878
41.20,0.998824,-0.003490
41.63,1.000729,0.002553
42.07,0.996589,0.000924
42.51,0.999920,-0.002696
42.95,0.998949,-0.001858
43.38,1.001547,0.001449
43.82,0.997680,0.001187
44.26,1.000507,-0.000832
44.70,0.998408,0.003813
45.14,0.997169,-0.002684
45.57,1.000758,-0.001339
46.01,0.998341,0.001236
46.45,0.999676,0.002742
46.89,0.995941,0.005289
47.32,0.995046,0.000233
47.76,0.995737,0.000794
48.20,0.994351,0.000285
48.64,0.995488,-0.002589
49.07,0.996617,-0.001681
49.51,0.996960,-0.001669
49.95,0.998078,0.002328
50.39,0.994922,-0.000624
50.83,0.998624,-0.002273
51.26,0.996911,0.008218
51.70,0.991429,0.000248
52.14,0.996694,-0.010923
52.58,1.000992,-0.000058
53.01,0.996745,0.010407
53.45,0.991881,0.000879
53.89,0.995975,-0.002616
54.33,0.994171,0.003623
54.76,0.992804,-0.001086
55.20,0.995122,-0.000834
55.64,0.993534,-0.001468
56.08,0.996407,-0.004740
56.52,0.997683,0.004381
56.95,0.992572,0.002684
57.39,0.995334,-0.000198
57.83,0.992746,-0.002910
58.27,0.997882,-0.000384
58.70,0.993082,0.009863
59.14,0.989247,-0.002017
59.58,0.994848,-0.002812
60.02,0.991709,-0.003918
60.46,0.998278,-0.002976
60.89,0.994315,0.002083
61.33,0.996454,-0.000427
61.77,0.994688,0.005275
62.21,0.991836,0.005004
62.64,0.990307,0.000846
63.08,0.991096,-0.001137
63.52,0.991303,0.002288
63.96,0.989093,-0.002774
64.39,0.993731,-0.009665
64.83,0.997554,-0.001325
65.27,0.994891,0.006297
65.71,0.992041,0.004910
66.15,0.990593,0.002462
66.58,0.989886,0.000566
67.02,0.990097,-0.001410
67.46,0.991121,-0.001404
67.90,0.991327,0.000617
68.33,0.990581,0.001545
68.77,0.989974,0.003290
69.21,0.987700,-0.000988
