temperature_c,mass_fraction,dtg
25.00,1.000465,0.003326
25.44,0.999009,0.002639
25.88,0.998155,0.000595
26.31,0.998489,0.001219
26.75,0.997088,0.004130
27.19,0.994873,0.000089
27.63,0.997010,-0.008040
28.06,1.001912,-0.000182
28.50,0.997169,-0.002297
28.94,1.003922,-0.000525
29.38,0.997629,0.003321
29.81,1.001015,0.001246
30.25,0.996538,0.002295
30.69,0.999006,-0.010368
31.13,1.005615,-0.002211
31.57,1.000942,0.010401
32.00,0.996510,0.011132
32.44,0.991196,-0.000095
32.88,0.996593,-0.013345
33.32,1.002878,-0.003298
33.75,0.999481,-0.002878
34.19,1.005398,0.002043
34.63,0.997692,0.007577
35.07,0.998764,0.001464
35.51,0.996410,0.002132
35.94,0.996898,-0.001378
36.38,0.997616,-0.002470
36.82,0.999060,-0.002064
37.26,0.999423,-0.003662
37.69,1.002266,0.002917
38.13,0.996869,0.006253
38.57,0.996792,0.001120
39.01,0.995888,-0.002468
39.44,0.998953,-0.002654
39.88,0.998212,-0.001345
40.32,1.000130,-0.002412
40.76,1.000324,0.001388
41.20,0.998915,-0.001738
41.63,1.001846,0.000410
42.07,0.998556,0.005459
42.51,0.997067,0.002911
42.95,0.996008,-0.002094
43.38,0.998900,-0.003588
43.82,0.999149,0.001289
44.26,0.997772,0.003625
44.70,0.995975,-0.007398
45.14,1.004248,-0.000588
45.57,0.996490,0.004484
46.01,1.000323,-0.007118
46.45,1.002722,0.006034
46.89,0.995041,0.004669
47.32,0.998634,-0.006634
47.76,1.000848,0.006480
48.20,0.992962,0.007785
48.64,0.994033,-0.001784
49.07,0.994523,-0.009617
49.51,1.002451,-0.003461
49.95,0.997553,0.006364
50.39,0.996880,0.001370
50.83,0.996353,-0.002527
51.26,0.999092,0.007650
51.70,0.989656,0.000376
52.14,0.998763,-0.005528
52.58,0.994496,0.004255
53.01,0.995038,-0.005415
53.45,0.999236,0.004248
53.89,0.991319,-0.002323
54.33,1.001269,-0.003942
54.76,0.994769,0.002478
55.20,0.999100,-0.004514
55.64,0.998721,0.004923
56.08,0.994791,0.002629
56.52,0.996419,0.001794
56.95,0.993220,0.004724
57.39,0.992284,-0.001684
57.83,0.994694,-0.002508
58.27,0.994480,0.003692
58.70,0.991462,0.001779
59.14,0.992923,-0.001978
59.58,0.993193,-0.007079
60.02,0.999120,-0.002771
60.46,0.995619,0.001701
60.89,0.997631,-0.000752
61.33,0.996278,-0.000613
61.77,0.998167,0.005489
62.21,0.991472,0.008540
62.64,0.990691,0.000417
63.08,0.991107,-0.003869
63.52,0.994078,0.006958
63.96,0.985016,0.004425
64.39,0.990204,-0.004065
64.83,0.988575,-0.011754
65.27,1.000494,-0.004050
65.71,0.992121,0.011892
66.15,0.990083,0.006683
66.58,0.986270,0.003210
67.02,0.987273,-0.009047
67.46,0.994190,0.002730
67.90,0.984883,0.007662
68.33,0.987483,-0.006152
68.77,0.990269,-0.004729
69.21,0.991623,-0.003158
69.65,0.993033,0.005357
70.09,0.986933,0.005702
70.52,0.988041,-0.000505
70.96,0.987375,-0.001910
71.40,0.989713,0.002781
71.84,0.984940,-0.005172
72.27,0.994241,-0.006893
72.71,0.990974,-0.001880
73.15,0.995886,-0.000207
73.59,0.991155,0.007350
74.02,0.989452,0.007778
74.46,0.984346,0.006828
74.90,0.983475,-0.003766
75.34,0.987643,-0.003231
75.78,0.986303,-0.002864
76.21,0.990150,0.003009
76.65,0.983669,0.006571
77.09,0.984398,-0.001046
77.53,0.984585,-0.005029
77.96,0.988800,-0.000599
78.40,0.985109,0.005748
78.84,0.983768,0.004727
79.28,0.980971,-0.001796
79.71,0.985341,-0.008725
80.15,0.988609,0.001116
80.59,0.984364,0.007092
81.03,0.982400,0.004015
81.47,0.980849,-0.004720
81.90,0.986533,-0.009931
82.34,0.989543,0.002592
82.78,0.984264,0.009675
83.22,0.981073,-0.003862
83.65,0.987645,0.006635
84.09,0.975264,0.010424
84.53,0.978520,-0.012420
84.97,0.986137,-0.004755
85.41,0.982682,0.009063
85.84,0.978203,0.001852
86.28,0.981061,0.002265
86.72,0.976220,0.003980
87.16,0.977576,-0.001090
87.59,0.977174,-0.002601
88.03,0.979853,0.006505
88.47,0.971479,-0.003052
88.91,0.982525,-0.011729
89.34,0.981747,0.007313
89.78,0.976123,0.005968
90.22,0.976522,0.001351
90.66,0.974940,-0.000169
91.10,0.976670,-0.000119
91.53,0.975044,-0.001268
91.97,0.977781,-0.000589
92.41,0.975560,0.009474
92.85,0.969487,0.003271
93.28,0.972696,-0.007475
93.72,0.976031,-0.003579
94.16,0.975829,0.000057
94.60,0.975981,0.006356
95.04,0.970265,0.006580
95.47,0.970220,-0.001432
95.91,0.971519,-0.001886
96.35,0.971872,0.006536
96.79,0.965797,0.006468
97.22,0.966209,-0.006515
97.66,0.971501,-0.002278
98.10,0.968203,0.003353
98.54,0.968566,-0.004736
98.97,0.972349,0.001019
99.41,0.967674,0.006874
99.85,0.966331,-0.000663
100.29,0.968255,-0.001533
100.73,0.967674,0.002583
101.16,0.965994,0.001583
101.60,0.966288,-0.001682
102.04,0.967466,-0.002063
102.48,0.968094,0.004462
102.91,0.963560,-0.001914
103.35,0.969770,-0.003528
103.79,0.966648,0.007812
104.23,0.962931,0.003626
104.66,0.963474,-0.003596
105.10,0.966079,-0.001864
105.54,0.965106,-0.000452
105.98,0.966474,0.004619
106.42,0.961062,0.006140
106.85,0.961099,-0.006961
107.29,0.967156,-0.005639
107.73,0.966036,0.003438
108.17,0.964146,0.005169
108.60,0.961511,-0.001547
109.04,0.965501,0.000221
109.48,0.961317,0.002486
109.92,0.963324,-0.003624
110.36,0.964489,0.002572
110.79,0.961073,0.003237
111.23,0.961655,-0.001368
111.67,0.962270,0.000615
112.11,0.961117,0.003793
112.54,0.958950,0.001285
112.98,0.959992,0.001926
113.42,0.957264,-0.004501
113.86,0.963933,-0.001468
114.29,0.958549,-0.002195
114.73,0.965855,0.001773
115.17,0.956997,0.007568
115.61,0.959229,0.000831
116.05,0.956270,0.000185
116.48,0.959068,-0.004596
116.92,0.960293,-0.003580
117.36,0.962201,-0.000744
117.80,0.960944,0.003657
118.23,0.959000,0.002466
118.67,0.958786,0.001146
119.11,0.957997,0.002571
119.55,0.956535,0.002410
119.98,0.955887,0.000040
120.42,0.956500,-0.005906
120.86,0.961057,-0.001492
121.30,0.957806,-0.000930
121.74,0.961871,-0.002137
122.17,0.959677,0.007161
122.61,0.955602,0.002002
123.05,0.957924,-0.001956
123.49,0.957314,0.004605
123.92,0.953892,-0.000210
124.36,0.957498,-0.005562
124.80,0.958761,0.002700
125.24,0.955134,0.003219
125.68,0.955942,-0.004445
126.11,0.959026,0.004367
126.55,0.952119,0.008551
126.99,0.951540,-0.000920
127.43,0.952925,-0.003330
127.86,0.954455,-0.004604
128.30,0.956955,-0.000995
128.74,0.955326,0.002071
129.18,0.955142,-0.002400
129.61,0.957426,0.001147
130.05,0.954138,0.006973
130.49,0.951321,-0.004198
130.93,0.957813,-0.002104
131.37,0.953164,0.008095
131.80,0.950726,-0.002150
132.24,0.955046,-0.003646
132.68,0.953918,-0.004698
133.12,0.959158,0.000712
133.55,0.953294,0.001850
133.99,0.957538,0.001248
134.43,0.952202,0.005991
134.87,0.952294,-0.008746
135.31,0.959858,-0.000001
135.74,0.952295,0.003884
136.18,0.956458,0.004476
136.62,0.948377,0.009222
137.06,0.948385,-0.008347
137.49,0.955684,-0.003312
137.93,0.951284,0.002250
138.37,0.953714,0.002553
138.81,0.949049,-0.000009
139.24,0.953722,-0.003598
139.68,0.952199,0.003048
140.12,0.951054,-0.004916
140.56,0.956503,-0.001099
141.00,0.952017,0.001762
141.43,0.954960,0.000778
141.87,0.951336,0.007969
142.31,0.947984,0.005834
142.75,0.946228,-0.004563
143.18,0.951979,-0.005808
