longitude,latitude,factor_of_safety,landslide_hazard_level
-122.5,37.2,0.7151258321405739,Very High
-122.495,37.2,0.8638182430815211,Very High
-122.49000000000001,37.2,3.0,Low
-122.48500000000001,37.2,3.0,Low
-122.48000000000002,37.2,1.7543915065456883,Moderate
-122.47500000000002,37.2,3.0,Low
-122.47000000000003,37.2,3.0,Low
-122.46500000000003,37.2,3.0,Low
-122.46000000000004,37.2,3.0,Low
-122.45500000000004,37.2,3.0,Low
-122.45000000000005,37.2,3.0,Low
-122.44500000000005,37.2,3.0,Low
-122.44000000000005,37.2,3.0,Low
-122.43500000000006,37.2,0.8631122870763136,Very High
-122.43000000000006,37.2,3.0,Low
-122.42500000000007,37.2,3.0,Low
-122.42000000000007,37.2,3.0,Low
-122.41500000000008,37.2,3.0,Low
-122.41000000000008,37.2,3.0,Low
-122.40500000000009,37.2,1.328235403616717,High
-122.40000000000009,37.2,3.0,Low
-122.3950000000001,37.2,1.727452933517126,Moderate
-122.3900000000001,37.2,1.2998857042490986,High
-122.3850000000001,37.2,1.1407248477444256,Very High
-122.38000000000011,37.2,0.5237446687339165,Very High
-122.37500000000011,37.2,1.9876323963773397,Moderate
-122.37000000000012,37.2,1.7675285422793028,Moderate
-122.36500000000012,37.2,1.1775129410347813,Very High
-122.36000000000013,37.2,1.8962148630660296,Moderate
-122.35500000000013,37.2,3.102762228381793,Low
-122.35000000000014,37.2,1.258607023055991,High
-122.34500000000014,37.2,2.644015285809943,Low
-122.34000000000015,37.2,1.5585042255997654,Moderate
-122.33500000000015,37.2,2.808506653724256,Low
-122.33000000000015,37.2,1.022962133671549,Very High
-122.32500000000016,37.2,5.0,Low
-122.32000000000016,37.2,1.392063349601643,High
-122.31500000000017,37.2,5.0,Low
-122.31000000000017,37.2,5.0,Low
-122.30500000000018,37.2,5.0,Low
-122.30000000000018,37.2,4.356584207764631,Low
-122.29500000000019,37.2,2.903959990117622,Low
-122.29000000000019,37.2,5.0,Low
-122.2850000000002,37.2,5.0,Low
-122.2800000000002,37.2,3.446043667057916,Low
-122.2750000000002,37.2,5.0,Low
-122.27000000000021,37.2,5.0,Low
-122.26500000000021,37.2,3.0,Low
-122.26000000000022,37.2,3.0,Low
-122.25500000000022,37.2,3.1084900686650663,Low
-122.25000000000023,37.2,3.0,Low
-122.24500000000023,37.2,3.0,Low
-122.24000000000024,37.2,3.0,Low
-122.23500000000024,37.2,3.0,Low
-122.23000000000025,37.2,3.0,Low
-122.22500000000025,37.2,3.0,Low
-122.22000000000025,37.2,3.0,Low
-122.21500000000026,37.2,3.0,Low
-122.21000000000026,37.2,3.0,Low
-122.20500000000027,37.2,3.0,Low
-122.20000000000027,37.2,3.0,Low
-122.19500000000028,37.2,3.0,Low
-122.19000000000028,37.2,3.0,Low
-122.18500000000029,37.2,3.0,Low
-122.18000000000029,37.2,3.0,Low
-122.1750000000003,37.2,3.0,Low
-122.1700000000003,37.2,3.0,Low
-122.1650000000003,37.2,3.0,Low
-122.16000000000031,37.2,3.0,Low
-122.15500000000031,37.2,3.0,Low
-122.15000000000032,37.2,3.0,Low
-122.14500000000032,37.2,3.0,Low
-122.14000000000033,37.2,5.0,Low
-122.13500000000033,37.2,3.0,Low
-122.13000000000034,37.2,5.0,Low
-122.12500000000034,37.2,5.0,Low
-122.12000000000035,37.2,5.0,Low
-122.11500000000035,37.2,5.0,Low
-122.11000000000035,37.2,5.0,Low
-122.10500000000036,37.2,5.0,Low
-122.10000000000036,37.2,5.0,Low
-122.09500000000037,37.2,4.623460632600095,Low
-122.09000000000037,37.2,5.0,Low
-122.08500000000038,37.2,4.651399748925074,Low
-122.08000000000038,37.2,5.0,Low
-122.07500000000039,37.2,5.0,Low
-122.07000000000039,37.2,3.0,Low
-122.0650000000004,37.2,3.0,Low
-122.0600000000004,37.2,5.0,Low
-122.0550000000004,37.2,5.0,Low
-122.05000000000041,37.2,5.0,Low
-122.04500000000041,37.2,3.0,Low
-122.04000000000042,37.2,3.0,Low
-122.03500000000042,37.2,3.0,Low
-122.03000000000043,37.2,3.0,Low
-122.02500000000043,37.2,3.0,Low
-122.02000000000044,37.2,3.0,Low
-122.01500000000044,37.2,3.0,Low
-122.01000000000045,37.2,3.0,Low
-122.00500000000045,37.2,3.0,Low
-122.00000000000045,37.2,3.0,Low
-121.99500000000046,37.2,3.0,Low
-121.99000000000046,37.2,3.0,Low
-121.98500000000047,37.2,3.0,Low
-121.98000000000047,37.2,3.0,Low
-121.97500000000048,37.2,3.0,Low
-121.97000000000048,37.2,3.0,Low
-121.96500000000049,37.2,3.0,Low
-121.96000000000049,37.2,3.0,Low
-121.9550000000005,37.2,3.0,Low
-121.9500000000005,37.2,3.0,Low
-121.9450000000005,37.2,3.0,Low
-121.94000000000051,37.2,3.0,Low
-121.93500000000051,37.2,3.0,Low
-121.93000000000052,37.2,3.0,Low
-121.92500000000052,37.2,3.0,Low
-121.92000000000053,37.2,3.0,Low
-121.91500000000053,37.2,5.0,Low
