longitude,latitude,liquefaction_potential_index,liquefaction_hazard_level
-122.5,37.2,0.7733416814985058,Low
-122.495,37.2,2.5263216354141704,Moderate
-122.49000000000001,37.2,1.7177520914853208,Low
-122.48500000000001,37.2,0.4583543480085043,Low
-122.48000000000002,37.2,1.5523068625909435,Low
-122.47500000000002,37.2,2.11062236851499,Moderate
-122.47000000000003,37.2,2.9709088767687883,Moderate
-122.46500000000003,37.2,1.4089400098687064,Low
-122.46000000000004,37.2,1.663958810207996,Low
-122.45500000000004,37.2,2.4228048350847673,Moderate
-122.45000000000005,37.2,5.243113233873446,High
-122.44500000000005,37.2,2.686567534984685,Moderate
-122.44000000000005,37.2,2.1826113554718827,Moderate
-122.43500000000006,37.2,2.841197057553077,Moderate
-122.43000000000006,37.2,4.351617482936658,Moderate
-122.42500000000007,37.2,3.4251680794954003,Moderate
-122.42000000000007,37.2,4.624625637015182,Moderate
-122.41500000000008,37.2,4.76237748403269,Moderate
-122.41000000000008,37.2,4.055795847434286,Moderate
-122.40500000000009,37.2,5.159633090042749,High
-122.40000000000009,37.2,1.0306195381023755,Low
-122.3950000000001,37.2,1.653652727334798,Low
-122.3900000000001,37.2,0.955999751261301,Low
-122.3850000000001,37.2,0.0,Very Low
-122.38000000000011,37.2,4.10398896497181,Moderate
-122.37500000000011,37.2,2.496234756229393,Moderate
-122.37000000000012,37.2,0.0,Very Low
-122.36500000000012,37.2,6.019691118539906,High
-122.36000000000013,37.2,0.0,Very Low
-122.35500000000013,37.2,0.0,Very Low
-122.35000000000014,37.2,0.0,Very Low
-122.34500000000014,37.2,5.675588888414079,High
-122.34000000000015,37.2,0.0,Very Low
-122.33500000000015,37.2,0.0,Very Low
-122.33000000000015,37.2,0.0,Very Low
-122.32500000000016,37.2,0.0,Very Low
-122.32000000000016,37.2,0.0,Very Low
-122.31500000000017,37.2,0.0,Very Low
-122.31000000000017,37.2,0.0,Very Low
-122.30500000000018,37.2,0.0,Very Low
-122.30000000000018,37.2,0.0,Very Low
-122.29500000000019,37.2,0.0,Very Low
-122.29000000000019,37.2,0.0,Very Low
-122.2850000000002,37.2,0.0,Very Low
-122.2800000000002,37.2,0.0,Very Low
-122.2750000000002,37.2,0.0,Very Low
-122.27000000000021,37.2,2.8054872182478956,Moderate
-122.26500000000021,37.2,1.3687216184609436,Low
-122.26000000000022,37.2,0.6583166682524422,Low
-122.25500000000022,37.2,4.589685251788961,Moderate
-122.25000000000023,37.2,2.788333703042981,Moderate
-122.24500000000023,37.2,4.123614025906696,Moderate
-122.24000000000024,37.2,2.850515778896871,Moderate
-122.23500000000024,37.2,4.056329996867069,Moderate
