temperature_C,bilayer_shrinkage_percent,cte_mismatch_ppm_per_K,estimated_stress_MPa,layer1_shrinkage,layer2_shrinkage
25.0,1.943768755344122e-09,-1.3000000000000007,-0.0,5.037416660304873e-10,3.383795844657757e-09
38.888888888888886,2.5661494930654365e-09,-1.301805555555557,-1.8080632716049398,6.650361147223632e-10,4.46726287140851e-09
52.77777777777778,3.387812054573719e-09,-1.3036111111111115,-3.6211419753086433,8.779758826962127e-10,5.8976482264512256e-09
66.66666666666667,4.472565042643427e-09,-1.3054166666666678,-5.439236111111117,1.1590974287398108e-09,7.786032656547043e-09
80.55555555555556,5.904648114446842e-09,-1.3072222222222223,-7.262345679012346,1.5302320664890165e-09,1.0279064162404667e-08
94.44444444444444,7.795273857794705e-09,-1.3090277777777786,-9.09047067901235,2.0202013387644352e-09,1.3570346376824973e-08
108.33333333333334,1.0291264328944266e-08,-1.310833333333333,-10.92361111111111,2.667055238543347e-09,1.7915473419345184e-08
122.22222222222223,1.3586452947481281e-08,-1.3126388888888894,-12.761766975308648,3.5210270921436963e-09,2.3651878802818866e-08
136.11111111111111,1.7936737195633386e-08,-1.3144444444444439,-14.604938271604931,4.64843457469106e-09,3.122503981657571e-08
150.0,2.367995108320193e-08,-1.3162500000000001,-16.453125,6.136829802599786e-09,4.122307236380407e-08
163.88888888888889,3.126210063219565e-08,-1.3180555555555564,-18.30632716049384,8.101798448516202e-09,5.44224028158751e-08
177.77777777777777,4.1271999773995874e-08,-1.319861111111111,-20.164544753086417,1.069593588381663e-08,7.184806366417512e-08
191.66666666666669,5.448699641023189e-08,-1.3216666666666672,-22.027777777777786,1.4120697417170268e-08,9.485329540329352e-08
205.55555555555557,7.193333962722715e-08,-1.3234722222222217,-23.89602623456789,1.864204289397728e-08,1.2522463636047704e-07
219.44444444444446,9.496587605479134e-08,-1.325277777777778,-25.7692901234568,2.4611090583630698e-08,1.6532066152595197e-07
233.33333333333334,1.2537326442021445e-07,-1.3270833333333325,-27.64756944444443,3.249138429237001e-08,2.182551445480589e-07
247.22222222222223,1.655168790364631e-07,-1.3288888888888888,-29.53086419753086,4.2894891208744e-08,2.881388668641822e-07
261.1111111111111,2.185141891729946e-07,-1.330694444444445,-31.41917438271606,5.6629525999096116e-08,3.803988523468931e-07
275.0,2.884808551566969e-07,-1.3324999999999996,-33.31249999999999,7.476189177483063e-08,5.021998185385631e-07
288.8888888888889,3.808503418602068e-07,-1.3343055555555559,-35.21084104938273,9.870011026342798e-08,6.630005734569856e-07
302.77777777777777,5.027958700575928e-07,-1.3361111111111121,-37.114197530864224,1.3030317360024933e-07,8.752885665149361e-07
