Sample_ID,Mix_ID,Rubber_Vol_Frac,W_C,Temperature_C,Replicate_ID
C-28-M_R0-20C-Furnace-R1,M_R0,0.0,0.35,20,1
C-28-M_R0-20C-Furnace-R2,M_R0,0.0,0.35,20,2
C-28-M_R0-20C-Furnace-R3,M_R0,0.0,0.35,20,3
C-28-M_R0-200C-Furnace-R1,M_R0,0.0,0.35,200,1
C-28-M_R0-200C-Furnace-R2,M_R0,0.0,0.35,200,2
C-28-M_R0-200C-Furnace-R3,M_R0,0.0,0.35,200,3
C-28-M_R0-400C-Furnace-R1,M_R0,0.0,0.35,400,1
C-28-M_R0-400C-Furnace-R2,M_R0,0.0,0.35,400,2
C-28-M_R0-400C-Furnace-R3,M_R0,0.0,0.35,400,3
C-28-M_R0-600C-Furnace-R1,M_R0,0.0,0.35,600,1
C-28-M_R0-600C-Furnace-R2,M_R0,0.0,0.35,600,2
C-28-M_R0-600C-Furnace-R3,M_R0,0.0,0.35,600,3
C-28-M_R0-800C-Furnace-R1,M_R0,0.0,0.35,800,1
C-28-M_R0-800C-Furnace-R2,M_R0,0.0,0.35,800,2
C-28-M_R0-800C-Furnace-R3,M_R0,0.0,0.35,800,3
C-28-M_R10-20C-Furnace-R1,M_R10,0.1,0.35,20,1
C-28-M_R10-20C-Furnace-R2,M_R10,0.1,0.35,20,2
C-28-M_R10-20C-Furnace-R3,M_R10,0.1,0.35,20,3
C-28-M_R10-200C-Furnace-R1,M_R10,0.1,0.35,200,1
C-28-M_R10-200C-Furnace-R2,M_R10,0.1,0.35,200,2
C-28-M_R10-200C-Furnace-R3,M_R10,0.1,0.35,200,3
C-28-M_R10-400C-Furnace-R1,M_R10,0.1,0.35,400,1
C-28-M_R10-400C-Furnace-R2,M_R10,0.1,0.35,400,2
C-28-M_R10-400C-Furnace-R3,M_R10,0.1,0.35,400,3
C-28-M_R10-600C-Furnace-R1,M_R10,0.1,0.35,600,1
C-28-M_R10-600C-Furnace-R2,M_R10,0.1,0.35,600,2
C-28-M_R10-600C-Furnace-R3,M_R10,0.1,0.35,600,3
C-28-M_R10-800C-Furnace-R1,M_R10,0.1,0.35,800,1
C-28-M_R10-800C-Furnace-R2,M_R10,0.1,0.35,800,2
C-28-M_R10-800C-Furnace-R3,M_R10,0.1,0.35,800,3
C-28-M_R20-20C-Furnace-R1,M_R20,0.2,0.35,20,1
C-28-M_R20-20C-Furnace-R2,M_R20,0.2,0.35,20,2
C-28-M_R20-20C-Furnace-R3,M_R20,0.2,0.35,20,3
C-28-M_R20-200C-Furnace-R1,M_R20,0.2,0.35,200,1
C-28-M_R20-200C-Furnace-R2,M_R20,0.2,0.35,200,2
C-28-M_R20-200C-Furnace-R3,M_R20,0.2,0.35,200,3
C-28-M_R20-400C-Furnace-R1,M_R20,0.2,0.35,400,1
C-28-M_R20-400C-Furnace-R2,M_R20,0.2,0.35,400,2
C-28-M_R20-400C-Furnace-R3,M_R20,0.2,0.35,400,3
C-28-M_R20-600C-Furnace-R1,M_R20,0.2,0.35,600,1
C-28-M_R20-600C-Furnace-R2,M_R20,0.2,0.35,600,2
C-28-M_R20-600C-Furnace-R3,M_R20,0.2,0.35,600,3
C-28-M_R20-800C-Furnace-R1,M_R20,0.2,0.35,800,1
C-28-M_R20-800C-Furnace-R2,M_R20,0.2,0.35,800,2
C-28-M_R20-800C-Furnace-R3,M_R20,0.2,0.35,800,3
C-28-M_R30-20C-Furnace-R1,M_R30,0.3,0.35,20,1
C-28-M_R30-20C-Furnace-R2,M_R30,0.3,0.35,20,2
C-28-M_R30-20C-Furnace-R3,M_R30,0.3,0.35,20,3
C-28-M_R30-200C-Furnace-R1,M_R30,0.3,0.35,200,1
C-28-M_R30-200C-Furnace-R2,M_R30,0.3,0.35,200,2
C-28-M_R30-200C-Furnace-R3,M_R30,0.3,0.35,200,3
C-28-M_R30-400C-Furnace-R1,M_R30,0.3,0.35,400,1
C-28-M_R30-400C-Furnace-R2,M_R30,0.3,0.35,400,2
C-28-M_R30-400C-Furnace-R3,M_R30,0.3,0.35,400,3
C-28-M_R30-600C-Furnace-R1,M_R30,0.3,0.35,600,1
C-28-M_R30-600C-Furnace-R2,M_R30,0.3,0.35,600,2
C-28-M_R30-600C-Furnace-R3,M_R30,0.3,0.35,600,3
C-28-M_R30-800C-Furnace-R1,M_R30,0.3,0.35,800,1
C-28-M_R30-800C-Furnace-R2,M_R30,0.3,0.35,800,2
C-28-M_R30-800C-Furnace-R3,M_R30,0.3,0.35,800,3
