#,ALPX [1/K]
Temperature_C,cte_1k
20.0,9.676672528874757e-06
40.0,9.696031321486327e-06
60.0,9.738936551062427e-06
80.0,9.90659957484262e-06
100.0,1.046909166501379e-05
120.0,1.1069267034670586e-05
140.0,1.1356380567179847e-05
160.0,1.1600863843809123e-05
180.0,1.1860607836060759e-05
200.0,1.2106367594107923e-05
220.0,1.2336091434722691e-05
240.0,1.2557946409323952e-05
260.0,1.2776125039127731e-05
280.0,1.2994253169165778e-05
300.0,1.3208377472046233e-05
320.0,1.3416381114497611e-05
340.0,1.362819557925859e-05
360.0,1.3854373701685836e-05
380.0,1.4101490485823356e-05
400.0,1.4373113884907453e-05
420.0,1.466953555289246e-05
440.0,1.4985541538688243e-05
460.0,1.5309031426745973e-05
480.0,1.5624452888335142e-05
500.0,1.591947540262529e-05
520.0,1.6188319186656108e-05
540.0,1.6430094493364346e-05
560.0,1.664592893493134e-05
580.0,1.6837367589696375e-05
600.0,1.7005947258733117e-05
620.0,1.7153223845267642e-05
640.0,1.7280848437150357e-05
660.0,1.73905816044507e-05
680.0,1.7484253516563252e-05
700.0,1.7563700818660534e-05
720.0,1.7630704020784123e-05
740.0,1.7686937677649085e-05
760.0,1.7733937174138384e-05
780.0,1.77730811596681e-05
800.0,1.7805586593310312e-05
