#,DENS [kg/m^3]
Temperature_C,density_kgm3
20.0,1799.993045155185
40.0,1799.688452977289
60.0,1798.3229666344155
80.0,1791.343796719235
100.0,1766.6371666589791
120.0,1736.9001607107646
140.0,1713.4707125863365
160.0,1685.1474016414245
180.0,1657.5489690629179
200.0,1639.649591455757
220.0,1630.820704913886
240.0,1626.4130136913027
260.0,1622.6971163871442
280.0,1617.8967841902027
300.0,1613.3755099456766
320.0,1610.8100763324903
340.0,1609.6258940334824
360.0,1608.8667718082515
380.0,1608.002570113544
400.0,1606.7487383502835
420.0,1604.9584547782192
440.0,1602.674940526995
460.0,1600.1864510317916
480.0,1597.9053460988512
500.0,1596.123703466107
520.0,1594.8984515645911
540.0,1594.1277804707754
560.0,1593.6699232283243
580.0,1593.4070796823323
600.0,1593.2591511461908
620.0,1593.176824883126
640.0,1593.1312937120874
660.0,1593.1061994159113
680.0,1593.09239520674
700.0,1593.0848095804645
720.0,1593.0806435697266
740.0,1593.0783563310886
760.0,1593.0771008016927
780.0,1593.076411672348
800.0,1593.076033445985
