#,EX [Pa]
Temperature_C,elastic_modulus_pa
20.0,42866555904.27341
40.0,42791285198.01106
60.0,42689983746.33928
80.0,42552365822.43451
100.0,42363936563.369255
120.0,42104913156.021225
140.0,41750062402.518684
160.0,41271200550.24102
180.0,40644508533.367165
200.0,39862413046.13514
220.0,38942959279.9259
240.0,37924827805.308624
260.0,36846176328.4829
280.0,35723932362.56698
300.0,34550111871.18139
320.0,33303171168.84015
340.0,31962201247.151054
360.0,30516344115.033524
380.0,28968472903.36445
400.0,27334579972.071438
420.0,25640183690.19071
440.0,23914733676.067104
460.0,22185135169.609745
480.0,20469896148.81607
500.0,18775688398.486877
520.0,17098100996.710659
540.0,15427787440.713902
560.0,13761475171.04502
580.0,12113982564.55644
600.0,10523990147.199984
620.0,9047223989.480867
640.0,7738604797.976917
660.0,6633877157.582021
680.0,5741344653.511704
700.0,5045605064.055677
720.0,4517513044.590255
740.0,4123855209.5197825
760.0,3833623308.23113
780.0,3620836557.7492533
800.0,3465086689.648314
