temperature_conditions,displacement_conditions,voltage_conditions
"[20.58763123 23.24605151 23.7302244  22.91684383 24.81086274 21.8743529
 21.42856043 24.34299564 21.11797919 24.8161127  20.06077237 24.84939413
 20.21579956 24.45571557 22.63850555 24.96482398 20.36898282 22.76927142
 24.84651268 22.61548922 23.14699319 23.47874344 22.27270532 23.1377904
 22.92157156 24.50579005 20.2272319  21.40481595 24.75205742 24.45131892
 22.27828376 23.10066299 21.38690591 20.9406058  22.31849202 21.76676114
 22.91828056 20.38867318 24.87197404 24.93105372 23.49080857 22.68048183
 21.54763808 24.0689751  23.42365586 20.8130847  24.55463592 24.11268621
 24.74899957 23.62859754 23.06707598 22.09121518 24.66364242 24.33031945
 20.22609335 20.13183487 21.88231683 24.05276665 24.93638065 20.75208446
 22.97065358 21.90445428 24.84957199 24.21059462 24.19164352 22.3434658
 22.07409751 21.36703536 20.28187748 24.32361188 24.06450505 24.99858837
 24.98318419 22.77715853 23.84493708 24.72382865 24.24823695 21.23674051
 22.25272068 20.64579708 24.77025514 23.03087317 21.14321403 23.35850342
 23.0906412  21.79081359 20.56778796 23.35786598 22.6015385  23.86159196
 22.60081751 24.2609075  22.75953419 22.80468986 24.38326801 22.01741433
 20.67007614 20.14391338 23.77568628 23.10154776]",,
"[240.81595362 142.5928323  127.27429512 102.90893313 170.11751176
 217.98353737 178.44880902 187.4949844  280.8317389  169.6510934
 202.79789783 256.73060255 179.30855646 224.41734005 272.47274175
 289.90412473 129.41469619 285.31752503 198.42325862 151.64887766
 191.82715125 296.00651506 198.5236188  165.75032206 226.68017086
 148.02912376 115.17266562 125.77594438 125.60916779 130.3805387
 127.76543453 228.17494896 136.37601688 169.13345666 279.35768198
 194.79232805 233.5115477  134.46397424 138.45780376 108.17372325
 133.78701261 155.71806781 135.40209686 117.74050675 124.12717422
 192.15575361 141.26674368 172.85397221 200.68345417 238.07896573
 107.86242797 259.88207978 225.5800779  116.35180639 274.71572482
 284.17448011 112.21559197 155.37552963 261.24025596 249.65193808
 136.90420387 141.86986467 174.09442056 196.90459704 223.65095431
 173.78272791 192.50694323 249.49418763 107.33664058 150.48738887
 242.66991718 279.04136754 202.33548842 206.42269705 121.43440227
 189.48247336 206.52345329 148.49410073 153.84864619 175.45683262
 104.01423956 164.41583312 142.2896014  165.49947044 123.95242636
 278.10545615 218.71849071 235.82046383 257.83424772 199.68843979
 117.38405762 207.42130836 217.3682236  249.08789484 186.33190925
 125.51606056 156.75518116 172.61645928 229.18344827 214.15566093]",,
"[17.86922662 49.32711091 30.32816349 11.93761691  5.17894538  7.72767105
 12.37329065  8.11800053  9.4096945  14.32624892  8.75134241 44.84859469
  4.10366391 26.27311834 20.57880167 49.12069298  5.69074122 19.95299439
 48.47657462 43.28880558 40.87189634 12.96935107  8.62729061 33.46529667
 46.47586186 27.88246836 28.6234732  14.07095677 38.49769737  9.43348305
 16.2515939  21.32927829 25.4297579  12.19624565  5.83035755 30.56994012
 14.50266461 29.10378725  7.80269949 24.10889108 26.67621268  2.68599449
 16.89655348  6.80729238  3.26241103 49.4990156  16.18545686 40.51273485
 12.80656867 34.10698584 38.03537021 29.82237316 23.63165181 20.65086162
 17.5085265  46.4835043  41.54790845 48.25484284  6.30243145 36.57028701
 46.9231888   9.14353     3.41816374 37.0819204  28.76620835 42.10725596
  7.07464159 39.78383886 10.16120327  8.26643155  8.29686332 40.74727854
 33.29334131 26.2009647  18.00564116 43.87230699 19.68301086 40.84831203
 22.01283194 18.90952703 23.1877213  15.13875592 37.40570807 25.18574747
 11.68741349 44.98877121 19.25617195 27.22328777 45.33295834 31.249476
  5.93321223 46.99762297 31.42263185 16.81179017  7.04967643 39.72185694
 31.04163052 26.71970849 44.70523989 39.45100084]",,
"[19.40911357 34.61359644 28.60646828 75.67489779  8.1855813  59.13952006
 77.43357515 88.29273549 37.49776613 83.01944394 15.51001501 85.41296771
 17.11142292 42.7422926  80.74305975 19.2421556  26.77888255 73.613994
 73.40347097 65.90902512 70.92510222 56.55882212 28.9209106  37.84111938
 22.2517831  91.30280333 60.4222205  43.08088459 48.89055135 94.99191726
 19.5683833  60.69183404 53.05942449 63.08815237  6.72046746 87.85177135
 93.55123684 58.68765244 71.18182827 92.63744121 72.18767026 19.49120908
 59.74739422 62.63792941 45.29241377 74.96220238 93.7648664  92.92900873
 47.82974028 15.75761435 98.5599139  84.69531821 16.84295471 92.47997885
 87.6401544  54.28961543 61.1711664  42.90525687 10.20235569 36.84373796
 81.27107762  5.44004219 36.68242131 42.82602589 56.05258228 92.38628356
 37.90286946 37.96055418 75.06261857 47.96070438 26.33745818 47.98175403
 18.38141694 21.75676372 52.34493841 44.7979177  91.9103606  39.42742042
 60.15589328 65.06510735  6.24397338 68.03605034 21.91341685 96.30168016
 19.12295914 44.38929175 13.10821847 99.70305393 52.70852598 61.56157665
 11.37226535 76.24624469 24.94103134 90.3151575  24.48826585 23.11533346
  8.47221845 49.84635979 58.65990766 11.24232075]",,
"[0.75919847 0.48529551 0.54573173 0.47464833 0.4406486  0.57569428
 0.23195421 0.25463891 0.83251778 0.90419814 0.41731292 0.33013297
 0.64739961 0.44742405 0.1215784  0.23272971 0.70857639 0.66008535
 0.12303159 0.28867634 0.29641358 0.67110883 0.11675396 0.18849229
 0.77992867 0.25176296 0.65483419 0.30245536 0.18452518 0.30669636
 0.71392689 0.827342   0.80568688 0.437606   0.66787237 0.27423665
 0.34917557 0.86188545 0.11105163 0.17268225 0.27670332 0.12255237
 0.25422012 0.59558533 0.45821087 0.85877095 0.79482703 0.39054475
 0.32050992 0.42273855 0.6017507  0.32785409 0.63052657 0.4479999
 0.5692401  0.47070755 0.3502959  0.90618531 0.74906493 0.2190962
 0.83819778 0.51431652 0.86036939 0.77987697 0.46143148 0.11909891
 0.32837576 0.56038908 0.63845649 0.31920453 0.21845266 0.8096907
 0.93674185 0.54683665 0.24592739 0.33146123 0.11563208 0.87715399
 0.20008842 0.590039   0.33294694 0.5710513  0.65370733 0.80528053
 0.27545808 0.10934645 0.21635279 0.86501585 0.84280657 0.60780114
 0.61043933 0.66528117 0.24906559 0.87725015 0.45595495 0.42566775
 0.54108005 0.13992107 0.24134086 0.72732857]",,
,"[0.00827987 0.06031521 0.02453491 0.03892956 0.02886937 0.03556727
 0.07190459 0.02971217 0.05664046 0.04760504 0.06636712 0.09368297
 0.07325721 0.02149404 0.00311831 0.0262264  0.05950779 0.00514258
 0.04963662 0.05968428 0.03342439 0.07709122 0.01065983 0.00751378
 0.07281888 0.04954913 0.06884024 0.04348273 0.0246402  0.08191023
 0.07994159 0.06946965 0.02721451 0.05902307 0.03609739 0.00915821
 0.09173136 0.01368186 0.09502374 0.04460058 0.01851329 0.05419009
 0.08729458 0.07322249 0.08065611 0.06587834 0.06922766 0.08491957
 0.0249668  0.0489425  0.02212094 0.0987668  0.09440593 0.00394268
 0.07055752 0.09252483 0.01805753 0.05679452 0.09154883 0.0033946
 0.06974203 0.0297349  0.09243962 0.09710582 0.09442665 0.04742142
 0.08620427 0.08445494 0.03191005 0.08289155 0.00370076 0.05962699
 0.02300088 0.01205669 0.00769532 0.06962888 0.0339875  0.07247668
 0.00653563 0.03152903 0.05394913 0.07907232 0.03187525 0.06258914
 0.08859777 0.06158632 0.02329595 0.00244008 0.08700989 0.00212694
 0.08747017 0.05289371 0.09390677 0.07987832 0.09979341 0.03507118
 0.07671883 0.04019309 0.04798756 0.06275055]",
,"[8749.40343044 9842.42634507 7705.90679726 4235.89114346 4271.43432254
 7402.06478573 2463.89374311 1193.69372    3610.75936064 2943.66601738
 3033.45039251 2412.71673539  516.7225774   276.95195386 9878.45165839
 4334.95402399 3904.83380688 6828.50809866 2260.71348986 9504.61572111
 7884.81564271  985.16892289 4234.04968027 8803.27124487 9452.84702068
 4727.27496137 6172.77275319 1753.63606631 9912.56939876 2393.5498437
 9433.04456394 6531.50182502 6116.5942693  5175.61625906 2383.63113601
 1847.62751685 2282.81346979 1945.73879523 7817.88628831 3566.24006575
  672.64249798 9694.11603839 8849.48026114 9284.74760363 9949.5874442
 1821.56296727 4022.79598714 7606.56090947 6990.60411873 1623.56947276
 8176.74793741 2321.96166118 2315.79438674 5416.04678664 5970.10535493
 5842.85345759 1005.71969024 8786.86254004 2729.44042163 1382.1977207
 8898.6059907  9560.94983247 8635.06341093 8114.20913978 6586.89560833
 5553.48796903  961.16892312 4143.6868094  3789.61631842 2671.56245923
 7261.85912552 5009.16977728  902.35753749 2279.8136993  6864.26176023
  853.69550895 8526.94844908 5001.95061744 4857.80711553 5964.83706813
 8264.34156266 3543.31115823 6812.35991033 5700.74644356 2743.57987468
 8798.43686492 7994.51761391 6618.67316312 8520.75911803 8686.2125895
 7112.79346948 8386.4319508  7004.96747053 6833.39364043 6224.25264433
 7551.89473162 1670.1905424  8820.62051607 8731.25092468  389.54810204]",
,"[8.27558583 1.37581169 3.41767666 7.46073174 1.69152297 8.19787354
 8.33812836 5.12393056 0.16322013 2.94167752 6.20757649 9.81374316
 6.35495392 2.67205545 6.37665646 5.44585526 7.82046941 1.15910832
 7.63417623 5.45853913 9.63362084 3.48453444 6.36295674 9.32707824
 1.11484631 9.37856202 6.91006865 0.77158689 3.07953931 7.11090368
 0.76677095 5.86348756 3.52424226 6.24706363 0.55284613 8.72821438
 9.73754079 9.69189077 7.52155313 1.38785378 7.60680564 0.34341047
 0.31902316 3.30374117 4.93756759 7.72703344 6.86462423 4.51443679
 2.808904   9.97153255 4.31919489 4.56873154 1.71987583 7.96861453
 6.96745404 2.28561917 0.91557235 6.83694309 6.57966102 2.80526932
 9.51354927 1.59547313 4.38011453 9.44179761 4.25530044 6.42140688
 4.03618454 2.8147305  9.84137871 4.15240666 8.95158212 2.3765506
 2.20973657 0.40822742 6.55150157 3.7484108  8.65714667 4.78477808
 9.68511494 1.93670261 8.69936936 7.78830884 7.73212626 8.46335396
 7.63413751 6.29958118 1.39932429 0.42200918 9.21639369 6.20483811
 7.98571918 4.86707128 1.26135107 1.33933934 6.88709634 4.36002836
 2.08519479 4.96678601 0.73566848 5.86151688]",
,"['Contact' 'Free' 'Symmetry' 'Contact' 'Fixed' 'Contact' 'Free' 'Free'
 'Symmetry' 'Contact' 'Fixed' 'Fixed' 'Periodic' 'Fixed' 'Symmetry'
 'Symmetry' 'Fixed' 'Fixed' 'Periodic' 'Fixed' 'Periodic' 'Periodic'
 'Fixed' 'Free' 'Free' 'Periodic' 'Fixed' 'Free' 'Fixed' 'Fixed' 'Fixed'
 'Contact' 'Fixed' 'Contact' 'Periodic' 'Free' 'Free' 'Free' 'Free' 'Free'
 'Free' 'Free' 'Periodic' 'Fixed' 'Symmetry' 'Contact' 'Symmetry'
 'Symmetry' 'Fixed' 'Fixed' 'Fixed' 'Free' 'Periodic' 'Free' 'Periodic'
 'Periodic' 'Symmetry' 'Symmetry' 'Periodic' 'Periodic' 'Free' 'Free'
 'Symmetry' 'Fixed' 'Periodic' 'Free' 'Symmetry' 'Free' 'Periodic'
 'Periodic' 'Contact' 'Fixed' 'Contact' 'Symmetry' 'Free' 'Symmetry'
 'Periodic' 'Contact' 'Contact' 'Contact' 'Symmetry' 'Periodic' 'Free'
 'Free' 'Symmetry' 'Contact' 'Fixed' 'Symmetry' 'Symmetry' 'Periodic'
 'Free' 'Symmetry' 'Symmetry' 'Contact' 'Contact' 'Fixed' 'Periodic'
 'Fixed' 'Contact' 'Free']",
,,"[742.7065212  425.49333445 345.93499255 371.03876298 987.64956374
  40.10919141 867.03149612 578.67540857 438.61541919 725.25766042
 486.66894142 873.42323808 900.70186401 421.72092687 276.82779724
 592.35032859 912.36334562 210.66218901 622.96658356 631.56022009
 733.11302242 131.56768513 715.82496468 909.03252067 179.68310887
 237.54332492 971.39509404 180.97695271 854.38509337 492.27785645
 247.2310744  870.74990127 445.305255   514.81735393 359.2333694
 592.95085143 163.52387259 391.08153665 969.41232234 258.1334327
 656.73666454 325.19006422 773.47312569 130.87366072 969.82104508
 453.78954138 236.05046335  73.49674733 169.75790509 519.77394856
 337.00317643 828.88336588 430.88752366 248.71427259 617.1449866
 706.77721689 167.0419079  167.61921629  36.67142693 736.40201507
 663.80452762 474.63087575 844.17044897 805.67015295 585.3543644
 868.27128051 205.84121004 111.9196194  269.74961152  57.08685609
 531.169528   936.60569229  39.34354067 122.10991401 452.19902828
 933.87501753 316.15610498 507.23480869  41.57285905 148.34320096
 986.63012296 965.11869644   4.93998093 951.81178542 639.11993782
 867.91829452 454.73985563 515.59602858 488.84658026 666.86425755
 139.65125476  29.97358987 307.92994159 704.68076274 201.85345212
 673.43243332 969.91204611  93.90071579 672.60211823 443.7502193 ]"
