von_mises_stress,principal_stress_1,principal_stress_2,principal_stress_3,interfacial_shear_stress
588000463.4296284,114509303.93877864,100469254.25949109,557561359.5303891,23272834.891555183
353102888.9383895,967331002.7898374,717799186.0155697,612966594.2709789,5383052.4908459075
799783364.4457834,-228662147.9316525,-479206796.1307098,516584861.8019806,18987532.909592
554687024.7883672,698736956.6571732,474068230.3549336,-121527895.79727054,3895784.634846422
825932308.5500162,1289071.2596648932,503314796.561028,809564720.522805,39181089.461717166
631458792.5830206,596305518.6642406,697983670.5349548,-246712304.9444075,80240178.44513242
784405473.2127973,130016506.44349432,899129408.5904698,-419547812.71875376,34124444.97577206
598562993.21776,367539644.67481005,-469793226.57606524,576197485.9178681,44418340.687836654
414141068.21566623,748917659.9891968,-269324441.73017573,213213572.84910047,67558677.35674387
957945859.9261376,706248347.4758263,829256941.0839896,773647029.938014,50889407.00698802
541113824.8788447,799634775.3095503,187777843.28052306,75095711.5873884,86144568.60213242
605089518.5405384,-410574011.9830115,346885958.40019524,-247582117.23843077,86603567.50457565
220487639.41474923,538075829.5596173,494540805.5847211,754663288.7048047,991069.5491153643
625650789.4272765,-290018934.91735566,518599906.7434561,323364447.46010756,77804630.64831991
571607649.4829439,123727852.0276165,897610604.9747622,-216206311.4144677,46073360.02416739
184838397.94702494,322882622.5820327,995424126.1175044,580575997.8796687,98884054.13036631
59587097.353143714,104109227.12024617,580236191.3964105,266670457.73425078,48323207.58754352
604359319.714771,279417513.7045113,-69168186.1922738,406469473.3604797,98689594.53882974
763692269.3503206,994789463.1979287,819628603.4415154,191347507.30987287,75456936.12057365
523401370.9220082,-297174029.43071795,-426168628.18885756,743063475.7270095,24860488.461330634
226772625.3196457,513184068.0046383,-153378720.68825573,744344073.5245748,53839497.92869577
666521976.6930349,94001449.57842278,846078576.1955724,564083232.7365793,99213563.94785827
80105726.60960224,-300485301.63900685,-115712728.3409676,-341897933.9053066,85753060.77519237
441833704.8019546,-261894854.9385357,-169023410.56737727,758280792.8561032,9736689.37912211
163366758.39842018,923909659.3684254,-292812060.2896291,506519470.7993647,70637199.6809996
184459051.05988336,819402245.0676429,788667636.4703748,545536249.0064492,34557958.587081306
202293949.15820363,860562940.6225328,250087388.78663003,44474260.60580742,698226.1880348118
386707057.0439779,987299163.7410798,512339804.5812322,818919334.2355101,40348096.90269996
51150205.62039763,-187526914.9872231,-141400423.88745552,588057400.3522861,23475442.17249713
397793440.9290982,33159006.04609263,637060631.5168247,-331114300.2062083,81886927.05204715
511707447.11470085,503828544.8873,640008317.4431477,111667051.60924399,33733060.88457655
483294284.9663252,225703809.79097092,-31102962.637549818,829570542.9402125,82752369.3953817
382784100.4030406,127584300.06750023,116023949.51542425,-429204947.4539315,59793.88347953085
839146608.0707525,36716874.0033896,-185464583.85469872,942124929.4630742,30781915.002611917
145326692.42050412,390670947.9151783,964841534.9843564,518743852.4793441,24116521.430776194
505696743.781374,363390142.96012306,468403865.5876174,447063966.4650649,23356736.1068611
62041416.95655429,-257813248.90363988,901815821.0732732,-94161115.26801288,6818661.97654627
