elastic_properties,plastic_properties,creep_properties,thermal_properties,electrochemical_properties
"[2.08660845e+11 2.41190732e+11 1.05769461e+10 1.30646791e+11
 3.80384622e+11 6.94177432e+10 2.68119756e+11 1.08385734e+11
 7.04826655e+09 1.21359527e+11 4.87961004e+11 4.00967019e+11
 4.79828746e+11 2.44439168e+11 5.57583631e+10 2.74431785e+11
 2.27734290e+11 4.22334184e+11 4.99432078e+10 2.44632327e+11
 7.58742837e+10 1.63013288e+11 3.68941182e+11 2.38533047e+11
 1.88568254e+11 1.97843663e+11 2.30263937e+11 3.92723255e+11
 4.46150260e+11 4.77712009e+11 3.93664790e+11 1.58388041e+11
 3.44379218e+11 2.19363959e+11 1.28080640e+11 4.20594918e+11
 2.01747481e+10 4.50979234e+11 2.31277255e+11 3.18963537e+11
 3.30017607e+11 4.47663753e+11 3.18698171e+11 3.07352859e+11
 3.42593682e+10 2.59685603e+11 7.59343314e+10 3.68979451e+11
 2.56598738e+11 3.40433662e+11 2.17947774e+10 4.33112160e+10
 3.58445371e+11 3.69700837e+10 3.65571072e+10 7.04212914e+09
 4.78294198e+11 3.69016671e+11 1.77272453e+11 1.48971255e+11
 1.75501912e+11 3.87552112e+11 3.31023935e+11 9.34125884e+10
 8.78805583e+10 5.00994292e+10 3.30491057e+11 3.82421958e+11
 1.33258168e+11 1.14515356e+10 4.20036621e+10 4.83962157e+11
 1.48426944e+11 3.84842351e+11 3.12707121e+11 1.91587880e+11
 1.03637944e+11 6.15718227e+10 3.07891471e+11 3.87542257e+11
 3.22308223e+11 2.65620764e+11 2.19336605e+10 4.84275900e+11
 3.99558382e+11 1.47118196e+11 4.90005194e+11 3.01338913e+11
 2.91628906e+11 3.74288517e+11 4.06073124e+11 3.28582825e+11
 6.49197774e+10 1.69795485e+11 4.64113737e+11 1.13083190e+11
 1.86711345e+11 2.16606365e+11 2.20263090e+11 3.06856852e+11]",,,,
"[0.47723034 0.19627708 0.14860055 0.1789882  0.45476996 0.35832433
 0.21436272 0.42637878 0.444548   0.43860574 0.46757061 0.20089641
 0.40201677 0.2842158  0.43679942 0.39139627 0.41057898 0.36246474
 0.17097151 0.31801077 0.4938679  0.47495523 0.11726949 0.16592593
 0.15269151 0.39039196 0.42711413 0.18540455 0.30234108 0.43628121
 0.39312062 0.31689488 0.33613908 0.30334422 0.21901938 0.3260088
 0.37555412 0.44932917 0.35451654 0.40444861 0.16402865 0.28462299
 0.10373265 0.19867155 0.39058469 0.49672398 0.13967124 0.26059773
 0.42002839 0.18161425 0.32203398 0.39322852 0.34639418 0.17520989
 0.24215383 0.41351671 0.32169061 0.10209185 0.4043963  0.11412454
 0.39829351 0.18099222 0.48322939 0.2471763  0.23077265 0.15955522
 0.22224169 0.4506603  0.49853374 0.24732381 0.27944425 0.38882838
 0.45447831 0.33721773 0.25661028 0.26504874 0.37824726 0.10128731
 0.34783573 0.2421972  0.41767893 0.13719626 0.33528091 0.29238916
 0.35693021 0.12594144 0.33199351 0.32459384 0.32426404 0.34139507
 0.37058717 0.4219956  0.20792829 0.43001976 0.29930227 0.13082331
 0.12342037 0.23369533 0.41395879 0.38307237]",,,,
"[1.57744131e+11 1.03502084e+11 8.80957797e+10 2.95757601e+10
 6.57057314e+10 8.68604713e+10 1.78112259e+10 4.42003293e+10
 1.19685236e+11 1.47159057e+11 1.99669668e+11 1.86629355e+11
 1.28548783e+11 8.43074859e+10 1.27271855e+11 1.57151758e+11
 2.37554046e+10 8.20399875e+10 1.67976477e+11 7.68282071e+10
 1.14417267e+11 1.17595095e+11 3.69768030e+10 7.25108648e+10
 6.69688066e+10 5.33672204e+09 4.93593360e+09 1.66356239e+11
 5.46868549e+10 1.03663945e+11 5.98152422e+10 1.88141781e+11
 5.19334221e+10 8.59883969e+10 1.74558777e+11 1.68402520e+11
 3.73016734e+10 1.60548398e+11 9.16915587e+10 9.66454775e+10
 2.67826465e+10 1.62122426e+10 1.45615067e+11 9.93425844e+10
 8.74264555e+10 1.45928695e+11 1.53126029e+11 3.18657427e+10
 1.22084007e+11 2.71572810e+10 1.50299880e+11 1.31425336e+11
 1.91327263e+11 1.38847075e+10 1.15052388e+10 5.65091962e+10
 5.24149662e+10 4.94710619e+10 1.81260291e+11 4.99842853e+10
 5.44627503e+10 1.51903713e+11 9.00029945e+10 1.55364440e+11
 1.31666949e+10 9.75654816e+10 6.81935868e+09 1.26243754e+10
 1.81296847e+11 2.79351497e+10 1.06530894e+11 8.22780110e+10
 6.95339309e+10 1.79976686e+11 4.46249702e+09 1.32791558e+11
 1.92682547e+11 1.12077620e+11 1.87370810e+11 1.05463501e+10
 8.38167845e+10 5.21055424e+10 1.46191111e+11 1.96261288e+11
 5.13803595e+10 1.30869503e+11 3.96997168e+10 1.13109518e+11
 9.28401041e+10 1.94403865e+11 1.21744602e+11 6.99663238e+10
 2.29077474e+10 3.03342411e+10 4.51408543e+10 5.02682356e+10
 1.70138150e+11 1.12288435e+11 1.04725843e+11 2.30422975e+10]",,,,
"[2.58181768e+11 2.17121477e+11 2.12328402e+10 2.12642694e+11
 1.63517927e+11 2.54358784e+10 1.38031892e+11 1.45924190e+11
 5.05665875e+10 2.83763746e+11 2.55142636e+11 2.01037679e+11
 1.39226373e+11 1.24117897e+11 1.95641067e+11 1.64084129e+11
 1.96196587e+10 1.54238292e+11 2.42114682e+11 1.38312723e+11
 1.65350167e+10 2.36097182e+11 6.12077709e+10 7.83276296e+10
 5.02471997e+10 9.97343044e+10 2.27268700e+11 1.56296372e+11
 6.22595010e+10 2.63471193e+11 2.63994975e+11 2.61302949e+11
 7.24000672e+10 1.35920564e+11 2.95511907e+11 2.31831730e+11
 9.12305895e+09 2.04961728e+10 1.39715482e+11 2.72856842e+11
 1.62071838e+11 1.49845940e+11 3.25366363e+10 1.97377251e+11
 2.46808845e+11 1.14745582e+11 2.32907943e+11 2.89378520e+11
 6.19261713e+10 1.57475560e+11 8.68542495e+10 2.38063471e+11
 1.73700416e+11 1.90740143e+11 2.39576334e+11 1.19395171e+11
 2.74611930e+11 1.60375631e+11 4.82284920e+10 2.09073836e+11
 2.38185144e+11 9.57117414e+10 2.57296598e+11 2.71936833e+11
 8.37944417e+10 2.95072920e+11 4.30727469e+10 6.14026849e+10
 5.60832269e+10 2.68302923e+11 1.96633473e+11 4.64791807e+10
 1.32656702e+11 1.84974109e+11 2.59557614e+10 2.64842494e+11
 2.41277457e+11 1.52056825e+11 2.90170858e+11 1.25910533e+11
 2.95248985e+11 2.00708080e+11 1.90766711e+11 5.06205137e+10
 2.64696400e+11 1.28819417e+11 4.95077883e+10 4.76964847e+09
 1.68366949e+11 1.58692487e+11 2.16086733e+11 2.67187158e+11
 2.47425688e+10 2.19717451e+11 5.70361713e+10 2.57594939e+11
 2.45899991e+11 1.62697333e+11 2.13362597e+11 9.49906838e+10]",,,,
,"[9.68777403e+08 1.65219195e+09 9.45567134e+08 7.47706617e+08
 1.01371427e+09 1.66508604e+09 7.03655692e+08 3.88835107e+08
 1.43842734e+09 1.66065751e+09 2.46243083e+08 5.17754520e+08
 3.26845380e+08 7.28485753e+08 9.28184409e+08 1.51021136e+09
 1.31973779e+09 1.26081071e+09 7.37131146e+08 1.69082273e+09
 9.69009976e+08 1.95925463e+09 1.28657717e+09 2.96216246e+08
 1.36854625e+09 6.83952830e+08 1.38833803e+09 1.85800239e+08
 3.91018802e+08 1.71868765e+09 4.93000136e+08 1.68223019e+09
 5.94588372e+08 1.30361972e+09 1.40359362e+09 1.04967677e+09
 6.45355820e+08 4.64656534e+08 1.14719241e+08 6.42695482e+08
 1.32366744e+09 1.87969440e+09 1.74884874e+09 1.54382631e+09
 1.58747232e+09 1.34672056e+09 5.57559372e+08 1.81903031e+09
 1.35792801e+09 1.14285923e+09 2.66429465e+08 9.21758310e+08
 9.47698629e+08 1.73589904e+09 1.11596403e+09 7.91781070e+08
 1.95476064e+09 2.65905157e+08 8.73969435e+08 1.31948117e+08
 1.49281304e+09 1.84024928e+09 5.96072793e+08 1.72376627e+09
 6.19825549e+08 1.82600182e+09 1.52022571e+09 1.61956821e+09
 8.51127834e+07 1.92748020e+09 1.46700843e+09 6.44264636e+08
 1.66731960e+09 5.98966337e+08 1.75186999e+09 2.69531761e+08
 1.42218766e+09 1.10436203e+09 2.38242217e+08 5.21692965e+08
 7.41878707e+07 9.64097533e+08 6.37467258e+08 1.21679709e+09
 6.29613725e+08 6.34842267e+08 1.49922674e+09 1.43878530e+08
 1.81064524e+09 1.71191456e+09 1.35221913e+09 1.20678206e+09
 1.78998987e+09 4.11393850e+08 2.03989866e+08 5.17044831e+08
 1.59942764e+09 1.17607020e+08 1.18647333e+09 1.99110316e+09]",,,
,"[85713913.2899164  52623123.21531536  7300450.01937759 83305977.92418528
 60298872.30954384 12378366.70889712 10291871.19751226 91053055.12422265
 67250826.03086977 83099393.1323588  88018911.12794447 57605462.8527839
 52227188.82374909 43612313.62177803 32377712.19132081 44025000.12501246
 77614085.91728549 60590419.67049803 89359805.70552976 44894621.42353959
 61101868.29315665 63499447.75610688 59578019.06832623 70560743.53546612
 24505913.36910582 51724013.97703327 11318255.47802642 39066621.43683644
 49279039.79350518 65570201.69500177 95102574.20603415 60464455.58828723
 74615797.70147942 51120339.89002507 63776299.1062568   8022289.39724357
 26184766.50334285 36823456.22730873 47776842.14564484  5519225.80473599
 14862385.65777845 28404616.47133927 97181736.39920402 33803353.70320202
 48722064.75309617 20413673.5611009  61467227.03650106 28787638.33608146
 21492265.26540425 52140690.21615193  1545074.11688166  1758739.23227331
 22687812.10108392  4635414.88758129 11694549.65893845 34547204.28453641
 80455982.27840148 57632815.69356078 51754104.86968523 30055393.49760404
 93243618.22384882 40304489.08248197  9622183.91278138 62089585.09566233
 12270000.95418354 35177091.13736752 51233781.93306307 87548029.9438324
 49861111.45367175 70523617.83713476 99288867.06090796 14017422.86990018
 28198421.02643243 40063031.48416699 42760989.6753443  41691086.45128903
 90853489.25309893 71689231.80221878 61182616.19497967 31627899.06841543
 82555248.03790818 95550990.63701391 82298629.97247243  1154945.41395582
 64003735.6481573   6062402.76276797 26503114.81303846  6892945.3344294
 60775749.84198938 68972401.43576807 12334276.16852461 39000049.42145297
 46167414.38659866 37536249.15433075 12981475.04803411 42475831.22856007
 75366626.73303339  8029758.78879229  8937821.39410844 36122357.89176244]",,,
,"[0.47377657 0.35085769 0.35540148 0.212864   0.31714736 0.05455903
 0.33624322 0.46097913 0.32565806 0.44316437 0.37578787 0.10425129
 0.45610399 0.07989973 0.29028536 0.11396171 0.05526797 0.23991542
 0.18276832 0.26870022 0.30973995 0.06968258 0.10535148 0.30138908
 0.20442531 0.37812807 0.34353124 0.43052196 0.36162177 0.24346898
 0.35283498 0.17392153 0.18784107 0.40504332 0.25088878 0.40927115
 0.42009007 0.43590305 0.46248586 0.24394335 0.19349007 0.31198944
 0.21702759 0.32048338 0.36751364 0.35978226 0.2185488  0.12508709
 0.2437382  0.11416736 0.45054367 0.20564486 0.11950689 0.06145149
 0.34062007 0.33660604 0.20327187 0.08227035 0.234333   0.19004787
 0.35470429 0.32260066 0.21406718 0.14805165 0.49461618 0.25430073
 0.35972341 0.11324884 0.26851536 0.06239152 0.2774548  0.48380783
 0.22289302 0.06754821 0.06393011 0.22459404 0.12201122 0.06050844
 0.39029613 0.25633535 0.18016015 0.45503743 0.10226253 0.48016347
 0.19128502 0.44978165 0.32132429 0.42201831 0.49280592 0.17978245
 0.48251097 0.22526685 0.22348036 0.2031742  0.29363342 0.11936527
 0.29917017 0.29376717 0.39285582 0.42514248]",,,
,"[4.40497306e-03 3.02403016e-03 2.59408964e-03 1.94704374e-03
 5.77418174e-04 3.42513734e-03 2.70320667e-03 9.66420744e-03
 5.57753055e-03 3.47342311e-03 5.80509554e-03 1.39282782e-03
 4.44099345e-03 6.26271698e-03 4.88948942e-03 4.01838623e-03
 9.93849004e-03 8.80326731e-03 6.23443618e-03 5.69420423e-03
 6.20698414e-03 2.01391977e-03 3.95198229e-03 3.95555869e-04
 4.75598483e-03 5.43070281e-03 2.27826961e-03 9.64032444e-03
 9.09463665e-03 7.22171021e-03 5.33433290e-03 8.69982163e-03
 1.30739279e-03 7.90530743e-03 1.24908332e-03 7.94231241e-03
 2.75839991e-03 8.77102872e-03 9.44047690e-03 1.48881090e-03
 4.62729338e-03 9.80989279e-03 4.83459095e-03 8.63561168e-03
 5.88772649e-03 3.75392375e-03 2.85854977e-03 2.03302769e-03
 7.61822012e-03 3.86601853e-03 5.11324335e-03 4.92376247e-03
 5.77321301e-03 8.65590588e-03 9.80741270e-03 4.07643450e-03
 8.27536170e-03 7.64551342e-03 5.73571599e-03 9.56051539e-03
 2.00554468e-03 1.09353284e-03 8.53976571e-03 4.39205902e-03
 8.46984157e-03 8.93100896e-03 6.25513479e-04 8.83476417e-03
 4.48374223e-03 5.10481446e-03 6.26629852e-03 9.26389968e-03
 1.92141828e-04 4.76895784e-03 6.87753270e-03 7.22734687e-03
 6.92563178e-03 1.34521686e-03 2.99465649e-03 3.58779654e-03
 8.04456764e-03 2.78831996e-03 2.10783893e-03 9.57452274e-03
 8.96239878e-05 9.97821074e-03 6.76853617e-03 8.28486453e-03
 2.94689934e-03 1.44138461e-04 7.37895732e-03 8.34161183e-03
 7.40502084e-03 1.42936002e-03 7.53452579e-03 7.68945890e-03
 6.58574662e-03 7.66139321e-03 8.45936848e-03 6.13642754e-03]",,,
,,"[8.86047141e-12 4.87627810e-11 7.76493348e-12 4.07543031e-11
 4.07106489e-11 6.60098442e-12 3.48820534e-11 1.10998099e-11
 8.08235210e-11 9.47688026e-11 7.23164754e-12 9.55115207e-11
 5.22576599e-11 2.99565678e-11 7.68620754e-12 5.00624268e-11
 7.94515545e-11 7.07086477e-11 5.02260116e-12 7.29018355e-12
 4.02873283e-11 2.95290494e-11 2.32384323e-11 2.81004499e-11
 8.03482743e-11 9.29228054e-11 4.05102695e-11 9.06111002e-11
 3.21495701e-11 4.76436986e-11 2.26028998e-11 6.40476042e-11
 9.78981115e-11 6.03493096e-11 3.57814084e-11 6.47817446e-11
 1.22920679e-11 8.88659080e-11 5.03083951e-11 4.49349742e-11
 5.85864788e-11 6.24783863e-11 7.17758063e-12 6.82617221e-11
 2.41931680e-11 7.13952633e-11 8.22534794e-11 8.03958508e-11
 5.52500967e-11 5.20169892e-11 1.42875961e-11 7.75346150e-11
 2.71409381e-11 4.96695423e-11 2.84274093e-11 1.33828363e-11
 6.29557697e-11 5.43320349e-12 7.48645234e-11 3.17586795e-11
 1.34693104e-14 5.11129139e-11 4.68519086e-12 2.76169558e-11
 7.06976487e-11 6.26896217e-12 8.39338492e-11 3.81992276e-13
 2.46823869e-11 7.40904056e-11 3.16270150e-11 1.01892388e-11
 3.60233919e-11 2.70393286e-11 8.42711902e-11 3.13347918e-11
 7.88932472e-11 8.91872145e-11 4.33817420e-11 9.09943144e-11
 3.77318054e-11 9.64078416e-11 8.92895246e-12 6.87019267e-11
 4.93814041e-11 3.87648806e-11 6.32711879e-11 7.03857092e-11
 4.36326975e-13 1.66953089e-11 7.13046051e-11 6.66385414e-11
 9.66047505e-11 7.61037790e-11 9.50772708e-11 7.02540502e-11
 2.98052209e-11 1.05364922e-11 7.81823863e-11 6.44149222e-11]",,
,,"[1.33730209 3.52035326 7.69759871 4.50280802 4.02910395 4.20389724
 2.46217907 3.5809502  3.58869279 1.36648514 6.3729734  3.91553102
 6.75525921 6.95243601 2.48395838 5.60147438 4.30597263 7.16109717
 2.51018475 5.7446924  5.25426486 3.06711034 1.95620633 5.56147832
 6.17018221 3.20939141 5.51382823 3.76591635 5.99244818 2.39450692
 7.23150502 3.01186718 3.57450191 1.40664366 1.78058549 4.61103332
 2.87314874 6.84836158 1.10285372 3.65365834 3.36141883 1.13529342
 1.87057879 3.89549872 4.45005209 3.83002823 4.71656375 5.16592172
 1.06946675 4.24866612 7.74449469 4.63322596 5.74279587 3.18304701
 6.41793965 6.41045037 4.64907233 7.83209676 1.8788515  1.11863365
 6.39110748 6.65008876 1.8414506  2.85907983 1.12286654 3.05316028
 6.41199312 4.62572369 3.43666915 3.60217506 1.00947538 3.09860369
 5.52521119 7.81936111 6.92942579 1.16516475 7.28992423 6.48238889
 6.46263286 4.20597031 3.78603705 3.1204101  1.45986401 2.59764754
 2.72622544 4.38853949 6.23211085 4.3166688  1.40491115 7.70452861
 7.59907023 6.4963268  7.93929531 4.81137633 7.73937845 1.52923528
 3.55976524 2.57766888 2.37083159 1.98562064]",,
