element_sizes,element_types,interface_refinement_levels,total_elements,mesh_quality,aspect_ratios
0.8116262258099887,Mixed,3,834792,0.8460028906796679,4.493529335858697
1.9063571821788408,Mixed,3,747378,0.9960215400417053,6.789593965981179
1.4907884894416696,Tetrahedral,4,143272,0.6560336060946096,5.12427601442365
1.2374511199743696,Quadrilateral,3,777836,0.8073318609454947,5.910551103843415
0.39643541684062933,Wedge,1,996001,0.9509492287711822,9.473183278988726
0.39638958863878504,Quadrilateral,3,712335,0.8963074471016818,4.474923740206968
0.21035886311957896,Pyramid,2,817789,0.8788062963981071,9.650715074415228
1.745734676972377,Wedge,4,653409,0.8809936335948436,9.148155777604574
1.2421185223120967,Mixed,1,87505,0.743796460487902,2.762120213103668
1.4453378978124864,Mixed,4,12869,0.7174367377057973,1.624251707876489
0.13911053916202465,Wedge,2,791474,0.9237444621914055,1.9070020123968399
1.9428287191077893,Mixed,2,464351,0.9240453578716723,1.1639964308639477
1.6816410175208014,Triangular,2,322252,0.9468289274320415,1.8499866468033557
0.5034443102887247,Wedge,3,646584,0.9652962210225885,7.147060960747211
0.4454674376934912,Quadrilateral,3,628467,0.8045369595443751,1.6406978361420608
0.4484685687215243,Wedge,4,100272,0.8006065178748798,3.8707806726438516
0.6780602616231216,Mixed,4,48467,0.9193180715867101,8.60387779872509
1.097037220101252,Triangular,1,819760,0.8599855723111061,1.209447421622433
0.9206955354200199,Triangular,1,887844,0.8807867509030813,8.330216343300421
0.6533353663762795,Pyramid,4,490047,0.9183170677744404,3.5366929729605996
1.262520499972521,Quadrilateral,3,669347,0.9560021367270265,2.0634834485949063
0.3650383352388795,Hexahedral,2,68871,0.7351980627406143,7.270634488277356
0.6550748322169144,Hexahedral,4,949903,0.7502331810559776,6.660485621018956
0.7960875022580142,Wedge,1,138391,0.6375927759363476,8.897248121743477
0.9665329700123682,Pyramid,3,449430,0.8313120563984696,7.615639394234972
1.5918343266467259,Tetrahedral,4,620704,0.6143769095186968,8.231328373463636
0.4793801861008835,Wedge,4,866703,0.786239207252984,3.538311153141758
1.077045432985862,Pyramid,3,840496,0.8170578538830306,2.5969558940175053
