step,t_min,T_top_C,T_bottom_C,V_top_V,V_bottom_V
0,0.000000,26.787890,17.322529,1.654647,0.000000
1,0.848670,33.350262,23.884901,1.654647,0.000000
2,1.697340,39.912633,30.447272,1.654647,0.000000
3,2.546009,46.475005,37.009644,1.654647,0.000000
4,3.394679,53.037377,43.572015,1.654647,0.000000
5,4.243349,59.599748,50.134387,1.654647,0.000000
6,5.092019,66.162120,56.696758,1.654647,0.000000
7,5.940689,72.724491,63.259130,1.654647,0.000000
8,6.789358,79.286863,69.821501,1.654647,0.000000
9,7.638028,85.849234,76.383873,1.654647,0.000000
10,8.486698,92.411606,82.946244,1.654647,0.000000
11,9.335368,98.973977,89.508616,1.654647,0.000000
12,10.184038,105.536349,96.070988,1.654647,0.000000
13,11.032708,112.098720,102.633359,1.654647,0.000000
14,11.881377,118.661092,109.195731,1.654647,0.000000
15,12.730047,125.223463,115.758102,1.654647,0.000000
16,13.578717,131.785835,122.320474,1.654647,0.000000
17,14.427387,138.348206,128.882845,1.654647,0.000000
18,15.276057,144.910578,135.445217,1.654647,0.000000
19,16.124726,151.472950,142.007588,1.654647,0.000000
20,16.973396,158.035321,148.569960,1.654647,0.000000
21,17.822066,164.597693,155.132331,1.654647,0.000000
22,18.670736,171.160064,161.694703,1.654647,0.000000
23,19.519406,176.913602,167.448241,1.654647,0.000000
24,20.368075,176.913602,167.448241,1.654647,0.000000
25,21.216745,176.913602,167.448241,1.654647,0.000000
26,22.065415,176.913602,167.448241,1.654647,0.000000
27,22.914085,176.913602,167.448241,1.654647,0.000000
28,23.762755,176.913602,167.448241,1.654647,0.000000
29,24.611425,176.913602,167.448241,1.654647,0.000000
30,25.460094,176.913602,167.448241,1.654647,0.000000
31,26.308764,176.913602,167.448241,1.654647,0.000000
32,27.157434,176.913602,167.448241,1.654647,0.000000
33,28.006104,176.913602,167.448241,1.654647,0.000000
34,28.854774,176.913602,167.448241,1.654647,0.000000
35,29.703443,176.913602,167.448241,1.654647,0.000000
36,30.552113,176.913602,167.448241,1.654647,0.000000
37,31.400783,176.913602,167.448241,1.654647,0.000000
38,32.249453,176.913602,167.448241,1.654647,0.000000
39,33.098123,176.913602,167.448241,1.654647,0.000000
40,33.946792,176.913602,167.448241,1.654647,0.000000
41,34.795462,176.913602,167.448241,1.654647,0.000000
42,35.644132,176.913602,167.448241,1.654647,0.000000
43,36.492802,176.913602,167.448241,1.654647,0.000000
44,37.341472,176.913602,167.448241,1.654647,0.000000
45,38.190142,176.913602,167.448241,1.654647,0.000000
46,39.038811,173.182527,163.717165,1.654647,0.000000
47,39.887481,167.326741,157.861380,1.654647,0.000000
48,40.736151,161.470956,152.005595,1.654647,0.000000
49,41.584821,155.615170,146.149809,1.654647,0.000000
50,42.433491,149.759385,140.294024,1.654647,0.000000
51,43.282160,143.903599,134.438238,1.654647,0.000000
52,44.130830,138.047814,128.582453,1.654647,0.000000
53,44.979500,132.192028,122.726667,1.654647,0.000000
54,45.828170,126.336243,116.870882,1.654647,0.000000
55,46.676840,120.480458,111.015096,1.654647,0.000000
56,47.525509,114.624672,105.159311,1.654647,0.000000
57,48.374179,108.768887,99.303525,1.654647,0.000000
58,49.222849,102.913101,93.447740,1.654647,0.000000
59,50.071519,97.057316,87.591955,1.654647,0.000000
60,50.920189,91.201530,81.736169,1.654647,0.000000
61,51.768859,85.345745,75.880384,1.654647,0.000000
62,52.617528,79.489959,70.024598,1.654647,0.000000
63,53.466198,73.634174,64.168813,1.654647,0.000000
64,54.314868,67.778389,58.313027,1.654647,0.000000
65,55.163538,61.922603,52.457242,1.654647,0.000000
66,56.012208,56.066818,46.601456,1.654647,0.000000
67,56.860877,50.211032,40.745671,1.654647,0.000000
68,57.709547,44.355247,34.889885,1.654647,0.000000
69,58.558217,38.499461,29.034100,1.654647,0.000000
70,59.406887,32.643676,23.178315,1.654647,0.000000
71,60.255557,26.787890,17.322529,1.654647,0.000000
