Parameter,Mix_ID,Rubber_Content,Overall_Mean,Overall_Std,CoV_Mean,CI_95_Lower,CI_95_Upper,CI_99_Lower,CI_99_Upper,Temperature_Range_C,Temperature_Variability,Min_Value,Max_Value,Data_Points
Thermal_Conductivity_W_m_K,C,0.0,1.2345037974683544,0.12958476332530747,0.10496910871481485,0.9805176613507518,1.488489933585957,0.9001751080890611,1.5688324868476475,780,1.0827832224908691,0.6133,1.95,79
Thermal_Conductivity_W_m_K,R5S,10.0,1.0716683544303796,0.11479334155700313,0.10711647972288858,0.8466734049786534,1.2966633038821056,0.7755015332133115,1.3678351756474476,780,1.3076806777082466,0.4608,1.8622,79
Thermal_Conductivity_W_m_K,R10S,10.0,1.0391405063291137,0.11212795753405791,0.10790451998658308,0.8193697095623602,1.2589113030958672,0.7498503758912443,1.3284306367669831,780,1.3827773927089213,0.4253,1.8622,79
Thermal_Conductivity_W_m_K,R15S,15.0,0.9843341772151899,0.1070186024288431,0.10872181918097441,0.7745777164546575,1.1940906379757223,0.7082261829487747,1.2604421714816052,780,1.457838235445408,0.3834,1.8184,79
Thermal_Conductivity_W_m_K,R20S,20.0,0.9323177215189873,0.10216112862792602,0.10957758955978983,0.7320819094082522,1.1325535336297223,0.6687420096589382,1.1958934333790365,780,1.5328465468527463,0.3454,1.7745,79
Thermal_Conductivity_W_m_K,R10L,10.0,1.0464810126582278,0.11292180390636856,0.10790621381608183,0.8251542770017454,1.26780774831471,0.755142758579797,1.3378192667366586,780,1.382824898393652,0.4283,1.8754,79
Specific_Heat_J_kg_K,C,0.0,1085.5220253164557,87.4508438415982,0.08056109576966361,914.1183713869232,1256.9256792459882,859.8988482051324,1311.1452024277792,780,0.40533493539362264,880.0,1320.0,79
Specific_Heat_J_kg_K,R5S,10.0,1121.679240506329,90.40395649177688,0.08059697748437271,944.4874857824464,1298.8709952302117,888.4370327575447,1354.9214482551133,780,0.41815875970769867,902.0,1371.04,79
Specific_Heat_J_kg_K,R10S,10.0,1130.6992405063293,91.17242467025413,0.08063366579199871,952.0012881526311,1309.3971928600274,895.4743848570736,1365.924096155585,780,0.43077768388867455,902.0,1389.08,79
Specific_Heat_J_kg_K,R15S,15.0,1153.6187341772152,93.06241547164849,0.0806699932261611,971.2163998527841,1336.0210685016461,913.5177022603621,1393.7197660940683,780,0.44319668609114216,913.0,1424.28,79
Specific_Heat_J_kg_K,R20S,20.0,1176.7579746835445,94.97282239499302,0.0807071840074279,990.6112427893581,1362.9047065777308,931.7280929044625,1421.7878564626265,780,0.4554207505108436,924.0,1459.92,79
Specific_Heat_J_kg_K,R10L,10.0,1126.562151898734,90.83822916159907,0.08063312708357742,948.5192227419999,1304.6050810554682,892.1995206618085,1360.9247831356597,780,0.43077960606262516,898.7,1384.0,79
Thermal_Diffusivity_mm2_s,C,0.0,0.504493253164557,0.07521502918367622,0.14909025782182736,0.3570717959645516,0.6519147103645624,0.3104384778706723,0.6985480284584416,780,1.4274779602753154,0.203142,0.923295,79
Thermal_Diffusivity_mm2_s,R5S,10.0,0.4432035569620254,0.06776907450407775,0.15290733442801396,0.310376170934033,0.5760309429900178,0.2683593447415048,0.618047769182546,780,1.6677212725152635,0.152278,0.891418,79
Thermal_Diffusivity_mm2_s,R10S,10.0,0.42832287341772146,0.06614156439654859,0.15441987458849551,0.2986854072004862,0.5579603396349567,0.2576776372746261,0.5989681095608168,780,1.7573121743277367,0.138721,0.891418,79
Thermal_Diffusivity_mm2_s,R15S,15.0,0.40696603797468345,0.06347754794014708,0.15597750676211436,0.2825500440119952,0.5313820319373718,0.24319396428910398,0.5707381116602629,780,1.8469133290349833,0.124216,0.875847,79
