building_id,has_retrofit,retrofit_year,retrofit_type,retrofit_cost_eur,energy_savings_percent,payback_period_years,co2_reduction_percent
B001,False,,,,,,
B002,True,2022.0,comprehensive,505209.94,42.18,16.9,45.37
B003,True,2017.0,window_replacement,339554.98,18.9,46.9,17.99
B004,False,,,,,,
B005,False,,,,,,
B006,True,2019.0,window_replacement,269146.48,14.31,34.5,14.07
B007,True,2017.0,air_sealing,12962.11,12.97,1.8,11.64
B008,False,,,,,,
B009,True,2021.0,renewable_energy,1236596.19,58.35,758.1,60.13
B010,False,,,,,,
B011,False,,,,,,
B012,True,2020.0,comprehensive,219664.11,60.37,0.5,67.93
B013,True,2019.0,smart_controls,43216.3,5.28,288.9,5.2
B014,False,,,,,,
B015,False,,,,,,
