building_id,year,total_consumption_kwh,energy_intensity_kwh_m2,electricity_kwh,natural_gas_kwh,oil_kwh,district_heating_kwh,renewable_kwh,jan_consumption,feb_consumption,mar_consumption,apr_consumption,may_consumption,jun_consumption,jul_consumption,aug_consumption,sep_consumption,oct_consumption,nov_consumption,dec_consumption
B001,2018,29523.48,246.03,12135.57,14505.73,2258.89,623.29,0.0,3046.48,2834.91,2538.29,2131.86,1763.4,1945.77,2594.23,2731.58,2293.33,2105.48,2530.61,2944.43
B001,2019,26317.1,219.31,11139.29,12749.52,1904.52,523.77,0.0,2663.28,2569.5,2245.79,1733.25,1545.28,1783.97,2185.94,2490.46,2012.19,1854.24,2156.62,2661.87
B001,2020,20655.64,172.13,8459.88,9977.1,1772.82,445.84,0.0,2163.46,1926.97,1757.81,1365.62,1253.16,1472.77,1726.07,1958.23,1647.07,1410.3,1834.35,2109.85
B001,2021,24749.58,206.25,11203.36,11213.08,1789.44,543.7,0.0,2456.12,2411.26,2238.04,1747.33,1429.93,1707.77,2041.98,2392.38,1848.94,1717.39,2221.81,2663.51
B001,2022,24111.98,200.93,10767.59,11254.87,1672.79,416.72,0.0,2616.22,2183.66,2067.4,1696.89,1515.51,1719.01,2097.99,2245.04,1903.22,1676.09,1987.19,2377.4
B001,2023,23868.68,198.91,9547.59,11963.08,1727.62,630.39,0.0,2575.73,2358.35,2139.69,1621.83,1504.4,1721.09,2088.79,2225.86,1801.81,1575.48,1982.3,2395.16
B002,2018,815062.33,326.02,587830.3,184237.38,24483.5,18511.16,0.0,59628.7,60769.1,68233.4,69884.26,69286.7,76660.91,83024.67,77755.41,65911.81,70615.47,62651.28,59713.72
B002,2019,1039995.42,416.0,794952.92,201847.97,24076.57,19117.95,0.0,77735.73,77429.25,89559.31,86505.28,88360.23,95800.28,108294.65,98881.35,89857.59,89231.55,79207.94,75098.32
B002,2020,754396.56,301.76,531738.01,178658.57,27786.99,16212.98,0.0,57022.12,57942.53,61416.48,65720.65,60596.2,72360.45,78894.55,66015.36,65973.4,61744.16,54904.09,55777.46
B002,2021,1081433.51,432.57,680776.52,333864.98,41690.58,25101.44,0.0,81635.23,82962.01,91611.57,88929.9,87033.01,100621.38,103518.15,97286.61,87046.04,92679.08,77950.6,83810.07
B002,2022,666478.89,266.59,488947.18,140264.53,22792.25,14474.93,0.0,49141.01,51184.47,52847.68,57762.68,55370.43,60014.72,66233.62,59293.43,53903.52,55648.82,48982.75,52328.95
B002,2023,591221.45,236.49,416076.47,148639.39,14336.41,12169.18,0.0,43812.81,42691.74,51622.46,49635.85,48391.98,52129.98,56315.52,54637.23,46874.03,50611.69,44330.16,42712.37
B003,2018,343261.98,429.08,275090.27,54197.11,8418.1,5556.49,0.0,37614.27,31501.99,27404.24,24627.54,22582.46,23968.44,26011.4,26892.81,28020.6,29985.43,31250.71,35941.96
B003,2019,421564.07,526.96,313816.22,85498.46,14360.53,7888.86,0.0,46263.68,39539.8,35302.94,31332.87,27694.85,26880.29,30622.43,32723.27,34050.72,34191.17,38445.65,42612.42
B003,2020,317009.17,396.26,257774.71,43909.31,8492.62,6832.54,0.0,33099.08,29766.11,27352.35,24493.9,22158.02,22189.75,22909.93,24617.41,26998.97,25626.89,28602.74,30999.87
B003,2021,354804.82,443.51,276698.46,60133.58,11285.32,6687.46,0.0,38020.75,32164.35,28289.5,26949.01,22926.14,23198.42,26261.32,25324.8,28311.44,28169.54,31647.31,35013.9
B003,2022,439387.0,549.23,357454.76,62076.95,12022.41,7832.87,0.0,49770.67,39948.51,36268.61,34367.02,29650.18,30330.14,32676.87,31476.35,35620.29,36571.07,38812.92,42300.13
B003,2023,318994.43,398.74,254861.9,49584.14,8018.33,6530.06,0.0,34332.4,28550.05,26637.31,23033.76,21415.79,21156.8,24069.64,23683.2,26068.36,27598.81,28267.14,30991.55
B004,2018,1104755.67,368.25,613716.3,362178.04,56920.03,71941.3,0.0,96971.31,94450.45,91423.17,79364.59,85827.22,90985.27,99806.62,104790.37,94222.18,81285.01,87246.33,102552.48
B004,2019,1400493.02,466.83,856479.69,422628.5,53523.24,67861.59,0.0,129883.59,110523.87,117424.21,106541.73,103864.79,118278.78,126447.51,128475.59,115936.68,104656.03,116952.93,129237.26
B004,2020,1239902.6,413.3,748283.71,348438.11,67854.43,75326.35,0.0,116341.08,101886.9,98469.01,94711.07,93976.25,99801.51,118135.95,115912.39,98122.57,96522.33,102854.49,108262.63
B004,2021,1259313.35,419.77,701190.97,436449.99,50016.74,71655.65,0.0,110984.21,101816.29,106581.59,97868.53,89446.91,105814.79,118856.8,114701.86,99990.14,91470.26,106982.87,109040.85
B004,2022,568387.46,189.46,379087.36,140519.06,23997.21,24783.82,0.0,51004.73,49242.54,45999.16,42250.79,43201.81,47705.43,54083.51,49799.44,49163.32,44390.42,46128.87,53504.93
B004,2023,678751.18,226.25,395768.42,223767.38,29969.74,29245.64,0.0,62131.2,57859.56,56246.52,48202.93,50649.04,55636.84,59938.33,59661.07,57163.4,50427.7,53675.4,64575.14
B005,2018,23713.59,158.09,9146.08,12505.83,1571.52,490.15,0.0,2431.41,2348.63,1976.87,1555.89,1378.51,1711.59,2091.92,2322.2,1790.62,1659.1,2049.98,2492.12
B005,2019,17610.12,117.4,6932.17,8907.54,1443.84,326.56,0.0,1873.79,1639.66,1551.1,1251.97,1085.31,1251.67,1542.06,1744.59,1337.04,1261.21,1535.46,1895.13
B005,2020,15094.32,100.63,7091.08,6594.19,1095.12,313.93,0.0,1564.27,1375.93,1325.87,1075.15,898.29,1085.95,1345.66,1397.4,1212.24,1019.69,1282.51,1555.35
B005,2021,29188.79,194.59,9911.03,16508.64,2254.25,514.86,0.0,3163.43,2858.39,2588.6,1965.68,1827.8,2020.59,2619.23,2737.09,2324.26,2094.74,2484.32,2932.89
B005,2022,34620.95,230.81,13231.87,17160.87,3438.67,789.55,0.0,3490.93,3193.86,2869.3,2382.5,2181.25,2296.24,2959.99,3336.41,2661.44,2502.64,3054.12,3409.69
B005,2023,25113.24,167.42,11566.93,11149.72,1821.43,575.16,0.0,2651.74,2384.05,2229.84,1665.58,1505.46,1751.79,2073.45,2355.48,1889.37,1648.22,2216.81,2568.93
B006,2018,433048.63,240.58,299295.6,109482.98,15544.5,8725.55,0.0,32619.39,32858.13,36668.59,34488.44,37677.18,41673.29,41140.7,41549.84,35337.35,36101.35,33852.95,32777.85
B006,2019,895083.53,497.27,624678.95,216869.52,30365.86,23169.19,0.0,65622.66,66120.09,77662.07,71117.17,73285.53,79382.84,90448.65,85461.38,78198.95,75118.68,66942.15,67839.32
B006,2020,590667.87,328.15,419415.63,142023.84,16422.26,12806.14,0.0,43895.77,44329.61,48137.51,49813.7,48736.33,53175.38,61957.43,52247.42,48595.19,48774.87,45065.47,43523.0
B006,2021,550420.04,305.79,364761.51,156841.83,14695.0,14121.7,0.0,42104.21,40368.82,47911.59,43838.53,47816.21,49561.13,54158.54,50578.21,44115.37,44313.4,43033.28,41451.13
B006,2022,1035736.85,575.41,774494.7,218838.31,26299.74,16104.09,0.0,77437.92,81275.05,84779.2,87891.67,90551.04,95138.87,100971.64,90731.81,83364.7,84231.53,77044.86,76928.52
B006,2023,454218.29,252.34,304832.49,127969.69,11712.27,9703.84,0.0,32801.55,33942.45,37224.91,37775.19,39267.75,43290.03,47599.03,43039.47,38537.33,39311.26,34276.38,33172.72
B007,2018,631146.02,525.96,483203.28,112566.12,23372.0,12004.62,0.0,67807.31,55764.61,50052.88,45841.33,40495.3,41416.39,46390.83,47443.65,53593.4,54824.35,55718.1,64304.33
