cell,cycle,strain_accumulation,R_ohm_Ohm_cm2
1,1,9.52e-05,0.2006
1,2,0.00015,0.2012
1,3,0.0002023,0.2018
1,4,0.0002274,0.2024
1,5,0.0002612,0.203
1,6,0.0002883,0.2036
1,7,0.0003271,0.2042
1,8,0.0003319,0.2048
1,9,0.0003715,0.2054
1,10,0.0003979,0.206
1,11,0.0004182,0.2066
1,12,0.0004484,0.2072
1,13,0.000472,0.2078
1,14,0.0004801,0.2084
1,15,0.0005182,0.209
1,16,0.0005207,0.2096
1,17,0.0005538,0.2102
1,18,0.0005672,0.2108
1,19,0.0005826,0.2114
1,20,0.0006014,0.212
2,1,9.98e-05,0.2006
2,2,0.0001526,0.2012
2,3,0.0001887,0.2018
2,4,0.0002286,0.2024
2,5,0.0002588,0.203
2,6,0.0002869,0.2036
2,7,0.0003173,0.2042
2,8,0.0003425,0.2048
2,9,0.0003716,0.2054
2,10,0.0004003,0.206
2,11,0.0004221,0.2066
2,12,0.000454,0.2072
2,13,0.0004549,0.2078
2,14,0.0004895,0.2084
2,15,0.0005078,0.209
2,16,0.0005319,0.2096
2,17,0.0005509,0.2102
2,18,0.0005656,0.2108
2,19,0.000586,0.2114
2,20,0.0005997,0.212
3,1,0.0001031,0.2006
3,2,0.0001422,0.2012
3,3,0.0001972,0.2018
3,4,0.0002296,0.2024
3,5,0.0002602,0.203
3,6,0.0002919,0.2036
3,7,0.0003206,0.2042
3,8,0.0003547,0.2048
3,9,0.0003899,0.2054
3,10,0.0004042,0.206
3,11,0.0004187,0.2066
3,12,0.0004473,0.2072
3,13,0.0004693,0.2078
3,14,0.0004825,0.2084
3,15,0.0005015,0.209
3,16,0.0005275,0.2096
3,17,0.0005514,0.2102
3,18,0.0005584,0.2108
3,19,0.0005815,0.2114
3,20,0.0006063,0.212
4,1,0.0001002,0.2006
4,2,0.0001587,0.2012
4,3,0.0001863,0.2018
4,4,0.0002415,0.2024
4,5,0.000255,0.203
4,6,0.0002829,0.2036
4,7,0.0003211,0.2042
4,8,0.0003425,0.2048
4,9,0.0003735,0.2054
4,10,0.0003977,0.206
4,11,0.0004206,0.2066
4,12,0.0004399,0.2072
4,13,0.0004681,0.2078
4,14,0.0004856,0.2084
4,15,0.0005133,0.209
4,16,0.0005269,0.2096
4,17,0.0005425,0.2102
4,18,0.000558,0.2108
4,19,0.0005843,0.2114
4,20,0.0005971,0.212
5,1,9.33e-05,0.2006
5,2,0.0001542,0.2012
5,3,0.0001844,0.2018
5,4,0.0002368,0.2024
5,5,0.0002635,0.203
5,6,0.0002928,0.2036
5,7,0.0003162,0.2042
5,8,0.000352,0.2048
5,9,0.0003737,0.2054
5,10,0.0003947,0.206
5,11,0.0004225,0.2066
5,12,0.0004357,0.2072
5,13,0.0004578,0.2078
5,14,0.0004816,0.2084
5,15,0.0005095,0.209
5,16,0.0005278,0.2096
5,17,0.0005526,0.2102
5,18,0.0005619,0.2108
5,19,0.000588,0.2114
5,20,0.0006028,0.212
6,1,9.53e-05,0.2006
6,2,0.0001535,0.2012
6,3,0.000193,0.2018
6,4,0.0002266,0.2024
6,5,0.0002629,0.203
6,6,0.0002924,0.2036
6,7,0.0003206,0.2042
6,8,0.0003462,0.2048
6,9,0.0003672,0.2054
6,10,0.0003985,0.206
6,11,0.0004175,0.2066
6,12,0.000439,0.2072
6,13,0.0004648,0.2078
6,14,0.0004908,0.2084
6,15,0.0005087,0.209
6,16,0.0005251,0.2096
6,17,0.0005445,0.2102
6,18,0.0005696,0.2108
6,19,0.0005731,0.2114
6,20,0.0006074,0.212
7,1,9.06e-05,0.2006
7,2,0.0001445,0.2012
7,3,0.0001907,0.2018
7,4,0.0002406,0.2024
7,5,0.000271,0.203
7,6,0.0002965,0.2036
7,7,0.0003232,0.2042
7,8,0.0003389,0.2048
7,9,0.0003745,0.2054
7,10,0.0003954,0.206
7,11,0.0004175,0.2066
7,12,0.0004449,0.2072
7,13,0.0004636,0.2078
7,14,0.0004915,0.2084
7,15,0.0004981,0.209
7,16,0.0005282,0.2096
7,17,0.000543,0.2102
7,18,0.0005644,0.2108
7,19,0.0005867,0.2114
7,20,0.0005978,0.212
8,1,0.0001008,0.2006
8,2,0.0001505,0.2012
8,3,0.00019,0.2018
8,4,0.0002274,0.2024
8,5,0.0002619,0.203
8,6,0.0002892,0.2036
8,7,0.0003214,0.2042
8,8,0.0003468,0.2048
8,9,0.0003707,0.2054
8,10,0.0004061,0.206
8,11,0.0004236,0.2066
8,12,0.0004422,0.2072
8,13,0.0004667,0.2078
8,14,0.000482,0.2084
8,15,0.0005056,0.209
8,16,0.0005262,0.2096
8,17,0.0005411,0.2102
8,18,0.0005684,0.2108
8,19,0.0005826,0.2114
8,20,0.0006016,0.212
9,1,9.72e-05,0.2006
9,2,0.0001664,0.2012
9,3,0.00019,0.2018
9,4,0.0002194,0.2024
9,5,0.0002547,0.203
9,6,0.0002968,0.2036
9,7,0.0003281,0.2042
9,8,0.0003448,0.2048
9,9,0.0003801,0.2054
9,10,0.0004018,0.206
9,11,0.0004206,0.2066
9,12,0.0004428,0.2072
9,13,0.0004669,0.2078
9,14,0.0004916,0.2084
9,15,0.0005097,0.209
9,16,0.0005244,0.2096
9,17,0.0005465,0.2102
9,18,0.0005764,0.2108
9,19,0.0005864,0.2114
9,20,0.0006078,0.212
10,1,0.0001027,0.2006
10,2,0.0001529,0.2012
10,3,0.0001939,0.2018
10,4,0.0002342,0.2024
10,5,0.0002662,0.203
10,6,0.0002943,0.2036
10,7,0.0003179,0.2042
10,8,0.0003501,0.2048
10,9,0.0003734,0.2054
10,10,0.0003966,0.206
10,11,0.0004349,0.2066
10,12,0.0004364,0.2072
10,13,0.0004708,0.2078
10,14,0.0004829,0.2084
10,15,0.0005084,0.209
10,16,0.0005406,0.2096
10,17,0.0005425,0.2102
10,18,0.0005628,0.2108
10,19,0.000585,0.2114
10,20,0.0005992,0.212
11,1,0.0001044,0.2006
11,2,0.0001489,0.2012
11,3,0.0001966,0.2018
11,4,0.0002231,0.2024
11,5,0.0002536,0.203
11,6,0.0002919,0.2036
11,7,0.0003136,0.2042
11,8,0.0003558,0.2048
11,9,0.0003661,0.2054
11,10,0.0003929,0.206
11,11,0.0004236,0.2066
11,12,0.0004412,0.2072
11,13,0.0004584,0.2078
11,14,0.0004974,0.2084
11,15,0.0005027,0.209
11,16,0.0005268,0.2096
11,17,0.0005463,0.2102
11,18,0.00057,0.2108
11,19,0.0005874,0.2114
11,20,0.0005993,0.212
12,1,9.84e-05,0.2006
12,2,0.0001504,0.2012
12,3,0.0001971,0.2018
12,4,0.0002239,0.2024
12,5,0.0002727,0.203
12,6,0.0002892,0.2036
12,7,0.0003214,0.2042
12,8,0.0003424,0.2048
12,9,0.0003672,0.2054
12,10,0.0003937,0.206
12,11,0.0004167,0.2066
12,12,0.0004421,0.2072
12,13,0.0004611,0.2078
12,14,0.0004906,0.2084
12,15,0.0005038,0.209
12,16,0.0005233,0.2096
12,17,0.0005454,0.2102
12,18,0.0005714,0.2108
12,19,0.0005862,0.2114
12,20,0.0006029,0.212
