cell,temperature_C,current_density_A_cm2,frequency_Hz,Z_real_Ohm_cm2,Z_imag_Ohm_cm2
1,700,0.0,0.1,0.9668,-0.00556
1,700,0.0,0.1314,0.96704,-0.00687
1,700,0.0,0.1727,0.96687,-0.00929
1,700,0.0,0.227,0.96647,-0.0123
1,700,0.0,0.2982,0.96654,-0.01598
1,700,0.0,0.3919,0.96609,-0.02136
1,700,0.0,0.5151,0.96579,-0.02799
1,700,0.0,0.6769,0.9643,-0.03617
1,700,0.0,0.8895,0.9625,-0.04806
1,700,0.0,1.169,0.95968,-0.06271
1,700,0.0,1.5362,0.95429,-0.0817
1,700,0.0,2.0188,0.94541,-0.10573
1,700,0.0,2.6529,0.93125,-0.13476
1,700,0.0,3.4864,0.90753,-0.16883
1,700,0.0,4.5816,0.87168,-0.20531
1,700,0.0,6.0209,0.82096,-0.23892
1,700,0.0,7.9123,0.75669,-0.26197
1,700,0.0,10.398,0.68411,-0.26837
1,700,0.0,13.6645,0.61373,-0.2547
1,700,0.0,17.9571,0.55421,-0.22663
1,700,0.0,23.5983,0.50994,-0.19123
1,700,0.0,31.0117,0.47891,-0.15549
1,700,0.0,40.7539,0.45972,-0.12312
1,700,0.0,53.5567,0.44751,-0.0957
1,700,0.0,70.3814,0.44023,-0.07377
1,700,0.0,92.4915,0.43566,-0.05686
1,700,0.0,121.5474,0.43346,-0.04345
1,700,0.0,159.7312,0.43129,-0.03293
1,700,0.0,209.9104,0.43077,-0.0251
1,700,0.0,275.8532,0.43076,-0.01919
1,700,0.0,362.5117,0.43039,-0.01458
1,700,0.0,476.3938,0.43034,-0.01133
1,700,0.0,626.0517,0.42993,-0.00833
1,700,0.0,822.7241,0.42984,-0.00621
1,700,0.0,1081.1808,0.42976,-0.00449
1,700,0.0,1420.8308,0.43025,-0.00367
1,700,0.0,1867.1811,0.42992,-0.0026
1,700,0.0,2453.7511,0.42957,-0.00242
1,700,0.0,3224.5905,0.43005,-0.00159
1,700,0.0,4237.5872,0.42975,-0.00125
1,700,0.0,5568.814,0.42932,-0.00099
1,700,0.0,7318.2422,0.42965,-0.00054
1,700,0.0,9617.2487,0.43,-0.00044
1,700,0.0,12638.482,0.42988,-0.00072
1,700,0.0,16608.8278,0.42992,-0.00019
1,700,0.0,21826.4473,0.43005,0.00018
1,700,0.0,28683.1681,0.42946,-0.00026
1,700,0.0,37693.9098,0.42965,-0.00011
1,700,0.0,49535.3521,0.4298,-0.00015
1,700,0.0,65096.7523,0.43,-0.0003
1,700,0.0,85546.7254,0.42959,-0.00027
1,700,0.0,112421.0035,0.42972,-0.00029
1,700,0.0,147737.7653,0.42979,-7e-05
1,700,0.0,194149.1946,0.42964,0.00015
1,700,0.0,255140.652,0.42978,0.00019
1,700,0.0,335292.4149,0.42976,-2e-05
1,700,0.0,440623.6428,0.42968,-1e-05
1,700,0.0,579044.3981,0.42994,-9e-05
1,700,0.0,760949.6685,0.4299,-0.00017
1,700,0.0,1000000.0,0.42995,-0.00012
1,700,0.1,0.1,0.92586,-0.00501
1,700,0.1,0.1314,0.92595,-0.00684
1,700,0.1,0.1727,0.92529,-0.0088
1,700,0.1,0.227,0.9252,-0.01168
1,700,0.1,0.2982,0.92541,-0.01498
1,700,0.1,0.3919,0.92486,-0.01975
1,700,0.1,0.5151,0.92427,-0.02549
1,700,0.1,0.6769,0.92327,-0.03413
1,700,0.1,0.8895,0.9219,-0.04439
1,700,0.1,1.169,0.91928,-0.05805
1,700,0.1,1.5362,0.91417,-0.07517
1,700,0.1,2.0188,0.90571,-0.09754
1,700,0.1,2.6529,0.89245,-0.12424
1,700,0.1,3.4864,0.87041,-0.15601
1,700,0.1,4.5816,0.83726,-0.18932
1,700,0.1,6.0209,0.79112,-0.22055
1,700,0.1,7.9123,0.7313,-0.24227
1,700,0.1,10.398,0.66468,-0.24776
1,700,0.1,13.6645,0.59978,-0.23526
1,700,0.1,17.9571,0.54526,-0.20931
1,700,0.1,23.5983,0.50382,-0.17667
1,700,0.1,31.0117,0.47505,-0.14336
1,700,0.1,40.7539,0.45694,-0.11342
1,700,0.1,53.5567,0.44592,-0.08876
1,700,0.1,70.3814,0.4397,-0.06829
1,700,0.1,92.4915,0.43505,-0.05213
1,700,0.1,121.5474,0.4329,-0.03978
1,700,0.1,159.7312,0.43154,-0.03063
1,700,0.1,209.9104,0.43096,-0.02314
1,700,0.1,275.8532,0.43058,-0.01773
1,700,0.1,362.5117,0.43027,-0.01334
1,700,0.1,476.3938,0.43005,-0.0103
1,700,0.1,626.0517,0.42963,-0.00769
1,700,0.1,822.7241,0.42988,-0.00603
1,700,0.1,1081.1808,0.43009,-0.00481
1,700,0.1,1420.8308,0.43015,-0.00345
1,700,0.1,1867.1811,0.42987,-0.0027
1,700,0.1,2453.7511,0.42947,-0.00202
1,700,0.1,3224.5905,0.42987,-0.00138
1,700,0.1,4237.5872,0.42976,-0.00159
1,700,0.1,5568.814,0.42949,-0.00047
1,700,0.1,7318.2422,0.42958,-0.00038
1,700,0.1,9617.2487,0.42961,-0.00055
1,700,0.1,12638.482,0.42992,-0.00055
1,700,0.1,16608.8278,0.43012,-0.00028
1,700,0.1,21826.4473,0.42989,-0.00028
1,700,0.1,28683.1681,0.42993,0.00015
1,700,0.1,37693.9098,0.42977,0.00022
1,700,0.1,49535.3521,0.42967,5e-05
1,700,0.1,65096.7523,0.42989,-0.00029
1,700,0.1,85546.7254,0.42984,-6e-05
1,700,0.1,112421.0035,0.42963,3e-05
1,700,0.1,147737.7653,0.42983,-5e-05
1,700,0.1,194149.1946,0.42978,-4e-05
1,700,0.1,255140.652,0.42972,1e-05
1,700,0.1,335292.4149,0.42967,0.00052
1,700,0.1,440623.6428,0.42951,-0.00013
1,700,0.1,579044.3981,0.4297,0.0004
1,700,0.1,760949.6685,0.42953,8e-05
1,700,0.1,1000000.0,0.42985,6e-05
1,700,0.3,0.1,0.85261,-0.00404
1,700,0.3,0.1314,0.85224,-0.00559
1,700,0.3,0.1727,0.85191,-0.00737
1,700,0.3,0.227,0.85203,-0.00975
1,700,0.3,0.2982,0.85169,-0.01268
1,700,0.3,0.3919,0.8514,-0.01673
1,700,0.3,0.5151,0.85102,-0.02217
1,700,0.3,0.6769,0.85066,-0.02874
1,700,0.3,0.8895,0.84923,-0.03748
1,700,0.3,1.169,0.8464,-0.04908
1,700,0.3,1.5362,0.84211,-0.06409
1,700,0.3,2.0188,0.83533,-0.08318
1,700,0.3,2.6529,0.82404,-0.10578
1,700,0.3,3.4864,0.80568,-0.13271
1,700,0.3,4.5816,0.77748,-0.16133
1,700,0.3,6.0209,0.7378,-0.18781
1,700,0.3,7.9123,0.68705,-0.20609
1,700,0.3,10.398,0.62971,-0.21104
1,700,0.3,13.6645,0.57435,-0.20052
1,700,0.3,17.9571,0.52813,-0.17846
1,700,0.3,23.5983,0.49271,-0.15025
1,700,0.3,31.0117,0.46823,-0.1222
1,700,0.3,40.7539,0.45327,-0.09723
1,700,0.3,53.5567,0.44347,-0.07508
1,700,0.3,70.3814,0.43814,-0.05803
1,700,0.3,92.4915,0.43473,-0.04453
1,700,0.3,121.5474,0.43267,-0.03414
1,700,0.3,159.7312,0.43143,-0.02613
1,700,0.3,209.9104,0.43098,-0.01952
1,700,0.3,275.8532,0.43061,-0.01518
1,700,0.3,362.5117,0.42992,-0.01124
1,700,0.3,476.3938,0.43009,-0.00868
1,700,0.3,626.0517,0.42977,-0.00657
1,700,0.3,822.7241,0.42964,-0.00494
1,700,0.3,1081.1808,0.43011,-0.00353
1,700,0.3,1420.8308,0.42996,-0.00321
1,700,0.3,1867.1811,0.42985,-0.00181
1,700,0.3,2453.7511,0.42963,-0.00171
1,700,0.3,3224.5905,0.43008,-0.00117
1,700,0.3,4237.5872,0.4303,-0.00113
1,700,0.3,5568.814,0.4296,-0.0005
1,700,0.3,7318.2422,0.42956,-0.00061
1,700,0.3,9617.2487,0.42978,-0.00023
1,700,0.3,12638.482,0.42992,-0.00024
1,700,0.3,16608.8278,0.42972,-1e-05
1,700,0.3,21826.4473,0.4306,-5e-05
1,700,0.3,28683.1681,0.42982,-0.0004
1,700,0.3,37693.9098,0.42967,-0.00015
1,700,0.3,49535.3521,0.42969,-9e-05
1,700,0.3,65096.7523,0.43015,0.00019
1,700,0.3,85546.7254,0.42976,-0.00029
1,700,0.3,112421.0035,0.43006,-5e-05
1,700,0.3,147737.7653,0.42945,0.00011
1,700,0.3,194149.1946,0.43,-0.00051
1,700,0.3,255140.652,0.42963,-4e-05
1,700,0.3,335292.4149,0.42994,-0.00012
1,700,0.3,440623.6428,0.42963,0.00014
1,700,0.3,579044.3981,0.4297,0.0001
1,700,0.3,760949.6685,0.42957,-0.00028
1,700,0.3,1000000.0,0.42995,5e-05
1,700,0.5,0.1,0.79007,-0.00376
1,700,0.5,0.1314,0.7897,-0.00452
1,700,0.5,0.1727,0.78951,-0.00605
1,700,0.5,0.227,0.79,-0.00811
1,700,0.5,0.2982,0.78946,-0.01104
1,700,0.5,0.3919,0.78931,-0.01454
1,700,0.5,0.5151,0.78875,-0.01862
1,700,0.5,0.6769,0.78837,-0.0248
1,700,0.5,0.8895,0.78716,-0.03211
1,700,0.5,1.169,0.78524,-0.04196
1,700,0.5,1.5362,0.78161,-0.05465
1,700,0.5,2.0188,0.77565,-0.07098
1,700,0.5,2.6529,0.76562,-0.09031
1,700,0.5,3.4864,0.7499,-0.11304
1,700,0.5,4.5816,0.72617,-0.13748
1,700,0.5,6.0209,0.69217,-0.16028
1,700,0.5,7.9123,0.64919,-0.17569
1,700,0.5,10.398,0.60022,-0.17985
1,700,0.5,13.6645,0.55287,-0.17091
1,700,0.5,17.9571,0.51327,-0.1521
1,700,0.5,23.5983,0.4837,-0.1284
1,700,0.5,31.0117,0.46304,-0.10361
1,700,0.5,40.7539,0.44995,-0.08237
1,700,0.5,53.5567,0.44139,-0.06444
1,700,0.5,70.3814,0.43666,-0.04965
1,700,0.5,92.4915,0.4337,-0.03805
1,700,0.5,121.5474,0.43213,-0.02895
1,700,0.5,159.7312,0.43092,-0.0223
1,700,0.5,209.9104,0.43056,-0.01693
1,700,0.5,275.8532,0.43062,-0.01282
1,700,0.5,362.5117,0.42974,-0.00971
1,700,0.5,476.3938,0.43006,-0.00748
1,700,0.5,626.0517,0.42964,-0.00532
1,700,0.5,822.7241,0.42963,-0.00419
1,700,0.5,1081.1808,0.42987,-0.00317
1,700,0.5,1420.8308,0.43016,-0.00239
1,700,0.5,1867.1811,0.4297,-0.00168
1,700,0.5,2453.7511,0.42968,-0.00142
1,700,0.5,3224.5905,0.42954,-0.00131
1,700,0.5,4237.5872,0.42981,-0.00076
1,700,0.5,5568.814,0.42946,-0.00054
1,700,0.5,7318.2422,0.42963,-0.00023
1,700,0.5,9617.2487,0.42973,-0.00059
1,700,0.5,12638.482,0.42981,-0.00046
1,700,0.5,16608.8278,0.43005,-0.00021
1,700,0.5,21826.4473,0.42977,-4e-05
1,700,0.5,28683.1681,0.4296,-0.00038
1,700,0.5,37693.9098,0.42988,-0.00031
1,700,0.5,49535.3521,0.42958,0.0001
1,700,0.5,65096.7523,0.4299,-0.00031
1,700,0.5,85546.7254,0.42967,-0.00022
1,700,0.5,112421.0035,0.43015,0.00015
1,700,0.5,147737.7653,0.42971,9e-05
1,700,0.5,194149.1946,0.42953,-0.00015
1,700,0.5,255140.652,0.42982,8e-05
1,700,0.5,335292.4149,0.42978,4e-05
1,700,0.5,440623.6428,0.42981,-4e-05
1,700,0.5,579044.3981,0.42974,-9e-05
1,700,0.5,760949.6685,0.42984,8e-05
1,700,0.5,1000000.0,0.42984,-0.00024
2,700,0.0,0.1,0.96679,-0.00536
2,700,0.0,0.1314,0.96724,-0.00712
2,700,0.0,0.1727,0.9668,-0.00936
2,700,0.0,0.227,0.96653,-0.01209
2,700,0.0,0.2982,0.96659,-0.01636
2,700,0.0,0.3919,0.96616,-0.02141
2,700,0.0,0.5151,0.96584,-0.02801
2,700,0.0,0.6769,0.96456,-0.03657
2,700,0.0,0.8895,0.96256,-0.048
2,700,0.0,1.169,0.95966,-0.06308
2,700,0.0,1.5362,0.95438,-0.08167
2,700,0.0,2.0188,0.94548,-0.1055
2,700,0.0,2.6529,0.93087,-0.13445
2,700,0.0,3.4864,0.90718,-0.16883
2,700,0.0,4.5816,0.87188,-0.20512
2,700,0.0,6.0209,0.82136,-0.23833
2,700,0.0,7.9123,0.7569,-0.26198
2,700,0.0,10.398,0.68428,-0.26845
2,700,0.0,13.6645,0.61385,-0.25484
2,700,0.0,17.9571,0.55446,-0.22666
2,700,0.0,23.5983,0.5097,-0.19128
2,700,0.0,31.0117,0.47915,-0.15507
2,700,0.0,40.7539,0.45971,-0.12307
2,700,0.0,53.5567,0.44759,-0.09586
2,700,0.0,70.3814,0.44025,-0.0739
2,700,0.0,92.4915,0.43615,-0.05675
2,700,0.0,121.5474,0.43335,-0.0432
2,700,0.0,159.7312,0.43166,-0.03307
2,700,0.0,209.9104,0.43093,-0.0253
2,700,0.0,275.8532,0.4304,-0.01897
2,700,0.0,362.5117,0.43007,-0.0145
2,700,0.0,476.3938,0.43009,-0.0114
2,700,0.0,626.0517,0.43003,-0.00875
2,700,0.0,822.7241,0.43,-0.00654
2,700,0.0,1081.1808,0.42984,-0.00516
2,700,0.0,1420.8308,0.42985,-0.00355
2,700,0.0,1867.1811,0.42965,-0.00296
2,700,0.0,2453.7511,0.4299,-0.00206
2,700,0.0,3224.5905,0.42931,-0.00124
2,700,0.0,4237.5872,0.42991,-0.00111
2,700,0.0,5568.814,0.42977,-0.00132
2,700,0.0,7318.2422,0.42993,-0.00084
2,700,0.0,9617.2487,0.42991,-0.00059
2,700,0.0,12638.482,0.42984,-0.00057
2,700,0.0,16608.8278,0.42997,-0.00056
2,700,0.0,21826.4473,0.43025,0.0002
2,700,0.0,28683.1681,0.43012,7e-05
2,700,0.0,37693.9098,0.42978,9e-05
2,700,0.0,49535.3521,0.42978,-0.00042
2,700,0.0,65096.7523,0.4301,0.00014
2,700,0.0,85546.7254,0.42979,-0.00031
2,700,0.0,112421.0035,0.42968,-0.00041
2,700,0.0,147737.7653,0.42999,-0.00036
2,700,0.0,194149.1946,0.42985,-0.0002
2,700,0.0,255140.652,0.42951,3e-05
2,700,0.0,335292.4149,0.42973,0.00015
2,700,0.0,440623.6428,0.42954,-0.00016
2,700,0.0,579044.3981,0.42932,-0.00045
2,700,0.0,760949.6685,0.43016,0.00041
2,700,0.0,1000000.0,0.42982,-0.00017
2,700,0.1,0.1,0.92563,-0.00485
2,700,0.1,0.1314,0.92555,-0.00656
2,700,0.1,0.1727,0.92558,-0.00879
2,700,0.1,0.227,0.92537,-0.01134
2,700,0.1,0.2982,0.92509,-0.01489
2,700,0.1,0.3919,0.92486,-0.01964
2,700,0.1,0.5151,0.92467,-0.02585
2,700,0.1,0.6769,0.9236,-0.03422
2,700,0.1,0.8895,0.92164,-0.04434
2,700,0.1,1.169,0.91926,-0.05833
2,700,0.1,1.5362,0.91398,-0.0751
2,700,0.1,2.0188,0.90565,-0.09744
2,700,0.1,2.6529,0.89237,-0.12432
2,700,0.1,3.4864,0.871,-0.1557
2,700,0.1,4.5816,0.83804,-0.18951
2,700,0.1,6.0209,0.79102,-0.22056
2,700,0.1,7.9123,0.7314,-0.24195
2,700,0.1,10.398,0.6647,-0.24776
2,700,0.1,13.6645,0.59986,-0.23561
2,700,0.1,17.9571,0.54496,-0.2094
2,700,0.1,23.5983,0.50383,-0.17658
2,700,0.1,31.0117,0.47551,-0.14325
2,700,0.1,40.7539,0.45741,-0.1134
2,700,0.1,53.5567,0.44574,-0.08817
2,700,0.1,70.3814,0.43934,-0.06803
2,700,0.1,92.4915,0.43552,-0.05247
2,700,0.1,121.5474,0.43286,-0.03986
2,700,0.1,159.7312,0.43162,-0.03033
2,700,0.1,209.9104,0.43085,-0.02306
2,700,0.1,275.8532,0.43052,-0.01766
2,700,0.1,362.5117,0.43009,-0.01344
2,700,0.1,476.3938,0.43025,-0.01028
2,700,0.1,626.0517,0.43003,-0.0078
2,700,0.1,822.7241,0.42989,-0.0056
2,700,0.1,1081.1808,0.43008,-0.00451
2,700,0.1,1420.8308,0.42986,-0.00358
2,700,0.1,1867.1811,0.42978,-0.00256
2,700,0.1,2453.7511,0.42997,-0.00184
2,700,0.1,3224.5905,0.42958,-0.00132
2,700,0.1,4237.5872,0.42978,-0.00135
2,700,0.1,5568.814,0.43007,-0.00059
2,700,0.1,7318.2422,0.42985,-0.00053
2,700,0.1,9617.2487,0.42995,-0.00023
2,700,0.1,12638.482,0.42994,-0.00065
2,700,0.1,16608.8278,0.4302,-8e-05
2,700,0.1,21826.4473,0.42969,-0.00043
2,700,0.1,28683.1681,0.4299,-0.00023
2,700,0.1,37693.9098,0.42986,2e-05
2,700,0.1,49535.3521,0.42968,-0.00032
2,700,0.1,65096.7523,0.42987,-0.00018
2,700,0.1,85546.7254,0.42983,-0.00033
2,700,0.1,112421.0035,0.42975,0.0001
2,700,0.1,147737.7653,0.42992,-0.00019
2,700,0.1,194149.1946,0.42956,-2e-05
2,700,0.1,255140.652,0.42991,6e-05
2,700,0.1,335292.4149,0.42969,4e-05
2,700,0.1,440623.6428,0.4301,3e-05
2,700,0.1,579044.3981,0.42947,3e-05
2,700,0.1,760949.6685,0.43021,-0.00026
2,700,0.1,1000000.0,0.4298,-5e-05
2,700,0.3,0.1,0.85239,-0.00424
2,700,0.3,0.1314,0.85256,-0.00561
2,700,0.3,0.1727,0.85254,-0.00742
2,700,0.3,0.227,0.85212,-0.00985
2,700,0.3,0.2982,0.85166,-0.01271
2,700,0.3,0.3919,0.85215,-0.01667
2,700,0.3,0.5151,0.8514,-0.02208
2,700,0.3,0.6769,0.85038,-0.02866
2,700,0.3,0.8895,0.8494,-0.03749
2,700,0.3,1.169,0.84672,-0.04937
2,700,0.3,1.5362,0.84245,-0.06439
2,700,0.3,2.0188,0.83514,-0.08322
2,700,0.3,2.6529,0.82393,-0.10603
2,700,0.3,3.4864,0.80521,-0.13276
2,700,0.3,4.5816,0.77739,-0.16167
2,700,0.3,6.0209,0.73767,-0.18798
2,700,0.3,7.9123,0.68688,-0.20608
2,700,0.3,10.398,0.62965,-0.21141
2,700,0.3,13.6645,0.57463,-0.20056
2,700,0.3,17.9571,0.52788,-0.17847
2,700,0.3,23.5983,0.4925,-0.15041
2,700,0.3,31.0117,0.46856,-0.12179
2,700,0.3,40.7539,0.45313,-0.09666
2,700,0.3,53.5567,0.44416,-0.07534
2,700,0.3,70.3814,0.43805,-0.05797
2,700,0.3,92.4915,0.4347,-0.04452
2,700,0.3,121.5474,0.4326,-0.03406
2,700,0.3,159.7312,0.43129,-0.02594
2,700,0.3,209.9104,0.43113,-0.01958
2,700,0.3,275.8532,0.4304,-0.01493
2,700,0.3,362.5117,0.42994,-0.01155
2,700,0.3,476.3938,0.43017,-0.00845
2,700,0.3,626.0517,0.42975,-0.00676
2,700,0.3,822.7241,0.43029,-0.00505
2,700,0.3,1081.1808,0.4302,-0.00382
2,700,0.3,1420.8308,0.42987,-0.003
2,700,0.3,1867.1811,0.43,-0.00196
2,700,0.3,2453.7511,0.4296,-0.00177
2,700,0.3,3224.5905,0.42998,-0.00132
2,700,0.3,4237.5872,0.4297,-0.00078
2,700,0.3,5568.814,0.43002,-0.00084
2,700,0.3,7318.2422,0.42984,-0.00081
2,700,0.3,9617.2487,0.42962,-0.00041
2,700,0.3,12638.482,0.4298,-0.00052
2,700,0.3,16608.8278,0.42965,-0.00046
2,700,0.3,21826.4473,0.42989,-0.00058
2,700,0.3,28683.1681,0.42959,-0.00052
2,700,0.3,37693.9098,0.42988,-0.00047
2,700,0.3,49535.3521,0.4298,0.00024
2,700,0.3,65096.7523,0.43013,-0.00043
2,700,0.3,85546.7254,0.42986,-0.00025
2,700,0.3,112421.0035,0.42956,-6e-05
2,700,0.3,147737.7653,0.43004,9e-05
2,700,0.3,194149.1946,0.42965,0.00012
2,700,0.3,255140.652,0.42935,-0.00017
2,700,0.3,335292.4149,0.42963,0.0
2,700,0.3,440623.6428,0.42976,-4e-05
2,700,0.3,579044.3981,0.42976,-0.0
2,700,0.3,760949.6685,0.4299,2e-05
2,700,0.3,1000000.0,0.42974,8e-05
2,700,0.5,0.1,0.79005,-0.00376
