cell,temperature_C,mode,current_density_A_cm2,voltage_V
1,600,SOFC,0.0,1.017
1,600,SOFC,0.05,0.595
1,600,SOFC,0.1,0.3769
1,600,SOFC,0.15,0.217
1,600,SOFC,0.2,0.0852
1,600,SOFC,0.25,-0.0312
1,600,SOFC,0.3,-0.1372
1,600,SOFC,0.35,-0.2362
1,600,SOFC,0.4,-0.328
1,600,SOFC,0.45,-0.4154
1,600,SOFC,0.5,-0.5068
1,600,SOFC,0.55,-0.5889
1,600,SOFC,0.6,-0.6714
1,600,SOFC,0.65,-0.7419
1,600,SOFC,0.7,-0.8205
1,600,SOFC,0.75,-0.895
1,600,SOFC,0.8,-0.9748
1,600,SOFC,0.85,-1.0381
1,600,SOFC,0.9,-1.1172
1,600,SOFC,0.95,-1.1858
1,600,SOFC,1.0,-1.254
1,600,SOEC,0.0,1.0407
1,600,SOEC,0.05,1.4637
1,600,SOEC,0.1,1.6814
1,600,SOEC,0.15,1.8486
1,600,SOEC,0.2,1.9733
1,600,SOEC,0.25,2.0937
1,600,SOEC,0.3,2.1985
1,600,SOEC,0.35,2.2947
1,600,SOEC,0.4,2.3837
1,600,SOEC,0.45,2.4788
1,600,SOEC,0.5,2.5565
1,600,SOEC,0.55,2.6485
1,600,SOEC,0.6,2.7247
1,600,SOEC,0.65,2.7945
1,600,SOEC,0.7,2.8782
1,600,SOEC,0.75,2.9564
1,600,SOEC,0.8,3.0278
1,600,SOEC,0.85,3.1035
1,600,SOEC,0.9,3.1707
1,600,SOEC,0.95,3.2404
1,600,SOEC,1.0,3.3143
1,650,SOFC,0.0,1.0013
1,650,SOFC,0.05,0.579
1,650,SOFC,0.1,0.3806
1,650,SOFC,0.15,0.2307
1,650,SOFC,0.2,0.1191
1,650,SOFC,0.25,0.0199
1,650,SOFC,0.3,-0.0724
1,650,SOFC,0.35,-0.1513
1,650,SOFC,0.4,-0.2211
1,650,SOFC,0.45,-0.2844
1,650,SOFC,0.5,-0.3543
1,650,SOFC,0.55,-0.4239
1,650,SOFC,0.6,-0.4883
1,650,SOFC,0.65,-0.535
1,650,SOFC,0.7,-0.5939
1,650,SOFC,0.75,-0.645
1,650,SOFC,0.8,-0.7046
1,650,SOFC,0.85,-0.7533
1,650,SOFC,0.9,-0.8031
1,650,SOFC,0.95,-0.8573
1,650,SOFC,1.0,-0.9068
1,650,SOEC,0.0,1.0323
1,650,SOEC,0.05,1.455
1,650,SOEC,0.1,1.6565
1,650,SOEC,0.15,1.8031
1,650,SOEC,0.2,1.9139
1,650,SOEC,0.25,2.0098
1,650,SOEC,0.3,2.1071
1,650,SOEC,0.35,2.179
1,650,SOEC,0.4,2.2528
1,650,SOEC,0.45,2.3236
1,650,SOEC,0.5,2.3896
1,650,SOEC,0.55,2.451
1,650,SOEC,0.6,2.5123
1,650,SOEC,0.65,2.5705
1,650,SOEC,0.7,2.6275
1,650,SOEC,0.75,2.6748
1,650,SOEC,0.8,2.741
1,650,SOEC,0.85,2.7873
1,650,SOEC,0.9,2.8408
1,650,SOEC,0.95,2.8853
1,650,SOEC,1.0,2.9375
1,700,SOFC,0.0,0.9861
1,700,SOFC,0.05,0.5624
1,700,SOFC,0.1,0.3559
1,700,SOFC,0.15,0.2225
1,700,SOFC,0.2,0.1107
1,700,SOFC,0.25,0.0214
1,700,SOFC,0.3,-0.0562
1,700,SOFC,0.35,-0.1217
1,700,SOFC,0.4,-0.1951
1,700,SOFC,0.45,-0.2525
1,700,SOFC,0.5,-0.3098
1,700,SOFC,0.55,-0.3594
1,700,SOFC,0.6,-0.4082
1,700,SOFC,0.65,-0.4581
1,700,SOFC,0.7,-0.501
1,700,SOFC,0.75,-0.5489
1,700,SOFC,0.8,-0.5884
1,700,SOFC,0.85,-0.6231
1,700,SOFC,0.9,-0.6657
1,700,SOFC,0.95,-0.7056
1,700,SOFC,1.0,-0.7475
1,700,SOEC,0.0,1.0162
1,700,SOEC,0.05,1.4475
1,700,SOEC,0.1,1.6511
1,700,SOEC,0.15,1.7913
1,700,SOEC,0.2,1.899
1,700,SOEC,0.25,1.988
1,700,SOEC,0.3,2.0622
1,700,SOEC,0.35,2.1346
1,700,SOEC,0.4,2.1974
1,700,SOEC,0.45,2.2569
1,700,SOEC,0.5,2.319
1,700,SOEC,0.55,2.3598
1,700,SOEC,0.6,2.414
1,700,SOEC,0.65,2.4658
1,700,SOEC,0.7,2.5034
1,700,SOEC,0.75,2.5498
1,700,SOEC,0.8,2.5927
1,700,SOEC,0.85,2.635
1,700,SOEC,0.9,2.6711
1,700,SOEC,0.95,2.7169
1,700,SOEC,1.0,2.7554
1,750,SOFC,0.0,0.9765
1,750,SOFC,0.05,0.5284
1,750,SOFC,0.1,0.3289
1,750,SOFC,0.15,0.1896
1,750,SOFC,0.2,0.0865
1,750,SOFC,0.25,0.0076
1,750,SOFC,0.3,-0.0726
1,750,SOFC,0.35,-0.1419
1,750,SOFC,0.4,-0.1968
1,750,SOFC,0.45,-0.2553
1,750,SOFC,0.5,-0.3048
1,750,SOFC,0.55,-0.3511
1,750,SOFC,0.6,-0.3933
1,750,SOFC,0.65,-0.4308
1,750,SOFC,0.7,-0.4716
1,750,SOFC,0.75,-0.5098
1,750,SOFC,0.8,-0.5512
1,750,SOFC,0.85,-0.5848
1,750,SOFC,0.9,-0.6164
1,750,SOFC,0.95,-0.6521
1,750,SOFC,1.0,-0.6831
1,750,SOEC,0.0,1.0107
1,750,SOEC,0.05,1.4523
1,750,SOEC,0.1,1.6565
1,750,SOEC,0.15,1.7969
1,750,SOEC,0.2,1.8964
1,750,SOEC,0.25,1.9868
1,750,SOEC,0.3,2.059
1,750,SOEC,0.35,2.1184
1,750,SOEC,0.4,2.1785
1,750,SOEC,0.45,2.2332
1,750,SOEC,0.5,2.2831
