time_s,phase,current_density_A_cm2,voltage_V,temperature_C,degradation_factor
0,SOFC,0.5,-0.302,740.0,1.0
30,SOFC,0.5,-0.3014,740.17,1.0
60,SOFC,0.5,-0.3017,740.35,0.99999
90,SOFC,0.5,-0.2966,740.52,0.99999
120,SOFC,0.5,-0.2981,740.7,0.99999
150,SOFC,0.5,-0.301,740.87,0.99999
180,SOFC,0.5,-0.3004,741.05,0.99998
210,SOFC,0.5,-0.3009,741.22,0.99998
240,SOFC,0.5,-0.3011,741.4,0.99998
270,SOFC,0.5,-0.2984,741.57,0.99997
300,SOFC,0.5,-0.3,741.74,0.99997
330,SOFC,0.5,-0.2953,741.92,0.99997
360,SOFC,0.5,-0.2969,742.09,0.99996
390,SOFC,0.5,-0.2969,742.27,0.99996
420,SOFC,0.5,-0.2982,742.44,0.99996
450,SOFC,0.5,-0.3004,742.62,0.99996
480,SOFC,0.5,-0.2984,742.79,0.99995
510,SOFC,0.5,-0.3003,742.96,0.99995
540,SOFC,0.5,-0.2964,743.14,0.99995
570,SOFC,0.5,-0.2989,743.31,0.99994
600,SOFC,0.5,-0.2992,743.49,0.99994
630,SOFC,0.5,-0.2995,743.66,0.99994
660,SOFC,0.5,-0.2963,743.83,0.99993
690,SOFC,0.5,-0.3027,744.01,0.99993
720,SOFC,0.5,-0.2962,744.18,0.99993
750,SOFC,0.5,-0.3002,744.35,0.99992
780,SOFC,0.5,-0.3027,744.53,0.99992
810,SOFC,0.5,-0.3014,744.7,0.99992
840,SOFC,0.5,-0.3033,744.87,0.99992
870,SOFC,0.5,-0.2987,745.05,0.99991
900,SOFC,0.5,-0.3021,745.22,0.99991
930,SOFC,0.5,-0.2998,745.39,0.99991
960,SOFC,0.5,-0.2979,745.57,0.9999
990,SOFC,0.5,-0.3015,745.74,0.9999
1020,SOFC,0.5,-0.3007,745.91,0.9999
1050,SOFC,0.5,-0.3028,746.08,0.99989
1080,SOFC,0.5,-0.3011,746.26,0.99989
1110,SOFC,0.5,-0.2952,746.43,0.99989
1140,SOFC,0.5,-0.2988,746.6,0.99989
1170,SOFC,0.5,-0.3009,746.77,0.99988
1200,SOFC,0.5,-0.3017,746.95,0.99988
1230,SOFC,0.5,-0.3006,747.12,0.99988
1260,SOFC,0.5,-0.3003,747.29,0.99987
1290,SOFC,0.5,-0.3014,747.46,0.99987
1320,SOFC,0.5,-0.2995,747.63,0.99987
1350,SOFC,0.5,-0.3025,747.8,0.99987
1380,SOFC,0.5,-0.3026,747.97,0.99986
1410,SOFC,0.5,-0.3,748.15,0.99986
1440,SOFC,0.5,-0.3031,748.32,0.99986
1470,SOFC,0.5,-0.2993,748.49,0.99985
1500,SOFC,0.5,-0.3009,748.66,0.99985
1530,SOFC,0.5,-0.3045,748.83,0.99985
1560,SOFC,0.5,-0.3007,749.0,0.99984
1590,SOFC,0.5,-0.3043,749.17,0.99984
1620,SOFC,0.5,-0.2996,749.34,0.99984
1650,SOFC,0.5,-0.3016,749.51,0.99984
1680,SOFC,0.5,-0.2974,749.68,0.99983
1710,SOFC,0.5,-0.299,749.85,0.99983
1740,SOFC,0.5,-0.3033,750.02,0.99983
1770,SOFC,0.5,-0.3053,750.18,0.99982
1800,OCV,0.0,0.9732,750.35,0.99982
