temperature_C,youngs_modulus_Pa,youngs_modulus_GPa,poissons_ratio
25.0,55000000000.0,55.0,0.29
30.0,54850000000.0,54.85,0.29
35.0,54700000000.0,54.7,0.29
40.0,54550000000.0,54.55,0.29
45.0,54400000000.0,54.4,0.29
50.0,54250000000.0,54.25,0.29
55.0,54100000000.0,54.1,0.29
60.0,53950000000.0,53.95,0.29
65.0,53800000000.0,53.8,0.29
70.0,53650000000.0,53.65,0.29
75.0,53500000000.0,53.5,0.29
80.0,53350000000.0,53.35,0.29
85.0,53200000000.0,53.2,0.29
90.0,53050000000.0,53.05,0.29
95.0,52900000000.0,52.9,0.29
100.0,52750000000.0,52.75,0.29
105.0,52600000000.0,52.6,0.29
110.0,52450000000.0,52.45,0.29
115.0,52300000000.0,52.3,0.29
120.0,52150000000.0,52.15,0.29
125.0,52000000000.0,52.0,0.29
130.0,51850000000.0,51.85,0.29
135.0,51700000000.0,51.7,0.29
140.0,51550000000.0,51.55,0.29
145.0,51400000000.0,51.4,0.29
150.0,51250000000.0,51.25,0.29
155.0,51100000000.0,51.1,0.29
160.0,50950000000.0,50.95,0.29
165.0,50800000000.0,50.8,0.29
170.0,50650000000.0,50.65,0.29
175.0,50500000000.0,50.5,0.29
180.0,50350000000.0,50.35,0.29
185.0,50200000000.0,50.2,0.29
190.0,50050000000.0,50.05,0.29
195.0,49900000000.0,49.9,0.29
200.0,49750000000.0,49.75,0.29
205.0,49600000000.0,49.6,0.29
210.0,49450000000.0,49.45,0.29
215.0,49300000000.0,49.3,0.29
220.0,49150000000.0,49.15,0.29
225.0,49000000000.0,49.0,0.29
230.0,48850000000.0,48.85,0.29
235.0,48700000000.0,48.7,0.29
240.0,48550000000.0,48.55,0.29
245.0,48400000000.0,48.4,0.29
250.0,48250000000.0,48.25,0.29
255.0,48100000000.0,48.1,0.29
260.0,47950000000.0,47.95,0.29
265.0,47800000000.0,47.8,0.29
270.0,47650000000.0,47.65,0.29
275.0,47500000000.0,47.5,0.29
280.0,47350000000.0,47.35,0.29
285.0,47200000000.0,47.2,0.29
290.0,47050000000.0,47.05,0.29
295.0,46900000000.0,46.9,0.29
300.0,46750000000.0,46.75,0.29
305.0,46600000000.0,46.6,0.29
310.0,46450000000.0,46.45,0.29
315.0,46300000000.0,46.3,0.29
320.0,46150000000.0,46.15,0.29
325.0,46000000000.0,46.0,0.29
330.0,45850000000.0,45.85,0.29
335.0,45700000000.0,45.7,0.29
340.0,45550000000.0,45.55,0.29
345.0,45400000000.0,45.4,0.29
350.0,45250000000.0,45.25,0.29
355.0,45100000000.0,45.1,0.29
360.0,44950000000.0,44.95,0.29
365.0,44800000000.0,44.8,0.29
370.0,44650000000.0,44.65,0.29
375.0,44500000000.0,44.5,0.29
380.0,44350000000.0,44.35,0.29
385.0,44200000000.0,44.2,0.29
390.0,44050000000.0,44.05,0.29
395.0,43900000000.0,43.9,0.29
400.0,43750000000.0,43.75,0.29
405.0,43600000000.0,43.6,0.29
410.0,43450000000.0,43.45,0.29
415.0,43300000000.0,43.3,0.29
420.0,43150000000.0,43.15,0.29
425.0,43000000000.0,43.0,0.29
430.0,42850000000.0,42.85,0.29
435.0,42700000000.0,42.7,0.29
440.0,42550000000.0,42.55,0.29
445.0,42400000000.0,42.4,0.29
450.0,42250000000.0,42.25,0.29
455.0,42100000000.0,42.1,0.29
460.0,41950000000.0,41.95,0.29
465.0,41800000000.0,41.8,0.29
470.0,41650000000.0,41.65,0.29
475.0,41500000000.0,41.5,0.29
480.0,41350000000.0,41.35,0.29
485.0,41200000000.0,41.2,0.29
490.0,41050000000.0,41.05,0.29
495.0,40900000000.0,40.9,0.29
500.0,40750000000.0,40.75,0.29
505.0,40600000000.0,40.6,0.29
510.0,40450000000.0,40.45,0.29
515.0,40300000000.0,40.3,0.29
520.0,40150000000.0,40.15,0.29
525.0,40000000000.0,40.0,0.29
530.0,39850000000.0,39.85,0.29
535.0,39700000000.0,39.7,0.29
540.0,39550000000.0,39.55,0.29
545.0,39400000000.0,39.4,0.29
550.0,39250000000.0,39.25,0.29
555.0,39100000000.0,39.1,0.29
560.0,38950000000.0,38.95,0.29
565.0,38800000000.0,38.8,0.29
570.0,38650000000.0,38.65,0.29
575.0,38500000000.0,38.5,0.29
580.0,38350000000.0,38.35,0.29
585.0,38200000000.0,38.2,0.29
590.0,38050000000.0,38.05,0.29
595.0,37900000000.0,37.9,0.29
600.0,37750000000.0,37.75,0.29
605.0,37600000000.0,37.6,0.29
610.0,37450000000.0,37.45,0.29
615.0,37300000000.0,37.3,0.29
620.0,37150000000.0,37.15,0.29
625.0,37000000000.0,37.0,0.29
630.0,36850000000.0,36.85,0.29
635.0,36700000000.0,36.7,0.29
640.0,36550000000.0,36.55,0.29
645.0,36400000000.0,36.4,0.29
650.0,36250000000.0,36.25,0.29
655.0,36100000000.0,36.1,0.29
660.0,35950000000.0,35.95,0.29
665.0,35800000000.0,35.8,0.29
670.0,35650000000.0,35.65,0.29
675.0,35500000000.0,35.5,0.29
680.0,35350000000.0,35.35,0.29
685.0,35200000000.0,35.2,0.29
690.0,35050000000.0,35.05,0.29
695.0,34900000000.0,34.9,0.29
700.0,34750000000.0,34.75,0.29
705.0,34600000000.0,34.6,0.29
710.0,34450000000.0,34.45,0.29
715.0,34300000000.0,34.3,0.29
720.0,34150000000.0,34.15,0.29
725.0,34000000000.0,34.0,0.29
730.0,33850000000.0,33.85,0.29
735.0,33700000000.0,33.7,0.29
740.0,33550000000.0,33.55,0.29
745.0,33400000000.0,33.4,0.29
750.0,33250000000.0,33.25,0.29
755.0,33100000000.0,33.1,0.29
760.0,32950000000.0,32.95,0.29
765.0,32800000000.0,32.8,0.29
770.0,32650000000.0,32.65,0.29
775.0,32500000000.0,32.5,0.29
780.0,32350000000.0,32.35,0.29
785.0,32200000000.0,32.2,0.29
790.0,32050000000.0,32.05,0.29
795.0,31900000000.0,31.9,0.29
800.0,31750000000.0,31.75,0.29
805.0,31600000000.0,31.6,0.29
810.0,31450000000.0,31.45,0.29
815.0,31300000000.0,31.3,0.29
820.0,31150000000.0,31.15,0.29
825.0,31000000000.0,31.0,0.29
830.0,30850000000.0,30.85,0.29
835.0,30700000000.0,30.7,0.29
840.0,30550000000.0,30.55,0.29
845.0,30400000000.0,30.4,0.29
850.0,30250000000.0,30.25,0.29
855.0,30100000000.0,30.1,0.29
860.0,29950000000.0,29.95,0.29
865.0,29800000000.0,29.8,0.29
870.0,29650000000.0,29.65,0.29
875.0,29500000000.0,29.5,0.29
880.0,29350000000.0,29.35,0.29
885.0,29200000000.0,29.2,0.29
890.0,29050000000.0,29.05,0.29
895.0,28900000000.0,28.9,0.29
900.0,28750000000.0,28.75,0.29
905.0,28600000000.0,28.6,0.29
910.0,28450000000.0,28.45,0.29
915.0,28300000000.0,28.3,0.29
920.0,28150000000.0,28.15,0.29
925.0,28000000000.0,28.0,0.29
930.0,27850000000.0,27.85,0.29
935.0,27700000000.0,27.7,0.29
940.0,27550000000.0,27.55,0.29
