temperature_C,youngs_modulus_Pa,youngs_modulus_GPa,poissons_ratio
25.0,45000000000.0,45.0,0.25
30.0,44960000000.0,44.96,0.25
35.0,44920000000.0,44.92,0.25
40.0,44880000000.0,44.88,0.25
45.0,44840000000.0,44.84,0.25
50.0,44800000000.0,44.8,0.25
55.0,44760000000.0,44.76,0.25
60.0,44720000000.0,44.72,0.25
65.0,44680000000.0,44.68,0.25
70.0,44640000000.0,44.64,0.25
75.0,44600000000.0,44.6,0.25
80.0,44560000000.0,44.56,0.25
85.0,44520000000.0,44.52,0.25
90.0,44480000000.0,44.48,0.25
95.0,44440000000.0,44.44,0.25
100.0,44400000000.0,44.4,0.25
105.0,44360000000.0,44.36,0.25
110.0,44320000000.0,44.32,0.25
115.0,44280000000.0,44.28,0.25
120.0,44240000000.0,44.24,0.25
125.0,44200000000.0,44.2,0.25
130.0,44160000000.0,44.16,0.25
135.0,44120000000.0,44.12,0.25
140.0,44080000000.0,44.08,0.25
145.0,44040000000.0,44.04,0.25
150.0,44000000000.0,44.0,0.25
155.0,43960000000.0,43.96,0.25
160.0,43920000000.0,43.92,0.25
165.0,43880000000.0,43.88,0.25
170.0,43840000000.0,43.84,0.25
175.0,43800000000.0,43.8,0.25
180.0,43760000000.0,43.76,0.25
185.0,43720000000.0,43.72,0.25
190.0,43680000000.0,43.68,0.25
195.0,43640000000.0,43.64,0.25
200.0,43600000000.0,43.6,0.25
205.0,43560000000.0,43.56,0.25
210.0,43520000000.0,43.52,0.25
215.0,43480000000.0,43.48,0.25
220.0,43440000000.0,43.44,0.25
225.0,43400000000.0,43.4,0.25
230.0,43360000000.0,43.36,0.25
235.0,43320000000.0,43.32,0.25
240.0,43280000000.0,43.28,0.25
245.0,43240000000.0,43.24,0.25
250.0,43200000000.0,43.2,0.25
255.0,43160000000.0,43.16,0.25
260.0,43120000000.0,43.12,0.25
265.0,43080000000.0,43.08,0.25
270.0,43040000000.0,43.04,0.25
275.0,43000000000.0,43.0,0.25
280.0,42960000000.0,42.96,0.25
285.0,42920000000.0,42.92,0.25
290.0,42880000000.0,42.88,0.25
295.0,42840000000.0,42.84,0.25
300.0,42800000000.0,42.8,0.25
