temperature_C,cte_per_K,thermal_strain
25.0,1.25e-05,6.25e-05
30.0,1.2502909090909092e-05,0.00012501454545454547
35.0,1.2505818181818183e-05,0.0001875436363636364
40.0,1.2508727272727274e-05,0.00025008727272727275
45.0,1.2511636363636364e-05,0.0003126454545454546
50.0,1.2514545454545455e-05,0.0003752181818181819
55.0,1.2517454545454546e-05,0.0004378054545454546
60.0,1.2520363636363637e-05,0.0005004072727272728
65.0,1.2523272727272728e-05,0.0005630236363636364
70.0,1.252618181818182e-05,0.0006256545454545456
75.0,1.252909090909091e-05,0.0006883000000000002
80.0,1.2532000000000001e-05,0.0007509600000000002
85.0,1.2534909090909092e-05,0.0008136345454545456
90.0,1.2537818181818183e-05,0.0008763236363636366
95.0,1.2540727272727273e-05,0.0009390272727272729
100.0,1.2543636363636364e-05,0.0010017454545454547
105.0,1.2546545454545454e-05,0.001064478181818182
110.0,1.2549454545454545e-05,0.0011272254545454548
115.0,1.2552363636363636e-05,0.0011899872727272728
120.0,1.2555272727272727e-05,0.0012527636363636365
125.0,1.2558181818181818e-05,0.0013155545454545455
130.0,1.256109090909091e-05,0.0013783600000000001
135.0,1.2564e-05,0.0014411800000000002
140.0,1.2566909090909091e-05,0.0015040145454545456
145.0,1.2569818181818182e-05,0.0015668636363636366
150.0,1.2572727272727273e-05,0.0016297272727272727
155.0,1.2575636363636364e-05,0.0016926054545454545
160.0,1.2578545454545455e-05,0.001755498181818182
165.0,1.2581454545454546e-05,0.0018184054545454546
170.0,1.2584363636363637e-05,0.001881327272727273
175.0,1.2587272727272728e-05,0.0019442636363636366
180.0,1.2590181818181819e-05,0.0020072145454545455
185.0,1.259309090909091e-05,0.00207018
190.0,1.2596000000000001e-05,0.0021331600000000003
195.0,1.2598909090909092e-05,0.0021961545454545458
200.0,1.2601818181818183e-05,0.0022591636363636365
205.0,1.2604727272727274e-05,0.002322187272727273
210.0,1.2607636363636365e-05,0.0023852254545454546
215.0,1.2610545454545456e-05,0.0024482781818181824
220.0,1.2613454545454547e-05,0.002511345454545455
