liquid_height_ratio,liquid_height_mm,gas_void_fraction,frequency_Hz,sound_speed_measured_m_s,sound_speed_wood_m_s,phase_velocity_m_s,attenuation_dB_m,temperature_C,pressure_bar,pipe_diameter_mm,measurement_uncertainty_m_s,paper
0.1,7.800000000000001,0.9479559806690862,500,48.863543937396194,52.97058245146128,50.40897192153413,0.3325675404822876,20,1.0,78.0,1.501100588284425,Li_2022
0.1,7.800000000000001,0.9479559806690862,1000,53.74630498953878,52.97058245146128,51.32814527585501,1.0901987357299598,20,1.0,78.0,1.5163989163535645,Li_2022
0.1,7.800000000000001,0.9479559806690862,2000,51.24820310095738,52.97058245146128,52.31438233879796,3.660555087830778,20,1.0,78.0,1.5316972444227037,Li_2022
0.1,7.800000000000001,0.9479559806690862,5000,52.24485881959611,52.97058245146128,53.77210961569526,18.552387473596223,20,1.0,78.0,1.5519205341021032,Li_2022
0.1,7.800000000000001,0.9479559806690862,10000,54.1299553915396,52.97058245146128,55.04836429173936,63.92447843177372,20,1.0,78.0,1.5672188621712428,Li_2022
0.15000000000000002,11.700000000000003,0.9059397978129063,500,38.184799797029356,40.51026426361265,38.08785338084457,0.38133592977478115,20,1.0,78.0,1.2564084521582126,Li_2022
0.15000000000000002,11.700000000000003,0.9059397978129063,1000,39.81415114080754,40.51026426361265,38.78235950974256,1.1545800291810848,20,1.0,78.0,1.2679675150444072,Li_2022
0.15000000000000002,11.700000000000003,0.9059397978129063,2000,38.23864000711733,40.51026426361265,39.52753742589997,3.6738635696944684,20,1.0,78.0,1.279526577930602,Li_2022
0.15000000000000002,11.700000000000003,0.9059397978129063,5000,40.634834105730405,40.51026426361265,40.62896244361599,17.85236919538995,20,1.0,78.0,1.2948068279104326,Li_2022
0.15000000000000002,11.700000000000003,0.9059397978129063,10000,39.37602466444999,40.51026426361265,41.593270961025354,60.43247218985975,20,1.0,78.0,1.3063658907966276,Li_2022
0.2,15.600000000000001,0.857621510067353,500,30.84779887783515,33.914081314922534,31.38800509889917,0.5034366387133521,20,1.0,78.0,1.1233523353440806,Li_2022
0.2,15.600000000000001,0.857621510067353,1000,31.923397553873144,33.914081314922534,31.96034404636084,1.3625107773395286,20,1.0,78.0,1.1328780999279375,Li_2022
0.2,15.600000000000001,0.857621510067353,2000,34.180526371835235,33.914081314922534,32.57444135444644,3.963423258192396,20,1.0,78.0,1.1424038645117942,Li_2022
0.2,15.600000000000001,0.857621510067353,5000,32.40193099093515,33.914081314922534,33.48212007622793,17.774081371751343,20,1.0,78.0,1.1549962403404774,Li_2022
0.2,15.600000000000001,0.857621510067353,10000,31.994845177455744,33.914081314922534,34.27680179164798,57.987371997759766,20,1.0,78.0,1.1645220049243343,Li_2022
0.25,19.5,0.8044988905221148,500,26.921154793258694,29.916235783674477,27.12375789268159,0.7386106232272729,20,1.0,78.0,1.0386662125368231,Li_2022
0.25,19.5,0.8044988905221148,1000,26.950351769181193,29.916235783674477,27.61834118953619,1.7952754006068026,20,1.0,78.0,1.0468978453373503,Li_2022
0.25,19.5,0.8044988905221148,2000,28.670981043148608,29.916235783674477,28.149009725321715,4.698079693437283,20,1.0,78.0,1.0551294781378773,Li_2022
0.25,19.5,0.8044988905221148,5000,28.91698818407002,29.916235783674477,28.933374893364938,18.77950336999492,20,1.0,78.0,1.0660111048036907,Li_2022
0.25,19.5,0.8044988905221148,10000,27.671363633926727,29.916235783674477,29.62009437053077,57.626867190470044,20,1.0,78.0,1.0742427376042178,Li_2022
0.30000000000000004,23.400000000000006,0.7476842122656544,500,23.202547325457157,27.334497762348896,24.121103478568287,1.1089557549704279,20,1.0,78.0,0.9790347821425933,Li_2022
0.30000000000000004,23.400000000000006,0.7476842122656544,1000,25.686551601510864,27.334497762348896,24.560935412233356,2.498428887128525,20,1.0,78.0,0.9863551566778883,Li_2022
0.30000000000000004,23.400000000000006,0.7476842122656544,2000,25.06584232687669,27.334497762348896,25.032857876485874,5.973676017157356,20,1.0,78.0,0.9936755312131832,Li_2022
0.30000000000000004,23.400000000000006,0.7476842122656544,5000,24.78685001915718,27.334497762348896,25.73039224684169,21.13830503690526,20,1.0,78.0,1.0033525399764875,Li_2022
0.30000000000000004,23.400000000000006,0.7476842122656544,10000,26.716282525623882,27.334497762348896,26.34109050019598,59.97606001289856,20,1.0,78.0,1.0106729145117828,Li_2022
0.35,27.299999999999997,0.6880811676094636,500,21.345738948448705,25.638775912935884,21.827550362267605,1.5891389646933378,20,1.0,78.0,0.9334857997597701,Li_2022
0.35,27.299999999999997,0.6880811676094636,1000,19.91930569396545,25.638775912935884,22.2255609131339,3.422369816873417,20,1.0,78.0,0.9401101170917604,Li_2022
0.35,27.299999999999997,0.6880811676094636,2000,21.372847759961452,25.638775912935884,22.652610669158108,7.6947169543372205,20,1.0,78.0,0.9467344344237507,Li_2022
0.35,27.299999999999997,0.6880811676094636,5000,22.97281269787108,25.638775912935884,23.28382004197482,24.63529622990266,20,1.0,78.0,0.955491305614358,Li_2022
0.35,27.299999999999997,0.6880811676094636,10000,23.537296402998376,25.638775912935884,23.83645010274644,64.67174937358456,20,1.0,78.0,0.9621156229463484,Li_2022
0.4,31.200000000000003,0.6264699609476689,500,18.45109629618902,24.561833167158685,19.93009576634694,2.0884252800944956,20,1.0,78.0,0.8958031643119382,Li_2022
0.4,31.200000000000003,0.6264699609476689,1000,21.19237657860871,24.561833167158685,20.293507521817865,4.386468527326799,20,1.0,78.0,0.9018516340954033,Li_2022
0.4,31.200000000000003,0.6264699609476689,2000,19.413205551056823,24.561833167158685,20.68343412344287,9.502869212128825,20,1.0,78.0,0.9079001038788684,Li_2022
