Temperature_C,Rubber_Content_%,Age_days,Measurement_ID,ITZ_Rubber_Cement_um,ITZ_Aggregate_Cement_um,Porosity_Rubber_ITZ,Porosity_Aggregate_ITZ,Ca_Si_Ratio_Rubber_ITZ,Ca_Si_Ratio_Aggregate_ITZ,Microhardness_Rubber_ITZ_HV,Microhardness_Aggregate_ITZ_HV,Timestamp
20,0,28,SEM_20_0_28_1,12.761526094618404,7.274042813134529,0.2609851959614634,0.19904798793894757,1.6504895238464246,1.7784724629618356,39.3609799167432,47.14652041147246,2025-10-18T18:00:14.295044
20,0,28,SEM_20_0_28_2,15.79118515605282,10.619992778118396,0.25106904452147943,0.17882901796672857,1.7117749964258502,1.7890248420564134,39.688500094493826,50.07780401939874,2025-10-18T18:00:14.295067
20,0,28,SEM_20_0_28_3,15.230376820891166,11.557860875284362,0.26312075719069566,0.2208767004181413,1.6990736278025116,1.789358790319866,42.74003952575383,48.4022400511463,2025-10-18T18:00:14.295077
20,0,28,SEM_20_0_28_4,14.01998913258801,12.159631714159152,0.27011267797139854,0.2093597175105676,1.7782266911432316,1.8279249999755995,41.01894812698379,44.715043159143924,2025-10-18T18:00:14.295084
20,0,28,SEM_20_0_28_5,10.271750970007657,10.064328785863102,0.26473375072718897,0.21319037019736303,1.5638023376821033,1.758297187778848,44.371574845915035,49.945532780914526,2025-10-18T18:00:14.295092
20,0,28,SEM_20_0_28_6,14.250287685656804,7.503418209185652,0.28315277871508465,0.20789120382884466,1.582665014482536,1.621176185432523,38.984973120501294,51.86155273520505,2025-10-18T18:00:14.295100
20,0,28,SEM_20_0_28_7,18.17821933261259,8.940509925928188,0.29392341707891384,0.22626172515900342,1.6184982077726542,1.7822129177972206,38.81765488968293,49.42897510864068,2025-10-18T18:00:14.295107
20,0,28,SEM_20_0_28_8,13.109988582883062,10.719060848286524,0.289775353688738,0.2008350479515465,1.6789612547358634,1.6826659621257964,39.61233233722814,50.44797365920147,2025-10-18T18:00:14.295113
20,0,28,SEM_20_0_28_9,11.587460657311642,11.957146585814197,0.28149226722347676,0.20439159598225276,1.7988077819368282,2.111611357726454,38.08017614937309,48.58599771179563,2025-10-18T18:00:14.295120
20,0,28,SEM_20_0_28_10,13.695905056222935,9.711792388007169,0.2777721469007529,0.21358377641349915,1.6879991194231612,1.9404593888985437,39.95439628707933,49.00411534444638,2025-10-18T18:00:14.295127
20,0,28,SEM_20_0_28_11,14.678182636048383,10.613470550052009,0.253681485016061,0.22562462722086973,1.6934562643142388,1.7296827134616444,40.90202720105669,48.73202587624101,2025-10-18T18:00:14.295134
20,0,28,SEM_20_0_28_12,16.85373778133493,8.66915938847022,0.24537484279432,0.22373644592249364,1.5813323776681123,1.9163161334137426,37.54219329917425,50.93881219357046,2025-10-18T18:00:14.295141
20,0,28,SEM_20_0_28_13,12.90886666820209,10.533487828408866,0.2576893325564996,0.19545842436974523,1.7392414895498,1.7673504863339322,42.896270356301905,52.323707259374444,2025-10-18T18:00:14.295154
