temperature,rubber_content,specimen_type,original_diameter_um,current_diameter_um,diameter_change_percent,original_aspect_ratio,current_aspect_ratio,surface_roughness_um,pore_density_per_mm2,mean_pore_size_um,volatile_loss_fraction,carbon_residue_fraction,interface_bonding_strength_mpa,thermal_expansion_strain,softening_factor,pyrolysis_degree,degradation_mechanism,specimen_id,analysis_method,measurement_precision
20,5,control,1580.6130015657002,1580.6130015657002,0.0,0.9193980364193424,0.9193980364193424,0.1,0.0,0.0,0.0,1.0,0.75,0.0,1.0,0.0,thermal_expansion,RD_5_20_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
20,10,control,2205.618866432651,2205.618866432651,0.0,1.0819601056080816,1.0819601056080816,0.1,0.0,0.0,0.0,1.0,0.7000000000000001,0.0,1.0,0.0,thermal_expansion,RD_10_20_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
20,15,control,1698.5638983260126,1698.5638983260126,0.0,1.4315780357487982,1.4315780357487982,0.1,0.0,0.0,0.0,1.0,0.65,0.0,1.0,0.0,thermal_expansion,RD_15_20_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
20,20,control,2485.4618303316856,2485.4618303316856,0.0,1.3747342905946482,1.3747342905946482,0.1,0.0,0.0,0.0,1.0,0.6000000000000001,0.0,1.0,0.0,thermal_expansion,RD_20_20_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
20,25,control,1961.8105562621745,1961.8105562621745,0.0,1.456169821114232,1.456169821114232,0.1,0.0,0.0,0.0,1.0,0.55,0.0,1.0,0.0,thermal_expansion,RD_25_20_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,5,control,1023.8452888381258,1040.2268134595358,1.5999999999999983,1.4842164005249245,1.496090131729124,0.18,0.0,0.0,0.0,1.0,0.75,0.016,1.0,0.0,thermal_expansion,RD_5_100_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,5,heated,2186.9781154573157,2221.969765304633,1.6000000000000045,0.9312027835906493,0.9386524058593746,0.18,0.0,0.0,0.0,1.0,0.75,0.016,1.0,0.0,thermal_expansion,RD_5_100_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,10,control,1791.169543412578,1819.8282561071792,1.600000000000001,1.2341386163781114,1.2440117253091363,0.18,0.0,0.0,0.0,1.0,0.7000000000000001,0.016,1.0,0.0,thermal_expansion,RD_10_100_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,10,heated,1863.3948334592128,1893.2091507945602,1.5999999999999979,1.1592405944664599,1.1685145192221915,0.18,0.0,0.0,0.0,1.0,0.7000000000000001,0.016,1.0,0.0,thermal_expansion,RD_10_100_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,15,control,2254.4567221693455,2290.528029724055,1.600000000000004,1.4426120938721008,1.4541529906230777,0.18,0.0,0.0,0.0,1.0,0.65,0.016,1.0,0.0,thermal_expansion,RD_15_100_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,15,heated,2444.7356400049407,2483.85141024502,1.6000000000000059,1.162586327058203,1.1718870176746687,0.18,0.0,0.0,0.0,1.0,0.65,0.016,1.0,0.0,thermal_expansion,RD_15_100_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,20,control,1284.8726661979151,1305.4306288570817,1.5999999999999972,1.2522730207507475,1.2622912049167536,0.18,0.0,0.0,0.0,1.0,0.6000000000000001,0.016,1.0,0.0,thermal_expansion,RD_20_100_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,20,heated,2010.4802090640658,2042.647892409091,1.6000000000000034,1.6152254026774833,1.628147205898903,0.18,0.0,0.0,0.0,1.0,0.6000000000000001,0.016,1.0,0.0,thermal_expansion,RD_20_100_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,25,control,1772.0771939333265,1800.4304290362597,1.600000000000001,0.9259697537799969,0.9333775118102369,0.18,0.0,0.0,0.0,1.0,0.55,0.016,1.0,0.0,thermal_expansion,RD_25_100_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
100,25,heated,2566.98156232536,2608.0532673225657,1.6000000000000045,1.1697026453760815,1.1790602665390901,0.18,0.0,0.0,0.0,1.0,0.55,0.016,1.0,0.0,thermal_expansion,RD_25_100_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,5,control,2603.3020488017255,2697.0209225585877,3.600000000000003,1.4299814887275466,1.4557211555246425,0.28,0.0,0.0,0.0,1.0,0.75,0.036,1.0,0.0,elastic_deformation,RD_5_200_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,5,heated,2956.363094197174,3062.7921655882724,3.599999999999998,1.0652336890526073,1.0844078954555543,0.28,0.0,0.0,0.0,1.0,0.75,0.036,1.0,0.0,elastic_deformation,RD_5_200_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,10,control,1636.3174870293221,1695.2249165623778,3.600000000000001,1.0170944387935683,1.0354021386918526,0.28,0.0,0.0,0.0,1.0,0.7000000000000001,0.036,1.0,0.0,elastic_deformation,RD_10_200_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
