temperature,rubber_content,specimen_type,analysis_zone,itz_thickness_um,porosity_fraction,microhardness_gpa,crack_density_per_mm2,ca_oh2_content,csh_gel_content,imaging_magnification,accelerating_voltage_kv,analysis_date,specimen_id
20,0,control,ITZ_rubber_cement,25.041498946717603,0.18649793350852467,2.064491691802933,0.0,0.15,0.45,1000,15,2025-10-18,RC_0_20_control_ITZ
20,0,control,ITZ_aggregate_cement,20.27721360172855,0.1585939694571359,2.49953725926783,0.0,0.15,0.45,2000,15,2025-10-18,RC_0_20_control_ITZ
20,5,control,ITZ_rubber_cement,26.053313614992035,0.18859227485895808,2.0470414165306625,0.0,0.15,0.45,20000,15,2025-10-18,RC_5_20_control_ITZ
20,5,control,ITZ_aggregate_cement,20.77453068087066,0.16148981379698213,2.2286018591429357,0.0,0.15,0.45,500,20,2025-10-18,RC_5_20_control_ITZ
20,10,control,ITZ_rubber_cement,31.49141219922025,0.2080520831658018,1.9361237101846027,0.0,0.15,0.45,500,15,2025-10-18,RC_10_20_control_ITZ
20,10,control,ITZ_aggregate_cement,25.806116151767846,0.17927154345725135,2.191265041769766,0.0,0.15,0.45,5000,5,2025-10-18,RC_10_20_control_ITZ
20,15,control,ITZ_rubber_cement,31.439075941668534,0.19927148746745707,1.7518941651850986,0.0,0.15,0.45,1000,5,2025-10-18,RC_15_20_control_ITZ
20,15,control,ITZ_aggregate_cement,29.592312873295576,0.16233879247186628,2.227714310364737,0.0,0.15,0.45,50000,5,2025-10-18,RC_15_20_control_ITZ
20,20,control,ITZ_rubber_cement,39.86791823022265,0.2246799811805318,1.768484307384297,0.0,0.15,0.45,20000,10,2025-10-18,RC_20_20_control_ITZ
20,20,control,ITZ_aggregate_cement,28.188620211543903,0.17582386722090368,2.1992145060036745,0.0,0.15,0.45,5000,20,2025-10-18,RC_20_20_control_ITZ
20,25,control,ITZ_rubber_cement,39.14313263336835,0.23757405331680473,1.5616680389296809,0.0,0.15,0.45,1000,20,2025-10-18,RC_25_20_control_ITZ
20,25,control,ITZ_aggregate_cement,29.726701590032683,0.19662406225987736,2.0903225600540765,0.0,0.15,0.45,5000,20,2025-10-18,RC_25_20_control_ITZ
100,0,control,ITZ_rubber_cement,29.619943195581243,0.19963979946922478,2.0551039540590836,0.0,0.134,0.442,50000,10,2025-10-18,RC_0_100_control_ITZ
100,0,control,ITZ_aggregate_cement,22.830194342619833,0.14349306323276048,2.4768089897219627,0.0,0.134,0.442,1000,5,2025-10-18,RC_0_100_control_ITZ
100,0,heated,ITZ_rubber_cement,26.910490360458077,0.1895866240761025,2.0228307629505378,0.0,0.134,0.442,50000,20,2025-10-18,RC_0_100_heated_ITZ
100,0,heated,ITZ_aggregate_cement,25.37471969017838,0.13443223011380098,2.3915817788085776,0.0,0.134,0.442,500,5,2025-10-18,RC_0_100_heated_ITZ
