temperature,rubber_content,specimen_type,analysis_zone,crack_length_um,crack_width_um,crack_density_per_mm2,crack_orientation_deg,crack_connectivity,fractal_dimension,tortuosity,imaging_conditions,specimen_id,measurement_area_mm2
20,0,control,ITZ_rubber_cement,17.150734094222823,0.03323537309801808,4.5,-3.2379066937949506,0.0,1.2,1.0,"{'magnification': np.int64(5000), 'detector': 'SE2', 'working_distance_mm': 10.976983328180282}",MC_0_20_control_ITZ,0.01
20,0,control,ITZ_aggregate_cement,13.720587275378259,0.02658829847841446,3.5999999999999996,-3.2379066937949506,0.0,1.2,1.0,"{'magnification': np.int64(5000), 'detector': 'SE2', 'working_distance_mm': 10.802512795458984}",MC_0_20_control_ITZ,0.01
20,0,control,bulk_cement,11.433822729481882,0.022156915398678718,3.0,-3.2379066937949506,0.0,1.2,1.0,"{'magnification': np.int64(5000), 'detector': 'SE2', 'working_distance_mm': 11.473054567414778}",MC_0_20_control_bul,0.01
20,0,control,rubber_particle,9.147058183585505,0.017725532318942975,2.4000000000000004,-3.2379066937949506,0.0,1.2,1.0,"{'magnification': np.int64(10000), 'detector': 'SE2', 'working_distance_mm': 10.758582766420094}",MC_0_20_control_rub,0.01
20,5,control,ITZ_rubber_cement,21.29244765626745,0.008757003671022891,1.5,18.411551184743825,0.0,1.2,1.0,"{'magnification': np.int64(10000), 'detector': 'SE2', 'working_distance_mm': 11.156283131015712}",MC_5_20_control_ITZ,0.01
20,5,control,ITZ_aggregate_cement,17.033958125013957,0.007005602936818313,1.2,18.411551184743825,0.0,1.2,1.0,"{'magnification': np.int64(10000), 'detector': 'SE2', 'working_distance_mm': 11.129555399241852}",MC_5_20_control_ITZ,0.01
20,5,control,bulk_cement,14.194965104178298,0.005838002447348594,1.0,18.411551184743825,0.0,1.2,1.0,"{'magnification': np.int64(2000), 'detector': 'SE2', 'working_distance_mm': 8.683138441827872}",MC_5_20_control_bul,0.01
20,5,control,rubber_particle,11.355972083342639,0.004670401957878875,0.8,18.411551184743825,0.0,1.2,1.0,"{'magnification': np.int64(5000), 'detector': 'SE2', 'working_distance_mm': 9.471910430859122}",MC_5_20_control_rub,0.01
20,10,control,ITZ_rubber_cement,0.4209812346544701,0.19554457407819587,4.5,-12.098934554893162,0.0,1.2,1.0,"{'magnification': np.int64(5000), 'detector': 'SE2', 'working_distance_mm': 9.490324237983515}",MC_10_20_control_ITZ,0.01
20,10,control,ITZ_aggregate_cement,0.33678498772357607,0.1564356592625567,3.5999999999999996,-12.098934554893162,0.0,1.2,1.0,"{'magnification': np.int64(10000), 'detector': 'SE2', 'working_distance_mm': 8.652651756520212}",MC_10_20_control_ITZ,0.01
20,10,control,bulk_cement,0.2806541564363134,0.13036304938546392,3.0,-12.098934554893162,0.0,1.2,1.0,"{'magnification': np.int64(5000), 'detector': 'SE2', 'working_distance_mm': 8.355621172417145}",MC_10_20_control_bul,0.01
20,10,control,rubber_particle,0.22452332514905074,0.10429043950837114,2.4000000000000004,-12.098934554893162,0.0,1.2,1.0,"{'magnification': np.int64(10000), 'detector': 'SE2', 'working_distance_mm': 11.931772576966331}",MC_10_20_control_rub,0.01
20,15,control,ITZ_rubber_cement,12.066138057700782,0.23643633799830358,1.5,28.279905487293025,0.0,1.2,1.0,"{'magnification': np.int64(2000), 'detector': 'SE2', 'working_distance_mm': 8.16716424197748}",MC_15_20_control_ITZ,0.01
