simulation_id,material,defect_type,formation_energy,migration_barrier,binding_energy,volume_change,metadata_supercell_size,metadata_k_points,metadata_convergence
DEFECT_Ni_0000,Ni,grain_boundary,0.3249779454124601,0.9768884874763476,-0.41355498753792364,0.11794240363394595,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0001,Ni,grain_boundary,0.28241043559284923,0.7148150416038664,-0.32076419713496374,0.19220597758405622,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0002,Ni,vacancy,1.4168275109302608,0.8996898015768409,-0.9036974237913918,0.08216214160471082,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0003,Ni,grain_boundary,0.35673198499105285,0.6656165379070019,-0.560995485625252,0.15611016666466845,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0004,Ni,antisite,0.6288795556384519,0.9340734811747038,-0.30475320427436325,0.16685665475997907,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0005,Ni,interstitial,3.6050106557228716,0.8556604103126355,-0.3333342554502331,0.06957699592838697,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0006,Ni,dislocation,0.4958284253216921,0.4635973536459342,-0.6872133130608529,0.10852493273836447,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0007,Ni,antisite,0.7029117261791801,0.5781048910320513,-0.27155307831819164,0.16102149547944328,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0008,Ni,vacancy,1.420526464561052,0.5158765005970085,-0.5338712837404651,0.08733152789305382,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0009,Ni,antisite,0.5045301582290247,0.913638863460958,-0.6066474988742604,-0.0027291012430958606,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0010,Ni,grain_boundary,0.3123566466104427,0.7593221361296941,-0.8953297069162012,0.11546514703871295,"[6, 6, 6]","[4, 4, 4]",1e-06
DEFECT_Ni_0011,Ni,antisite,0.6424555133468962,0.8452584534486873,0.08906585006314471,0.1167580283267559,"[6, 6, 6]","[4, 4, 4]",1e-06
