material,surface_orientation,surface_energy_J_m2,temperature_K,work_of_adhesion_J_m2,surface_stress_N_m,atomic_density_per_A2,surface_relaxation_percent
Cr,(111),1.5174,1133.79,3.0834,1.7419,0.1063,-2.69
Ni,(112),2.3495,1166.76,3.8273,2.4788,0.1576,1.37
Cu,(110),1.9709,445.91,4.4021,1.8984,0.1563,1.02
Inconel-718,(112),2.1756,1047.61,3.4275,2.2171,0.1992,-1.45
Ti,(112),2.2963,111.98,4.942,2.1896,0.1194,-0.07
Cu,(112),2.0504,686.7,4.4024,2.0757,0.1263,-1.96
Steel-316,(210),2.5956,327.82,4.1257,2.5994,0.1418,-1.3
Cr,(110),1.929,611.07,3.7285,1.644,0.1613,-3.21
Ni,(112),2.1606,768.71,4.8352,2.3872,0.1991,-0.13
Inconel-718,(112),1.7707,1268.46,2.6706,1.7307,0.1674,-3.46
Ni,(210),1.8857,850.2,4.201,1.7506,0.1213,1.38
Al,(210),2.4725,806.83,6.0986,2.4078,0.1307,1.01
Fe,(110),1.8574,814.87,4.2766,1.6398,0.1673,0.02
Fe,(112),1.5344,1123.49,3.3023,1.8344,0.1188,-3.58
Cu,(110),2.3012,807.08,5.6443,2.2035,0.1492,-3.92
Fe,(210),1.8576,927.81,3.8031,1.5797,0.17,-4.65
Fe,(100),2.3252,432.2,3.8259,2.5762,0.1433,-3.57
Cu,(100),2.1639,949.23,3.9411,2.3301,0.1497,0.44
Inconel-718,(211),1.9525,1142.48,3.9441,2.0631,0.1046,1.0
Ti,(210),1.7118,1324.75,3.6695,1.8431,0.1132,-2.29
Cu,(110),1.8078,212.02,4.1187,1.8061,0.1672,-2.82
Ti,(211),1.7129,1179.66,3.7215,1.8824,0.1121,-1.24
Steel-316,(211),2.0721,454.0,4.6272,2.2122,0.1045,-3.72
Al,(210),2.1498,820.77,3.6938,2.0069,0.1947,-4.77
Fe,(112),1.7691,1287.09,4.2881,1.9191,0.1135,0.18
Al,(111),1.1623,1252.19,2.6708,1.1246,0.1906,-2.97
Cr,(110),1.9208,1362.22,3.3524,1.9201,0.1471,-1.36
Inconel-718,(100),1.6261,627.9,2.4483,1.7737,0.104,-1.54
Inconel-718,(110),2.4224,753.76,5.511,2.1914,0.1431,-0.27
Ni,(210),2.5953,239.47,4.619,2.579,0.1077,1.68
Cu,(100),2.4308,331.86,3.8425,2.5255,0.1105,1.39
Cr,(100),2.0437,18.24,4.8788,1.8637,0.1891,-4.07
Inconel-718,(211),1.7006,338.16,3.4809,1.8229,0.1348,-3.74
Al,(210),2.4099,1119.4,4.1005,2.1217,0.1704,-0.6
Al,(100),2.1971,432.46,4.2005,1.9192,0.1098,-1.71
Ni,(111),1.1441,455.7,2.3046,1.1546,0.147,0.63
Ti,(112),1.7467,1079.98,3.0676,1.9445,0.1657,-1.14
Cr,(111),1.8247,160.09,3.462,2.0361,0.1102,-4.13
Al,(100),1.4127,753.71,2.4659,1.2366,0.1388,-0.99
Steel-316,(211),1.8335,792.45,3.8765,2.131,0.1708,-1.14
Inconel-718,(211),2.2211,822.64,3.6022,2.1298,0.1247,-1.53
Inconel-718,(210),1.6966,339.37,2.5469,1.9787,0.1865,-3.8
Al,(112),1.6718,564.75,2.6772,1.5492,0.1596,-1.34
Inconel-718,(210),2.3036,942.44,5.6291,2.1673,0.1647,1.33
Ti,(210),1.8327,787.41,3.1619,2.0929,0.105,1.56
Al,(100),2.0576,792.12,4.8935,2.0661,0.1087,-1.02
Cr,(210),1.5888,1493.6,3.8562,1.4116,0.1643,-4.38
Al,(112),1.3611,1450.32,2.8464,1.4283,0.1191,1.04
Cr,(100),1.8639,468.99,3.6932,1.8044,0.1,-2.35
Inconel-718,(210),2.1442,121.34,4.3079,2.407,0.1099,-2.43
Ni,(100),1.4368,452.26,3.4692,1.2479,0.1263,-3.46
Ti,(210),1.6818,104.44,3.1414,1.6117,0.1075,-3.09
Ti,(210),1.8242,1401.68,3.6673,1.7324,0.1803,-4.79
Fe,(210),2.2406,1476.34,3.6576,2.0669,0.1235,0.89
Inconel-718,(111),1.1813,881.29,2.8171,1.4501,0.1975,-1.19
Fe,(210),2.0754,896.25,4.1004,2.0552,0.1385,-0.18
Ti,(100),1.4419,1161.05,2.2407,1.6435,0.1065,-2.26
Cr,(100),2.0023,819.5,3.8522,2.2397,0.161,-4.12
Al,(111),1.3226,1112.77,2.6496,1.4499,0.1651,-2.82
Fe,(110),2.5068,967.15,4.1768,2.4129,0.1196,-4.11
Cr,(112),2.2524,754.13,4.0213,1.9601,0.157,-2.29
Cu,(211),1.6934,908.02,2.9247,1.6441,0.194,-4.28
Cr,(111),1.5606,414.97,2.6501,1.4805,0.1737,-3.43
Ni,(100),1.9863,1292.61,3.0819,1.9851,0.1061,1.44
Al,(110),2.3841,304.3,5.8854,2.6118,0.1656,1.64
Ti,(112),2.0708,1106.85,4.6692,1.7773,0.1958,0.03
Ni,(211),1.538,1075.83,3.4366,1.5588,0.1917,-4.79
Ti,(110),1.7813,1107.39,2.818,1.777,0.123,-3.17
Fe,(211),2.2652,142.39,4.7313,2.3279,0.151,-3.23
Cr,(111),1.8727,479.23,3.3329,1.8639,0.1104,-1.38
Fe,(110),1.9529,891.98,3.9269,1.8948,0.1972,-2.63
Ti,(110),2.4413,92.89,4.0585,2.2699,0.1719,-4.9
Cr,(112),1.7398,988.79,2.9316,1.7009,0.1145,0.53
Inconel-718,(211),1.6247,520.51,2.571,1.6977,0.1782,-2.25
Cu,(112),2.0734,757.19,3.4256,1.9721,0.1472,-3.71
Cr,(111),1.5317,1462.46,3.7239,1.4509,0.1835,-3.48
Steel-316,(112),2.0516,543.13,4.9475,2.262,0.1632,-4.45
Cu,(111),1.2127,1009.61,2.2458,1.3738,0.1055,-1.09
Inconel-718,(110),1.9759,497.34,3.6778,2.2091,0.199,-4.94
Cu,(210),2.0927,769.2,5.1617,1.9122,0.1011,-0.2
Ni,(100),1.9484,877.49,4.8455,1.7584,0.1971,0.98
Cu,(100),1.7973,236.87,3.739,1.7341,0.1025,-1.48
Inconel-718,(111),1.1663,995.71,2.1296,1.4474,0.1247,1.78
Cu,(211),1.5134,1201.86,2.6754,1.325,0.1431,1.25
Inconel-718,(210),1.9972,136.27,4.0139,1.9694,0.1144,1.01
Cr,(211),1.6003,628.7,3.9144,1.6995,0.1488,-1.8
Ti,(211),2.1796,1144.84,5.1392,1.9494,0.106,0.11
Ni,(211),1.6074,507.8,3.4539,1.3399,0.1692,-0.5
Cu,(210),1.9798,919.01,4.5419,2.0232,0.1174,-0.43
Cr,(111),1.1806,1485.23,2.5604,1.272,0.1788,-4.15
Cr,(111),1.2896,551.84,2.7373,1.556,0.1846,-4.39
Cu,(111),1.4299,52.81,2.7918,1.4093,0.1629,-2.87
Ni,(100),1.2314,1383.03,2.4218,1.5026,0.1053,0.86
Ni,(100),2.1851,23.61,4.7512,2.47,0.1162,1.81
Fe,(210),1.8021,1461.11,2.7773,2.0083,0.1781,-2.31
Inconel-718,(110),2.4829,523.03,5.1748,2.7757,0.1027,-4.95
Steel-316,(210),2.3716,339.14,5.6458,2.5623,0.1484,-3.55
Fe,(100),1.6552,1205.57,3.6849,1.6393,0.1716,1.62
Inconel-718,(210),1.663,382.55,3.8233,1.392,0.174,-3.27
Cr,(100),1.9285,1156.68,3.1657,1.6655,0.197,0.11
Cu,(112),1.9584,141.41,4.2785,1.7225,0.1758,-1.46
Ti,(112),1.6613,500.57,3.8071,1.3622,0.1081,-3.23
Inconel-718,(210),2.1386,870.89,5.1815,2.4272,0.1971,-0.83
Steel-316,(211),1.9855,1276.82,3.3173,2.107,0.1464,-0.82
Inconel-718,(111),1.6741,1141.74,3.1583,1.7459,0.1446,-2.81
Cr,(210),2.3582,596.01,4.5578,2.1355,0.1425,-4.41
Ni,(211),2.2353,1203.45,3.8185,2.2971,0.1064,-4.12
Inconel-718,(211),2.0168,607.65,3.3206,1.7774,0.1039,-1.61
Steel-316,(100),1.4534,754.89,2.3452,1.3481,0.1302,-0.35
Steel-316,(211),2.0952,425.79,3.2855,2.1494,0.195,-4.08
Cr,(112),1.9221,943.63,4.2635,2.2186,0.1475,-0.85
Al,(211),2.1029,962.29,4.8404,2.3921,0.1789,-2.28
Ti,(211),1.5744,1463.52,3.5307,1.3086,0.1171,0.18
Cr,(110),1.9824,184.53,3.8836,2.0869,0.1479,-2.71
Al,(112),2.4375,733.05,4.3711,2.4116,0.1021,-2.61
Fe,(110),1.828,262.79,3.6266,1.8487,0.1098,-1.29
Ni,(111),1.2733,439.84,3.1146,1.5732,0.1671,-3.87
Al,(210),1.8198,957.14,3.7014,1.628,0.1259,-3.45
Ti,(100),2.136,72.65,4.6614,2.4161,0.1349,-0.5
Al,(111),1.2854,1334.02,2.5939,1.2913,0.1625,-1.9
Steel-316,(210),2.1436,855.37,3.9618,2.351,0.1102,-1.92
Ni,(211),1.9219,1000.41,3.0267,1.7741,0.1913,-0.13
Cu,(211),1.4232,1128.82,2.1763,1.463,0.17,-0.06
Inconel-718,(111),1.3173,1399.57,3.127,1.607,0.1426,0.5
