material,dislocation_type,slip_system,temperature_K,applied_stress_MPa,peierls_stress_MPa,dislocation_velocity_m_s,mobility_coefficient,stress_exponent,burgers_vector_A,dislocation_density_m2,line_tension_eV_A,core_energy_eV_A,interaction_energy_eV,simulation_time_ps,num_atoms
Cu,mixed,<100>{001},873.13,405.99,93.51,0.81507749,7.43391e-05,2.199,3.282,341426804957548.25,4.125,1.678,-0.2841,119.79,50000
Inconel-718,screw,<111>{110},369.13,262.08,88.37,62.33501375,1.753e-06,2.901,2.682,2287152162463.03,1.324,1.835,0.1582,299.35,1000000
Cr,prismatic,<110>{001},899.24,620.18,62.76,480.99708975,9.17154e-05,2.46,2.511,13744929794217.06,3.705,1.33,-0.3014,306.42,50000
Al,prismatic,<100>{001},1018.23,654.29,63.73,21165.9765441,0.0001208421,2.849,2.679,60655286288178.58,1.357,0.977,-0.0332,146.25,500000
Ti,edge,<111>{110},336.92,842.14,127.48,0.00844101,7.23724e-05,2.337,3.191,363479252032432.25,4.951,2.31,-0.3244,496.19,100000
Ti,screw,<110>{111},1055.27,193.23,13.03,323.92263191,2.6488e-06,1.475,2.963,257889259698915.97,4.148,2.747,-0.1095,176.22,500000
Cu,prismatic,<110>{001},833.41,307.44,95.37,4.23894556,0.000801867,2.592,2.659,1411558391260.12,1.911,1.489,-0.3059,371.46,100000
Steel-316,prismatic,<110>{001},779.61,581.3,118.02,2.65363211,0.0005196013,1.2,2.986,941438396127467.9,1.414,1.734,0.3772,388.18,1000000
Cr,prismatic,<100>{001},716.99,763.21,83.94,0.00199116,8.754e-06,1.632,3.016,21023145919698.3,4.154,2.627,-0.4555,103.66,1000000
Steel-316,edge,<110>{001},306.22,778.45,27.31,0.07288438,1.4324e-06,1.32,3.329,1087230627309.91,3.021,0.914,-0.1315,441.98,500000
Inconel-718,prismatic,<111>{110},973.08,247.97,83.71,0.03786098,0.0001103484,2.654,3.241,102208402294423.56,4.267,0.869,-0.3111,149.06,50000
Cr,screw,<100>{001},1402.67,311.6,3.34,1.79082234,0.0002955288,2.227,3.399,14053369370060.02,2.784,2.628,-0.3949,484.9,1000000
Ti,basal,<100>{001},845.55,869.22,16.88,57.7274401,2.1837e-06,2.129,3.253,30350802624063.54,1.955,2.732,0.2759,392.96,100000
Cu,basal,<100>{001},1075.77,641.06,8.91,9.58085371,1.025e-06,2.991,2.733,5759693459447.32,2.594,1.126,-0.1544,125.98,1000000
Ti,basal,<111>{110},346.51,521.28,132.46,0.28697151,1.8116e-06,2.507,2.954,4237285547763.52,1.585,0.848,0.2721,104.29,1000000
Cu,mixed,<100>{001},532.49,61.33,74.32,0.0,0.0001272592,2.108,2.796,18018415878069.54,2.013,0.728,0.4275,182.87,500000
Ti,mixed,<110>{111},1487.73,336.34,0.36,0.77619084,5.0092e-06,2.418,2.731,1021811761123.12,4.229,2.393,-0.2101,166.81,50000
Steel-316,screw,<110>{001},544.1,114.0,103.5,0.00089795,1.61312e-05,2.565,3.232,116398884856177.98,1.825,1.383,0.2549,333.62,1000000
