material,gb_type,temperature_K,misorientation_deg,applied_shear_stress_MPa,critical_shear_stress_MPa,sliding_displacement_nm,sliding_velocity_nm_ps,activation_energy_eV,simulation_time_ps,box_size_nm,num_atoms,timestep_fs
Al,symmetric_tilt,503.65,12.7,80.62,90.52,0.0841,0.000118,1.4743,269.58,48.63,50000,0.5
Steel-316,mixed,969.7,29.88,436.61,45.7,234.2682,0.434505,1.4577,137.66,29.24,10000,1.0
Steel-316,tilt,415.55,35.93,25.29,78.8,0.0244,2.7e-05,0.9808,374.16,32.22,50000,2.0
Fe,tilt,729.7,27.62,80.79,61.16,2.3466,0.004283,0.347,174.56,48.86,10000,2.0
Ni,tilt,1260.71,45.94,239.26,13.13,129.9918,0.87903,0.4188,698.77,40.01,100000,2.0
Cu,asymmetric_tilt,759.1,46.45,110.92,52.71,17.6039,0.027559,1.4522,269.2,11.15,100000,2.0
Ti,twist,843.57,22.09,443.7,65.76,192.0008,0.229726,0.571,654.78,34.97,500000,1.0
Al,asymmetric_tilt,1399.15,14.73,155.12,17.77,85.7609,0.13029,0.9181,218.46,39.43,10000,1.0
Ni,symmetric_tilt,1094.84,28.17,237.53,31.75,63.1443,0.156593,1.3174,182.1,14.77,500000,1.0
Al,mixed,796.18,32.36,480.4,65.28,42.4559,0.089292,0.8252,204.32,24.94,500000,0.5
Inconel-718,tilt,1400.33,21.04,265.26,30.21,95.6792,0.625765,0.3703,265.76,32.6,100000,1.0
Inconel-718,symmetric_tilt,882.08,8.9,297.64,57.33,109.0718,0.11777,1.2866,922.22,29.08,500000,2.0
Ni,mixed,1033.93,51.29,209.28,36.06,85.9781,0.164782,0.8443,659.49,36.02,100000,1.0
Cu,asymmetric_tilt,1086.46,37.67,231.01,38.21,21.7425,0.026885,0.6433,386.94,32.17,500000,1.0
Al,asymmetric_tilt,1353.54,51.94,412.87,5.46,41.2808,0.072388,1.0735,280.07,36.83,500000,2.0
Fe,symmetric_tilt,783.77,38.81,35.73,60.01,0.0582,0.000196,1.3551,887.16,10.9,50000,1.0
Cu,symmetric_tilt,1272.68,38.61,302.0,5.34,266.0574,0.412536,1.3944,688.7,38.15,50000,1.0
Cr,tilt,521.13,20.88,172.13,101.24,8.0278,0.012889,1.1698,929.98,49.25,50000,0.5
Al,twist,1427.12,34.94,65.7,0.0,35.285,0.0742,0.3273,102.92,11.06,50000,2.0
Steel-316,mixed,900.57,58.35,143.41,34.79,59.8113,0.209267,1.2727,543.01,19.39,100000,1.0
Cu,tilt,1499.31,24.71,106.39,0.0,84.7339,0.233405,0.6408,604.3,24.76,50000,1.0
Inconel-718,tilt,652.03,49.67,441.0,83.26,286.5329,0.295492,0.4483,676.47,44.27,10000,0.5
Steel-316,tilt,343.47,25.68,387.92,99.12,123.6929,0.45345,0.6043,215.26,31.16,50000,1.0
Fe,asymmetric_tilt,1291.56,21.16,253.28,10.03,146.2457,0.161264,1.3382,831.05,18.96,500000,0.5
Fe,mixed,1095.77,13.41,255.75,29.62,69.2679,0.079117,0.9922,648.57,39.17,10000,2.0
Cu,twist,589.22,29.49,156.22,75.92,35.5375,0.097785,0.725,185.34,19.84,100000,2.0
Fe,asymmetric_tilt,374.22,39.58,339.82,95.08,213.0522,0.274337,0.9489,307.82,11.24,100000,1.0
Cu,asymmetric_tilt,508.82,24.78,463.83,87.12,373.4697,0.677111,1.3391,747.62,15.57,100000,0.5
Ti,twist,1335.76,28.94,148.91,18.79,92.7022,0.135181,0.4555,526.12,13.12,100000,2.0
Ni,asymmetric_tilt,855.32,13.81,391.45,60.68,325.5438,2.35404,0.8652,958.25,21.85,100000,2.0
Fe,mixed,1407.66,14.65,16.73,2.41,6.6487,0.045775,1.2693,929.72,29.97,100000,2.0
Cu,asymmetric_tilt,350.53,8.83,281.6,88.76,71.1338,0.232017,0.3426,821.58,31.85,50000,0.5
Fe,symmetric_tilt,1063.35,41.36,138.88,41.93,96.5189,0.478439,1.2403,402.93,18.97,100000,2.0
Fe,symmetric_tilt,525.76,14.78,114.4,66.0,12.8953,0.047271,1.1394,643.21,17.39,50000,2.0
Fe,mixed,514.57,52.79,420.76,73.82,317.3002,1.261101,0.9935,953.11,13.24,500000,2.0
Steel-316,symmetric_tilt,897.95,38.97,59.76,56.0,1.8819,0.009818,0.6798,859.24,46.12,10000,2.0
Fe,tilt,1232.13,31.25,194.61,23.78,161.5142,1.036763,0.8113,338.7,45.28,10000,2.0
