material,defect_type,temperature_K,formation_energy_eV,lattice_parameter_A,defect_volume_A3,charge_state,convergence_tolerance,k_points,energy_cutoff_eV
Cr,interstitial,969.37,4.557,3.9655,17.995,0,3.9e-06,4x8x8,700
Cu,substitutional,829.36,0.7157,4.0052,42.554,1,8.9e-06,4x8x6,700
Inconel-718,vacancy,1324.9,2.3329,4.0259,13.134,2,2.54e-06,4x6x6,700
Fe,vacancy,669.27,1.6593,3.2348,14.983,-1,7.71e-06,4x6x8,700
Al,vacancy,1185.12,1.0023,3.3216,46.127,2,9.15e-06,8x8x6,700
Cr,interstitial,339.29,2.4595,3.987,25.239,0,6.29e-06,4x6x6,400
Inconel-718,interstitial,412.47,3.7092,2.9445,15.581,0,6.16e-06,8x4x6,400
Ti,divacancy,1334.89,3.5454,3.7918,21.814,1,3.37e-06,6x8x4,700
Steel-316,substitutional,945.88,1.0225,3.3786,30.214,-2,1.96e-06,8x4x6,400
Ni,vacancy,1130.96,1.0348,4.0227,31.428,-2,1.69e-06,6x4x6,700
Cr,substitutional,1370.83,2.2771,2.9197,33.485,1,5.06e-06,4x6x4,400
Inconel-718,divacancy,577.89,3.0523,2.8477,14.313,-2,1.35e-06,4x8x4,500
Steel-316,substitutional,728.1,0.9783,3.7346,27.591,0,2.11e-06,8x4x6,500
Inconel-718,vacancy,517.0,0.9619,3.9772,45.796,2,4.46e-06,8x6x8,600
Ti,interstitial,836.16,2.8691,3.3058,23.909,-2,1.94e-06,6x4x6,600
Inconel-718,substitutional,657.79,0.9165,3.9825,15.529,-2,8.69e-06,4x6x6,700
Fe,substitutional,478.9,1.0358,3.7169,32.774,1,2.16e-06,6x6x6,500
Cu,divacancy,1279.47,4.2007,2.8181,22.527,-1,1.72e-06,8x8x8,500
Ni,substitutional,1219.18,0.5001,3.44,29.719,-2,6.98e-06,6x4x4,400
Ni,divacancy,1252.53,3.3834,3.8822,35.067,-2,2.62e-06,8x4x6,400
Inconel-718,divacancy,587.92,4.4334,3.9302,28.648,0,5.82e-06,4x4x4,600
Al,divacancy,890.98,3.1481,2.8084,48.604,2,7.96e-06,6x6x6,600
Fe,divacancy,528.23,4.3974,3.6089,35.866,1,7.05e-06,8x4x4,400
Ti,vacancy,669.31,1.1368,3.2848,12.851,0,4.24e-06,4x8x6,500
Ti,substitutional,389.43,0.723,4.1714,36.651,0,2.96e-06,4x6x6,500
Ni,interstitial,839.77,4.9082,3.1936,36.592,-1,1.52e-06,8x4x8,600
Cr,vacancy,499.95,2.5615,4.1212,41.073,-2,5.68e-06,6x6x8,600
Fe,substitutional,371.25,0.8881,3.1678,25.02,-2,3.41e-06,6x4x6,500
Ni,substitutional,508.88,0.8016,2.9373,12.957,-1,8.29e-06,6x6x6,400
Cr,substitutional,617.59,2.1721,3.0184,39.145,1,4.19e-06,6x8x6,600
Ni,interstitial,554.57,1.9857,3.615,48.315,2,2.92e-06,4x6x4,500
Al,vacancy,1343.46,1.7674,4.0294,42.397,-1,5.19e-06,6x8x4,600
Al,substitutional,1431.81,1.3115,4.0013,26.177,1,3.21e-06,8x4x4,700
Al,divacancy,645.43,1.5804,3.419,29.868,1,4.51e-06,6x8x6,400
Steel-316,interstitial,1176.61,4.1981,3.2897,29.89,2,4.05e-06,4x4x4,500
Fe,substitutional,1363.49,1.2839,3.8265,25.875,0,6.39e-06,6x4x4,700
Ni,interstitial,660.63,2.2303,3.4989,17.188,0,7.01e-06,4x8x6,400
Cu,substitutional,1398.64,2.2138,3.3444,36.224,1,9.45e-06,8x6x8,500
Ti,divacancy,374.79,3.109,4.0744,24.273,2,8.31e-06,8x8x8,600
Inconel-718,interstitial,470.38,4.24,3.425,34.023,-1,2.05e-06,8x8x4,600
Cr,interstitial,731.84,3.6535,3.3296,38.46,0,1.93e-06,6x4x8,700
Cr,interstitial,373.85,4.2052,3.8908,14.46,1,4.33e-06,8x8x6,600
Ni,interstitial,902.25,2.0185,2.936,47.81,-1,7.7e-06,4x6x8,600
Al,interstitial,649.22,4.5683,3.316,17.046,-1,6.27e-06,4x8x8,700
Ni,divacancy,993.01,2.5398,3.6836,41.798,0,5.24e-06,6x4x8,700
Cr,interstitial,726.85,4.4363,3.5806,21.428,1,5.34e-06,4x8x8,600
Al,divacancy,1233.85,0.9385,2.9265,43.13,1,1.18e-06,6x8x8,700
Al,interstitial,1211.56,5.1235,3.8702,37.423,1,7.38e-06,6x8x8,700
Ti,divacancy,1396.28,3.6218,3.6457,24.821,2,4.12e-06,8x4x4,400
Steel-316,vacancy,1275.97,2.1405,3.5395,36.397,-1,5.74e-06,6x4x6,500
Steel-316,vacancy,483.55,1.1268,3.4411,42.226,1,8.84e-06,6x4x4,400
Cr,substitutional,1365.02,0.9455,3.1997,43.163,2,7.61e-06,8x8x6,500
Cr,interstitial,590.06,5.1106,3.6422,19.476,-2,7.96e-06,6x4x6,600
Al,substitutional,1001.56,1.3916,3.1859,30.587,-1,8.55e-06,4x6x8,700
Cr,vacancy,1143.64,1.2649,3.7782,14.238,1,4.13e-06,6x8x8,700
Cr,substitutional,1117.14,0.8609,2.9903,47.396,-1,5.89e-06,4x6x6,500
Ni,divacancy,1482.88,3.7606,3.378,12.345,-1,7.61e-06,6x8x6,400
Steel-316,interstitial,747.07,5.4042,2.9506,28.91,0,7.91e-06,8x4x4,400
Cr,substitutional,1195.21,0.5508,2.9125,24.983,-2,2.27e-06,8x6x6,700
Ti,substitutional,1486.31,1.855,3.7241,20.175,1,3.87e-06,4x8x4,500
Cu,interstitial,706.41,3.4515,4.0358,41.941,0,9.56e-06,4x6x6,400
Ni,substitutional,1158.25,1.9869,3.8958,37.805,-1,9.04e-06,8x4x4,500
Cr,substitutional,1468.89,0.7255,3.9144,19.474,0,7.99e-06,4x6x6,500
Ni,substitutional,1392.71,1.8058,3.5497,43.27,0,7.95e-06,4x8x6,400
Fe,divacancy,1130.34,3.551,2.9145,38.39,2,4.41e-06,6x6x4,500
Cr,vacancy,1316.29,1.9821,3.6207,38.952,2,7.55e-06,6x6x4,400
Ni,substitutional,843.95,0.8809,3.1598,20.117,2,6.89e-06,6x4x6,700
Fe,vacancy,621.96,2.7339,3.9121,39.569,0,6.11e-06,8x8x4,500
Cr,divacancy,1434.84,4.0158,4.1699,22.78,1,2.46e-06,8x8x4,700
Cu,substitutional,1336.09,1.7288,3.0947,46.357,-2,3.62e-06,8x8x4,600
Fe,vacancy,813.75,2.0853,2.8283,12.315,0,2.44e-06,6x4x6,600
