node_id,x,y,z,time,von_mises_stress,principal_stress_1,principal_stress_2,principal_stress_3,shear_stress,elastic_strain,plastic_strain,creep_strain,thermal_strain,total_strain,damage,temperature,voltage,delamination_risk,crack_risk
0,0.0,0.0,0.0,370,21319583.805254716,142875466.10043785,147741364.55863768,166207384.86813334,-40861393.33879701,0.0001421305587016981,0.0,8675123.297297485,4.79968000639994e-06,8675123.297444416,7.453306344157342e-09,22.32295271095204,-0.04994345830742686,-1.3627012334080748,3.178027784609982e-09
1,0.0,0.0,0.35714285714285715,370,91023039.83115332,224130713.26685268,166864958.85078967,119171767.06222543,3804324.5371296736,0.0006068202655410221,0.0,12306618018.308369,4.79968000639994e-06,12306618018.30898,9.122844496039263e-05,24.28287767681612,0.2538682532192236,0.12701130335316302,0.00016607780758727994
2,0.0,0.0,0.7142857142857143,370,63541274.76331029,138343701.89390326,142659534.14355043,203932870.50944448,38445047.59231426,0.0004236084984220686,0.0,2040147942.1382902,4.79968000639994e-06,2040147942.1387186,6.693983349441562e-05,27.61246927860571,0.558350230835231,1.2881644809915516,8.50688470535781e-05
3,0.0,0.0,1.0714285714285714,370,77143560.7426409,238788967.4637572,191142245.6356969,149785307.4683857,9040439.68125667,0.0005142904049509394,0.0,5381216300.617541,4.79968000639994e-06,5381216300.61806,0.00011090332904022072,28.91346847239247,0.8645196308085966,0.30650062381972215,0.00017110955400750715
4,0.0,0.0,1.4285714285714286,370,113049988.16243844,271145251.89052945,199628477.70377508,140812486.23208815,-48908732.450277664,0.0007536665877495896,0.0,36369275584.95511,4.79968000639994e-06,36369275584.95587,0.00031438778770823405,31.0758398092233,1.1735787365558568,-1.7219645003642896,0.0007108307135766213
5,0.0,0.0,1.7857142857142858,370,275901074.7753047,392186776.0590038,342903732.18812686,94965377.29425095,66469906.555541754,0.0018393404985020312,0.0012590107477530468,3148828489373.52,4.79968000639994e-06,3148828489373.523,0.0010315328938168195,33.42765750067873,1.485441662109685,2.6253950281044793,0.005692020681402814
6,0.0,0.0,2.142857142857143,370,175473563.06822136,586598253.4583421,414690028.69314855,407764417.61891735,324419858.7092004,0.0011698237537881423,0.0002547356306822136,327672895073.7414,4.79968000639994e-06,327672895073.7428,0.0017296183577103436,35.24059831088599,1.797210453199281,17.39055748192158,0.0060700459195127884
7,0.0,0.0,2.5,370,726113499.1252586,840499006.439667,460257545.8562775,3228264.673055476,307120952.5375224,0.004840756660835057,0.0057611349912525854,397561754503782.6,4.79968000639994e-06,397561754503782.6,0.0031444372878683966,38.98618440973784,2.104289321881345,30.71209525375224,0.04566436723748119
8,0.0,0.0,2.857142857142857,370,513283933.2978948,568589063.2752355,158893443.58647618,-7166444.774021332,197978466.34080517,0.0034218928886526317,0.003632839332978948,70173056947420.36,4.79968000639994e-06,70173056947420.37,0.0022494265972514667,41.93873849746827,2.404353310342138,10.61265457910394,0.023091890630042647
9,0.0,0.0,3.2142857142857144,370,176030129.19957098,375022622.28396344,177897527.4068981,319388842.74410975,13318523.414704047,0.0011735341946638065,0.00026030129199570984,332902520505.53735,4.79968000639994e-06,332902520505.53876,0.0009015077934012947,42.9784074055456,2.6997273763953995,0.5260483573185023,0.003173850666937001
10,0.0,0.0,3.5714285714285716,370,200570662.8043436,262380317.18056345,222180220.15665692,44754181.96808073,-43392036.0772136,0.0013371377520289575,0.0005057066280434361,639321181008.5072,4.79968000639994e-06,639321181008.509,0.0004120514537072613,45.37159601655983,2.9950073079844284,-1.5277342507179237,0.001652908663591174
11,0.0,0.0,3.928571428571429,370,118403243.57898578,172435230.32177383,122317184.47812235,37215124.43216461,-20948499.452824194,0.0007893549571932385,0.0,45835296334.7905,4.79968000639994e-06,45835296334.79129,0.00015216301187656554,48.08907800688576,3.2930910593800258,-0.7102229954246215,0.0003603318831786619
12,0.0,0.0,4.285714285714286,370,175662928.62723285,235011322.8002394,145269728.80332723,32605452.805112712,10957579.806338241,0.001171086190848219,0.0002566292862723285,329444786782.2506,4.79968000639994e-06,329444786782.252,0.0001835695125581496,49.22759502929816,3.594064516549517,0.3671517136313037,0.0006449271636527631
13,0.0,0.0,4.642857142857143,370,117986088.60989106,186449465.0340134,151851600.99693346,55032357.60719385,27873791.096170902,0.0007865739240659403,0.0,45033537623.22644,4.79968000639994e-06,45033537623.227234,0.00011819149373913037,51.70838705329341,3.896725396076367,0.9305953006810428,0.0002788990410648084
14,0.0,0.0,5.0,370,155139221.03355354,282156056.01745546,134144447.9053845,120756883.78650166,-5264781.255868985,0.0010342614735570235,5.1392210335535405e-05,177006851485.67337,4.79968000639994e-06,177006851485.67447,0.00015594396908776245,54.802898566547455,4.2000565416925735,-0.17557707470989525,0.0004838605177831204
