node_id,x,y,z,time,von_mises_stress,principal_stress_1,principal_stress_2,principal_stress_3,shear_stress,elastic_strain,plastic_strain,creep_strain,thermal_strain,total_strain,damage,temperature,voltage,delamination_risk,crack_risk
0,0.0,0.0,0.0,1700,9305094.447348243,14804800.139870958,7148456.864283826,4448222.23340432,-165370.87122824645,6.203396298232162e-05,0.0,774688.9679264838,2.1570851807522648e-05,774688.9680100887,3.353987854870804e-08,22.858420347333382,-0.04994345830742686,-0.00551501238159036,6.241834752966352e-09
1,0.0,0.0,0.35714285714285715,1700,7218549.839935969,11404254.291037722,8746768.493036803,3233670.359339472,925295.3889916062,4.8123665599573124e-05,0.0,217657.30134465004,2.1570851807522648e-05,217657.30141434458,9.243230815768985e-07,23.30388347852795,0.2538682532192236,0.0308919421031219,1.3344544465132083e-07
2,0.0,0.0,0.7142857142857143,1700,5895875.186450308,11066280.531919435,7298957.495217611,4271732.935980053,1284127.5701375473,3.9305834576335385e-05,0.0,79116.09600409504,2.1570851807522648e-05,79116.09606497173,1.5293514289973927e-05,22.183714821312133,0.558350230835231,0.04302680393205883,1.8033730283176096e-06
3,0.0,0.0,1.0714285714285714,1700,6860445.316219281,13477712.71293935,8691898.751434509,5617841.448305602,1854951.83695387,4.573630210812854e-05,0.0,168766.0082026599,2.1570851807522648e-05,168766.00826996705,0.00015191895733910916,24.10336884099714,0.8645196308085966,0.06288896505339772,2.0844633986440165e-05
4,0.0,0.0,1.4285714285714286,1700,6211021.351101273,15181430.467005296,11121587.612344492,8031446.225565033,61655.105612553525,4.140680900734182e-05,0.0,102645.1784933273,2.1570851807522648e-05,102645.17855630496,0.0009060200979560802,23.84291516676815,1.1735787365558568,0.0021707351184977503,0.00011254620345864162
5,0.0,0.0,1.7857142857142858,1700,15012995.77755439,18057306.30124881,15449436.063270872,1911225.049261839,-2152167.5757739954,0.00010008663851702927,0.0,8469548.42771669,2.1570851807522648e-05,8469548.427838348,0.00324403009738039,23.66086428294353,1.485441662109685,-0.08500523538969289,0.0009740522030846229
6,0.0,0.0,2.142857142857143,1700,12358406.134876981,30571684.1165562,22107763.074819837,16389762.156365538,10598893.258583693,8.238937423251321e-05,0.0,3201369.1835763003,2.1570851807522648e-05,3201369.1836802606,0.006973536859949243,23.84511663813448,1.797210453199281,0.5681546844620569,0.0017236360142357497
7,0.0,0.0,2.5,1700,19542639.765185963,28776227.680129785,12290430.919936223,7188718.1075695325,17900090.639684007,0.00013028426510123975,0.0,31654800.186801445,2.1570851807522648e-05,31654800.1869533,0.009,24.2309225411021,2.104289321881345,1.7900090639684005,0.003517675157733473
8,0.0,0.0,2.857142857142857,1700,24132653.854494248,36642097.73867648,20887950.289081868,8859243.17857508,9155217.058201015,0.00016088435902996166,0.0,90896855.9584499,2.1570851807522648e-05,90896855.95863236,0.006973536859949243,23.82430943298742,2.404353310342138,0.4907662839864202,0.003365799023654236
9,0.0,0.0,3.2142857142857144,1700,12502720.978180904,20170697.64035666,19245602.012939706,7231123.721908906,747542.6593884185,8.33514731878727e-05,0.0,3392705.3158358876,2.1570851807522648e-05,3392705.31594081,0.0032440300973803874,24.00470084305988,2.6997273763953995,0.029526064996261495,0.0008111840630473601
