frequency,stokes_kirchhoff_attenuation,navier_stokes_attenuation,thermoacoustic_attenuation,multiphase_attenuation,interface_scattering_attenuation,mode_conversion_attenuation,wavelength
10.0,1.949551486634935e-13,8.772981689857207e-13,1.169730891980961e-13,9.486832980505138e-07,2.5000000000000004e-07,1.1357232200643481e-07,150.0
12.067926406393289,2.839226339371075e-13,1.2776518527169837e-12,1.703535803622645e-13,1.2576802305710754e-06,3.6408711937531114e-07,1.5929835116559855e-07,124.29641592820263
14.563484775012435,4.1349029566244916e-13,1.860706330481021e-12,2.480941773974695e-13,1.6673209759460626e-06,5.302377219800475e-07,2.2343440933294087e-07,102.99732675064503
17.57510624854792,6.021859625495475e-13,2.7098368314729632e-12,3.6131157752972844e-13,2.2103863678984896e-06,7.722108991193707e-07,3.133926679634171e-07,85.34799043527444
21.209508879201906,8.769926097316539e-13,3.9464667437924425e-12,5.261955658389924e-13,2.9303343302684666e-06,1.1246081672423614e-06,4.395695570187572e-07,70.72299545186091
25.59547922699536,1.277206851962537e-12,5.747430833831415e-12,7.663241111775221e-13,3.8847775266157875e-06,1.6378213921488774e-06,6.165472750633135e-07,58.604099055819255
30.888435964774818,1.860058254309798e-12,8.37026214439409e-12,1.1160349525858787e-12,5.1500937198235835e-06,2.385238690874986e-06,8.647790464974724e-07,48.56186314226465
37.2759372031494,2.7088930067276937e-12,1.219001853027462e-11,1.6253358040366162e-12,6.827537778224363e-06,3.4737387359328436e-06,1.2129528902455702e-06,40.240436929195894
44.98432668969444,3.9450922060616415e-12,1.7752914927277388e-11,2.367055323636985e-12,9.051344431587879e-06,5.058974119312889e-06,1.7013070794371786e-06,33.34494723789293
54.286754393238596,5.7454290278998964e-12,2.5854430625549536e-11,3.4472574167399377e-12,1.19994701868268e-05,7.367629256379525e-06,2.386280458062196e-06,27.631049539900744
65.51285568595509,8.367346817373469e-12,3.765306067818061e-11,5.020408090424081e-12,1.5907834007735962e-05,1.0729835650321945e-05,3.347035049318262e-06,22.896269507628503
79.06043210907697,1.2185772798206719e-11,5.483597759193024e-11,7.311463678924031e-12,2.1089196345976408e-05,1.5626379813184924e-05,4.69460477016273e-06,18.972828252829448
95.40954763499938,1.7746731661844437e-11,7.986029247829997e-11,1.0648038997106662e-11,2.795818728702233e-05,2.2757454449788042e-05,6.584727564333017e-06,15.721697012320288
115.1395399326447,2.584542563635025e-11,1.1630441536357613e-10,1.550725538181015e-11,3.7064486647702384e-05,3.314278413975271e-05,9.235843956888421e-06,13.027670606270293
138.94954943731375,3.763994627587032e-11,1.6937975824141645e-10,2.2583967765522192e-11,4.913681120862192e-05,4.8267443222081247e-05,1.2954342114020737e-05,10.795285095017281
167.68329368110065,5.481687845209225e-11,2.466759530344151e-10,3.2890127071255346e-11,6.514122908812546e-05,7.029421744935563e-05,1.8169966966790142e-05,8.945434974891974
202.35896477251555,7.983247747507534e-11,3.59246148637839e-10,4.78994864850452e-11,8.635846777063695e-05,0.00010237287655951048,2.5485485613115032e-05,7.412570041985758
244.20530945486496,1.1626390702597834e-10,5.231875816169026e-10,6.9758344215587e-11,0.00011448640223848058,0.00014909058291486592,3.5746348803133444e-05,6.1423725935706415
294.705170255181,1.6932076398562977e-10,7.61943437935334e-10,1.0159245839137788e-10,0.00015177592465307466,0.00021712784343783806,5.013839925018786e-05,5.089832657842995
355.64803062231283,2.4659003683981943e-10,1.1096551657791873e-09,1.4795402210389166e-10,0.0002012110683355292,0.00031621380421382393,7.032491886698311e-05,4.217653046961346
429.1934260128778,3.5912102471864683e-10,1.6160446112339105e-09,2.154726148311881e-10,0.00026674780017493923,0.0004605174923316791,9.863885340593969e-05,3.494927715773058
