sample_id,diameter,length,layer_thickness_ratio,interface_roughness,interface_angle,heavy_phase_velocity,light_phase_velocity,Re_heavy,Re_light,flow_regime
0,0.3459087273553098,47.28952526298933,0.14456551655473932,9.193250491816644e-05,4.901645664381905,2.2121127345379916,6.175241993352339,45579.56399813093,32866.08543772594,turbulent_turbulent
1,0.04788620850032574,46.15070530933259,0.7547076450875613,2.6861146477123537e-06,2.9105384159011116,4.415783332760776,2.2537393571421442,19142.330604217157,77455.38594449237,turbulent_turbulent
2,0.1349923512484537,20.0064424885042,0.402391400455388,3.985769921475158e-05,4.37050531508283,3.130373012475017,4.119018417761934,53904.408464290915,95442.55809920214,turbulent_turbulent
3,0.06547519153884873,21.563836650744452,0.8700229652692443,9.577516000419321e-05,0.8858271063238632,0.8110332039139613,4.268742829952336,5922.110956308941,65835.44969622887,turbulent_turbulent
4,0.04797305061425367,6.744933082333792,0.4881495489670794,9.582087697490005e-05,2.133979680315798,1.8467576774367005,9.97977148347263,53664.92711713916,38148.899282134604,turbulent_turbulent
5,0.1990717985373849,20.30099010731754,0.5097784459580311,4.444664778863258e-05,1.353976481737067,0.886646424348623,3.1812647998087815,51359.649441085196,6774.993956195366,turbulent_turbulent
6,0.08533457400613842,94.81806942994044,0.5342842808250712,7.2814810623437495e-06,3.4654387938478646,0.40283406338727024,7.414854847759092,75246.30945028266,65456.81859917601,turbulent_turbulent
7,0.36878022686348133,9.708612320292717,0.6814244418842141,1.4532143652664414e-05,1.697529536359219,4.719451742153101,5.078467228825486,96775.21677621837,9803.323429787019,turbulent_turbulent
8,0.24400273378595824,7.177829707410194,0.6041682099194279,8.791993135483124e-06,0.8768390127018866,1.3682685193394746,7.512564131478384,17232.249762989402,84816.57327601372,turbulent_turbulent
9,0.07463293002709243,4.489200457945477,0.41603633517573424,9.796472255515823e-05,0.5517111389438861,0.5984203757941824,7.536548456876677,31904.007705362965,72010.88010534598,turbulent_turbulent
10,0.10800518882724804,46.54712742561813,0.3122319021991343,4.57012932730296e-05,3.845485462926519,3.833848708340543,5.206145647969864,92908.81252838405,27114.626142379126,turbulent_turbulent
11,0.1277525620484242,61.76683371636794,0.5970376273734312,5.607463916932425e-06,3.038888561934488,1.9347371710101706,7.499681000673535,81002.46078998201,55663.22813515662,turbulent_turbulent
12,0.010835465436109892,64.00021520649756,0.6991050237327474,2.564934335691991e-05,2.323230005703944,4.832060454717762,3.0513439786016243,23092.171853132335,21874.624257323005,turbulent_turbulent
13,0.2838124088334582,95.02892302949265,0.5869521033602838,3.1028988903528335e-05,3.1928488903372703,3.1617272582291585,6.0095588437235765,16783.1944819419,63822.113135154425,turbulent_turbulent
14,0.22078058173210482,2.8406138036803035,0.5318115897179961,9.893740777662335e-05,1.7486979542199177,4.831240169761426,1.0524368424596862,73512.56147086332,12318.669471620698,turbulent_turbulent
15,0.14405007104208434,57.513242696890316,0.5742237551813991,7.774592040618296e-05,3.0765570361371966,3.008712051464748,9.13229556119247,45763.914468706564,23301.31209081045,turbulent_turbulent
16,0.08927640666157882,40.599465084140476,0.6702022041549566,5.211805008060189e-06,0.6452669325470306,0.6199559545078331,5.893976515209442,25043.60040259536,17459.683401838254,turbulent_turbulent
17,0.3004576526740809,76.36968162978555,0.3657239331621315,5.824225596198302e-05,0.49062206599730096,4.682436049242093,3.435272234616251,99753.06362417662,97880.18782912842,turbulent_turbulent
18,0.3916234901745476,2.986642445289705,0.5347799363074907,9.596805623561139e-06,4.475690129807581,3.9692176379722746,9.726169728297261,61229.912361829745,52695.107643949465,turbulent_turbulent
19,0.26429718941274993,39.258389070980144,0.47495205378331284,6.390584573039969e-05,4.664738037781386,3.0198332574545526,8.585447828941936,86415.21121894756,52364.43490897766,turbulent_turbulent
20,0.1802601243338346,64.31781345987602,0.4567018735318742,9.062645864871358e-06,1.8890455021621682,4.970953476441692,0.5802675132602434,69970.02427819173,84277.68180205347,turbulent_turbulent
21,0.3278756927029356,57.40507488516571,0.666043533583006,4.350493099266591e-05,0.4568086865443838,4.8156215960865705,4.379777622843541,66873.53447963374,53599.73325204023,turbulent_turbulent
22,0.03678980526900173,95.32191349826131,0.7340297808914586,1.57606915524701e-05,4.908244381441334,3.7108167236413694,4.7759843392402574,61525.63559939775,11566.931519445154,turbulent_turbulent
23,0.28460163990764936,8.29244612968888,0.5358842056954416,5.5716873187515755e-05,4.372193925803719,3.652781751334241,2.5705686829296885,88954.18807659783,57751.02381995257,turbulent_turbulent
24,0.30712594450127656,17.729155552995653,0.7862188767752912,9.316554638663786e-05,3.874953247474541,4.709687017960531,3.092769050811224,86250.79766791435,49400.42114351051,turbulent_turbulent
25,0.0903194294423566,67.21125930430672,0.6472962165647032,2.9405526861912327e-05,0.1374666581378503,1.0792515695192604,4.057797721971479,17588.728194926985,20208.964875720812,turbulent_turbulent
26,0.20178142554731207,96.21687481654747,0.7113948123261187,3.265509172142985e-05,4.758020344592741,3.2636692820677906,4.608951481937387,47361.71969655956,41663.7023157038,turbulent_turbulent
