experiment_id,timestamp,U_SG,U_SL,void_fraction,flow_pattern,interface_height,wave_amplitude,wave_frequency,temperature,pressure,rho_gas,rho_liquid,mu_gas,mu_liquid,pipe_diameter,pipe_length
1,2024-01-01 02:00:00,5.930831723286756,0.4758500101408589,0.95,wavy_stratified,0.050000000000000044,0.0033946339367881464,3.248149123539492,17.33991780504304,1.116167224336399,1.3385686539192325,998.5320164389914,1.8227057536813835e-05,0.001070900686566959,0.05,5.0
2,2024-01-01 04:00:00,13.05955411373656,0.3045463557541723,0.95,wavy_stratified,0.050000000000000044,0.0010823379771832098,9.759278817295954,27.48663961200633,1.4246782213565523,1.650886916830706,996.5026720775987,1.877802453093194e-05,0.0008309646803331386,0.05,5.0
3,2024-01-01 06:00:00,3.136462024502959,0.09986820982818256,0.95,smooth_stratified,0.050000000000000044,0.000572280788469014,1.1479175279631737,19.368437102970628,2.223705789444759,2.648296040397749,998.1263125794059,1.8337206134691304e-05,0.0010179462072066577,0.05,5.0
4,2024-01-01 08:00:00,2.5226609794546064,0.1531508777822569,0.95,smooth_stratified,0.050000000000000044,0.0005104629857953323,1.6777639420895203,17.995106732375397,2.0284688768272234,2.4271761841616963,998.4009786535249,1.8262634295567983e-05,0.0010535025074290437,0.05,5.0
5,2024-01-01 10:00:00,9.090011248499616,0.03276070223279889,0.95,wavy_stratified,0.050000000000000044,0.0016820964947491662,2.520412743882236,29.233283058799998,2.9312640661491187,3.3770665172661682,996.15334338824,1.8872867270092837e-05,0.0007954605102894827,0.05,5.0
6,2024-01-01 12:00:00,12.221761547688686,0.15926074689495165,0.95,wavy_stratified,0.050000000000000044,0.0037369321060486274,5.52121994991681,16.83057352267168,1.9903538202225404,2.3911335387724577,998.6338852954657,1.819940014228107e-05,0.0010846243052592588,0.05,5.0
7,2024-01-01 14:00:00,0.9986335561706667,0.4555669970186032,0.781264550022751,wavy_stratified,0.21873544997724903,0.003650089137415928,4.493688608715288,22.801020317667163,2.0934205586865593,2.4642178101243766,997.4397959364666,1.852359540324933e-05,0.0009342347768356232,0.05,5.0
8,2024-01-01 16:00:00,3.180389605120142,0.4850964676046337,0.9252351176268206,wavy_stratified,0.07476488237317935,0.004757995766256757,9.158618803421192,23.968499682166275,2.8437484700462337,3.3342943441221076,997.2063000635668,1.8586989532741626e-05,0.0009073613658726615,0.05,5.0
9,2024-01-01 18:00:00,1.7831412797528328,0.10603160258538114,0.95,smooth_stratified,0.050000000000000044,0.0003927972976869379,1.083015934534223,19.07023547660844,2.6574750183038587,3.168118029462789,998.1859529046783,1.8321013786379837e-05,0.0010255633955156486,0.05,5.0
10,2024-01-01 20:00:00,5.672923237057044,0.14765790974681658,0.95,wavy_stratified,0.050000000000000044,0.0015636968998990505,8.417575846032317,16.118259655196564,2.9737738732010346,3.5813734327245363,998.7763480689607,1.8160721499277172e-05,0.001104112131718497,0.05,5.0
11,2024-01-01 22:00:00,11.697549154801532,0.10737068395174447,0.95,wavy_stratified,0.050000000000000044,0.004261845713819337,7.654858750780937,25.93510752061481,2.5425406933718913,2.961526156877535,996.812978495877,1.8693776338369386e-05,0.0008638296574433455,0.05,5.0
12,2024-01-02 00:00:00,1.5736474501443103,0.1856482069866936,0.9296063935692833,smooth_stratified,0.07039360643071668,0.0008767930832880342,1.4349471902413369,19.963470372789736,1.1271167005720473,1.3396012872555223,998.0073059254421,1.8369516441242483e-05,0.0010029154851271206,0.05,5.0
13,2024-01-02 02:00:00,5.009243664877102,0.16933982779310605,0.95,wavy_stratified,0.050000000000000044,0.0035502298854208528,9.097701940610612,22.08322387742924,1.2391884918766034,1.4622263014378991,997.5833552245142,1.8484619056544407e-05,0.0009511508616423518,0.05,5.0
14,2024-01-02 04:00:00,10.842049414733427,0.38278467382227976,0.95,wavy_stratified,0.050000000000000044,0.004083868719818244,5.950364770915126,22.840992440729913,1.8550820367170993,2.1833686690938654,997.431801511854,1.8525765889531632e-05,0.0009333016594600774,0.05,5.0
15,2024-01-02 06:00:00,0.8685773377893802,0.06286679922671917,0.95,smooth_stratified,0.050000000000000044,0.0006727693701374024,0.97153397161449,22.62856036747054,2.8151329478521863,3.315695712735801,997.4742879265059,1.851423082795365e-05,0.0009382714246606754,0.05,5.0
16,2024-01-02 08:00:00,4.114737322658687,0.21108763228745858,0.95,wavy_stratified,0.050000000000000044,0.00191519266196649,2.615839278630344,19.34627179370652,1.3224425745080088,1.575066651280871,998.1307456412587,1.8336002558398265e-05,0.0010185104408348045,0.05,5.0
17,2024-01-02 10:00:00,13.98061595896731,0.4059789859865643,0.95,wavy_stratified,0.050000000000000044,0.0044858423607508705,8.429376615192915,17.798550883290538,2.7851179969799555,3.3348004388130645,998.4402898233419,1.8251961312962676e-05,0.0010586920494185818,0.05,5.0
18,2024-01-02 12:00:00,8.320462507776934,0.40564567603039065,0.95,wavy_stratified,0.050000000000000044,0.0022720138998874556,2.880415396221414,18.419027438129124,1.8542155772525126,2.215446596777982,998.3161945123742,1.828565318989041e-05,0.0010423964244500312,0.05,5.0
19,2024-01-02 14:00:00,12.36121410587615,0.4317579857956083,0.95,wavy_stratified,0.050000000000000044,0.003042989210310263,5.339288025190232,18.331617157060954,1.2397307346673656,1.4816944241109136,998.3336765685879,1.828090681162841e-05,0.0010446768192781096,0.05,5.0
20,2024-01-02 16:00:00,5.395419985352605,0.4720257549171344,0.9499817126057408,wavy_stratified,0.050018287394259175,0.0030751624869734644,7.624151671161423,20.45444403568941,2.9435641654419213,3.4926360407564525,997.9091111928622,1.8396176311137935e-05,0.0009906805990875628,0.05,5.0
