sample_id,temperature,pressure,humidity,transducer_distance,transducer_frequency,measurement_duration,sampling_rate,window_size,overlap_ratio,signal_to_noise_ratio,background_noise_level,measurement_uncertainty
0,328.1617831174312,717095.9891729649,6.309935255649213,1.4342899554132305,49932.18307432687,2148.4982477014014,183098.06371623822,2048,0.6789062485444692,18.06429195496196,61.56147775464429,0.023513244133409546
1,332.09063157220703,774158.8641632069,31.712867371826214,0.5730589596916249,19527.275505098623,1042.8130382051197,46205.31979976522,1024,0.9217690083548962,30.180214305542442,75.47616935238597,0.0732668918610856
2,329.95636657460454,884416.3618322026,65.09011393528861,0.26280477728534074,26563.702012583493,500.55183882764214,102842.5320306652,1024,0.5920943783919708,49.85789369673153,52.83105510968237,0.08164942803171596
3,364.59491990031313,878899.9484695726,85.28022409986228,0.5120264789999581,54822.26930645359,2171.3939930986,68633.65219744826,4096,0.8081974467189592,20.333377023704266,42.29987154507447,0.025275281020536822
4,285.6079933241464,899027.21186477,63.04854635442675,0.5888832792638997,31842.025172016492,1256.1311132418427,136191.14471977256,4096,0.6703352967185676,26.08559623279948,35.587821896583684,0.09500396662575916
5,284.75377833154545,989620.1447414475,25.741416067108645,0.7980708135989079,92938.09919399778,2380.496593951901,120724.5619404566,8192,0.8476202397516787,52.10185820822844,58.549477808054476,0.011450013990985566
6,367.4582497834638,315107.5633009976,51.198400413705315,0.8858500922992946,32769.67173232767,769.7828045013761,150424.56563927722,8192,0.618098993520592,56.33768115148371,32.71051660344909,0.0624049297036289
7,363.6999502022971,759737.0245841583,24.036424339417007,0.6116163085171966,21581.48273403153,1050.8679647160443,108143.71862312044,8192,0.8654336359495018,26.00201840020109,39.7498126628924,0.06939893949289798
8,360.3070324712003,863986.5329352238,96.69024805962614,0.9295080679260334,76636.94437613082,3466.6695222160756,139033.97028607805,4096,0.6146190113187074,27.826356807211546,69.51168488643691,0.010681514834310318
9,369.49503579969485,222486.58938479034,56.22867890109418,1.8710516785970963,46616.38632359671,3411.6159075811693,97966.22576479215,4096,0.8815060991910669,48.967019588693205,34.71182869878734,0.010891061118605928
10,281.4004386100527,627611.2019924158,33.478430359565934,1.604626608804776,67004.71970633652,724.2173245517606,76731.69444219451,4096,0.606606089309901,22.424377482651145,62.77294558528357,0.016910331583646958
11,322.3317113106837,413272.25780754787,68.05643085943936,0.7514831178461584,57242.384747315606,3488.372844954344,191247.0285283976,1024,0.733994285825755,52.81086791478641,30.047211747562475,0.07384347853830309
12,353.3646380049747,125366.59422410913,43.24139408426316,0.9197299623783314,88367.37491117713,1435.6611266274301,169849.04662030912,8192,0.8672468312596255,50.42865384327802,66.48264516500807,0.042728554660107866
13,356.246815390316,757035.9659468236,31.1345951775975,0.895227969730118,22801.706290429494,99.33273843537292,59699.68050003935,4096,0.7618505322508301,23.82214618795873,73.33276626515445,0.03159631464440403
14,276.8931751599511,353213.1326300723,94.30054599366623,0.4560505595996115,81854.47784322861,2456.1679743391264,188911.72285990528,8192,0.529201975531157,46.28478202942244,62.0343627316868,0.050713395632139356
15,300.3338706779354,766373.0249780035,24.25773982591799,0.2432223038179606,11086.23238724831,752.0252801119017,48474.96406121672,4096,0.696160226423453,26.689824345371584,46.82875890631628,0.020716113654962502
16,333.54795555778725,148010.43429225904,75.62299356529658,0.3376612446406083,80046.0308199021,3119.4808850205104,96802.79465193464,8192,0.8732618532842755,10.161771662095067,45.75685200747296,0.04436500039856463
17,333.4590865204036,255210.148180124,23.191097039269913,1.9966744212305276,76090.24891802727,2868.8568244477515,180154.7708207626,2048,0.8579007126231011,47.73982115733961,42.293964589120634,0.052645970160085875
18,331.83232856730547,797310.6440306664,39.29057183112283,0.9675857795013484,16797.96810622698,30.133222454311905,170022.9761169735,8192,0.8133339966991049,27.52834857218051,58.8618230773032,0.037725810837420076
19,325.54441791567604,267252.6876056278,71.35417259665375,1.4809270929414151,35847.33252321663,2916.62438551476,147991.69823612252,8192,0.8034203015820719,13.163268387704449,35.83870552112171,0.08693866136507687
20,325.0931364400727,227458.42876980294,16.105822735464624,1.6920639606115773,35806.02680035634,2881.102945381677,106248.90073036756,4096,0.7851165162212127,34.31306868080451,55.561559197842016,0.049716618285882766
21,356.8719905735323,722574.2933449515,88.70870462937292,0.7142869761112123,80447.79258132298,65.76726711835498,184750.23857995032,4096,0.5299965525068693,51.342763405944346,49.11134647029097,0.07653371055860778
22,307.66097173604135,939491.6182614182,88.91598123491491,1.2670583878731045,65992.20500210521,2329.1484641516754,53723.46430285883,8192,0.9263091401025967,58.01517718755228,46.07584552152437,0.01153239811726565
