sensor_id,x_mm,y_mm,time_s,temperature_C
TC_CENTER,50.0,50.0,0.0,25.033494728397788
TC_NW,0.0,100.0,0.0,24.0142743436725
TC_NE,100.0,100.0,0.0,23.512506967042093
TC_SW,0.0,0.0,0.0,23.57677809670632
TC_SE,100.0,0.0,0.0,24.026140565095044
TC_MID_W,0.0,50.0,0.0,23.252796812059543
TC_MID_E,100.0,50.0,0.0,23.289342326003787
TC_MID_N,50.0,100.0,0.0,23.041841597633642
TC_CENTER,50.0,50.0,181.00558659217876,46.74655054604607
TC_NW,0.0,100.0,181.00558659217876,45.08505762873504
TC_NE,100.0,100.0,181.00558659217876,44.36161035063644
TC_SW,0.0,0.0,181.00558659217876,44.72614753410402
TC_SE,100.0,0.0,181.00558659217876,45.060887505063384
TC_MID_W,0.0,50.0,181.00558659217876,44.60730704045336
TC_MID_E,100.0,50.0,181.00558659217876,45.01518227492076
TC_MID_N,50.0,100.0,181.00558659217876,44.23359705731518
TC_CENTER,50.0,50.0,362.0111731843575,69.1733224384606
TC_NW,0.0,100.0,362.0111731843575,66.63738230597767
TC_NE,100.0,100.0,362.0111731843575,66.19249293296055
TC_SW,0.0,0.0,362.0111731843575,66.51450424356635
TC_SE,100.0,0.0,362.0111731843575,66.05224905786146
TC_MID_W,0.0,50.0,362.0111731843575,65.29356013391728
TC_MID_E,100.0,50.0,362.0111731843575,66.29634179963848
TC_MID_N,50.0,100.0,362.0111731843575,65.98184829950478
TC_CENTER,50.0,50.0,543.0167597765362,91.97743083081556
TC_NW,0.0,100.0,543.0167597765362,87.64735390329179
TC_NE,100.0,100.0,543.0167597765362,87.92388462491924
TC_SW,0.0,0.0,543.0167597765362,87.01643247098106
TC_SE,100.0,0.0,543.0167597765362,87.37627421928963
TC_MID_W,0.0,50.0,543.0167597765362,87.6381456881304
TC_MID_E,100.0,50.0,543.0167597765362,86.7964948213846
TC_MID_N,50.0,100.0,543.0167597765362,86.39038223978801
TC_CENTER,50.0,50.0,724.022346368715,113.84618488096807
TC_NW,0.0,100.0,724.022346368715,108.49098358909903
TC_NE,100.0,100.0,724.022346368715,108.03070159767785
TC_SW,0.0,0.0,724.022346368715,108.60910376154425
TC_SE,100.0,0.0,724.022346368715,108.42921849089628
TC_MID_W,0.0,50.0,724.022346368715,107.45640130667373
TC_MID_E,100.0,50.0,724.022346368715,108.57009617287079
TC_MID_N,50.0,100.0,724.022346368715,108.45399436357836
TC_CENTER,50.0,50.0,905.0279329608938,135.2590972176277
TC_NW,0.0,100.0,905.0279329608938,129.81814854703777
TC_NE,100.0,100.0,905.0279329608938,129.88331060926734
TC_SW,0.0,0.0,905.0279329608938,129.00175580343605
TC_SE,100.0,0.0,905.0279329608938,128.51258483998478
TC_MID_W,0.0,50.0,905.0279329608938,129.53200384393878
TC_MID_E,100.0,50.0,905.0279329608938,129.4636102888085
TC_MID_N,50.0,100.0,905.0279329608938,129.47262757666317
